"product_name","promotion_name","product_family","recyclable_package","media_type","has_promotion","promotion_duration_days","promotion_unit_cost"
"ADJ Rosy Sunglasses","Two for One","Non-Consumable","1","Cash Register Handout","1","3","6863"
"ADJ Rosy Sunglasses","Two for One","Non-Consumable","1","Daily Paper","1","3","6897"
"ADJ Rosy Sunglasses","Two for One","Non-Consumable","1","Daily Paper Radio TV","1","3","5752"
"ADJ Rosy Sunglasses","Two for One","Non-Consumable","1","Product Attachment","1","2","10620"
"ADJ Rosy Sunglasses","Unbeatable Price Savers","Non-Consumable","1","Bulk Mail","1","3","6678"
"ADJ Rosy Sunglasses","Weekend Markdown","Non-Consumable","1","Daily Paper Radio","1","3","6963"
"ADJ Rosy Sunglasses","Weekend Markdown","Non-Consumable","1","In-Store Coupon","1","1","7305"
"ADJ Rosy Sunglasses","You Save Days","Non-Consumable","1","In-Store Coupon","1","4","9525"
"Akron City Map","No Promotion","Non-Consumable","0","No Media","0","0","0"
"Akron City Map","Best Savings","Non-Consumable","0","Radio","1","4","5329"
"Akron City Map","Big Time Savings","Non-Consumable","0","In-Store Coupon","1","3","13580"
"Akron City Map","Bye Bye Baby","Non-Consumable","0","Sunday Paper","1","1","13818"
"Akron City Map","Double Down Sale","Non-Consumable","0","TV","1","3","9574"
"Akron City Map","Green Light Days","Non-Consumable","0","Sunday Paper","1","3","9257"
"Akron City Map","High Roller Savings","Non-Consumable","0","Daily Paper Radio","1","1","8416"
"Akron City Map","Money Savers","Non-Consumable","0","Sunday Paper","1","1","10720"
"Akron City Map","Money Savers","Non-Consumable","0","TV","1","3","6570"
"Akron City Map","One Day Sale","Non-Consumable","0","Bulk Mail","1","3","5094"
"Akron City Map","Price Destroyers","Non-Consumable","0","Cash Register Handout","1","3","14862"
"Akron City Map","Price Savers","Non-Consumable","0","Daily Paper","1","4","8306"
"Akron City Map","Price Smashers","Non-Consumable","0","Street Handout","1","3","9160"
"Akron City Map","Sales Days","Non-Consumable","0","Bulk Mail","1","3","11674"
"Akron City Map","Save-It Sale","Non-Consumable","0","Sunday Paper","1","2","13937"
"Akron City Map","Saving Days","Non-Consumable","0","Daily Paper Radio TV","1","4","9065"
"Akron City Map","Savings Galore","Non-Consumable","0","In-Store Coupon","1","3","13006"
"Akron City Map","Savings Galore","Non-Consumable","0","Sunday Paper Radio","1","3","13657"
"Akron City Map","Super Duper Savers","Non-Consumable","0","Cash Register Handout","1","1","13753"
"Akron City Map","Super Duper Savers","Non-Consumable","0","Daily Paper Radio","1","3","6087"
"Akron City Map","Super Savers","Non-Consumable","0","Street Handout","1","4","14431"
"Akron City Map","Two Day Sale","Non-Consumable","0","Daily Paper Radio TV","1","4","9734"
"Akron City Map","Wallet Savers","Non-Consumable","0","Daily Paper Radio TV","1","3","5313"
"American Beef Bologna","No Promotion","Food","1","No Media","0","0","0"
"American Beef Bologna","Best Savings","Food","1","Product Attachment","1","1","12512"
"American Beef Bologna","Big Time Savings","Food","1","Radio","1","2","11692"
"American Beef Bologna","Dimes Off","Food","1","Daily Paper Radio","1","4","13158"
"American Beef Bologna","Double Down Sale","Food","1","Radio","1","2","5079"
"American Beef Bologna","Double Down Sale","Food","1","Radio","1","3","5321"
"American Beef Bologna","Double Down Sale","Food","1","TV","1","3","9574"
"American Beef Bologna","Free For All","Food","1","Daily Paper","1","3","5206"
"American Beef Bologna","Go For It","Food","1","Bulk Mail","1","2","8707"
"American Beef Bologna","Green Light Special","Food","1","Product Attachment","1","3","9713"
"American Beef Bologna","Mystery Sale","Food","1","Sunday Paper Radio","1","1","13747"
"American Beef Bologna","One Day Sale","Food","1","Street Handout","1","2","14672"
"American Beef Bologna","Price Savers","Food","1","Daily Paper","1","4","8306"
"American Beef Bologna","Price Smashers","Food","1","Street Handout","1","3","9160"
"American Beef Bologna","Price Winners","Food","1","Cash Register Handout","1","4","10390"
"American Beef Bologna","Price Winners","Food","1","Radio","1","3","9158"
"American Beef Bologna","Sale Winners","Food","1","In-Store Coupon","1","1","9938"
"American Beef Bologna","Saving Days","Food","1","Street Handout","1","3","6731"
"American Beef Bologna","Shelf Clearing Days","Food","1","Sunday Paper","1","3","10245.5"
"American Beef Bologna","Super Duper Savers","Food","1","Street Handout","1","3","5100"
"American Beef Bologna","Two Day Sale","Food","1","Radio","1","1","9479"
"American Beef Bologna","Unbeatable Price Savers","Food","1","Bulk Mail","1","3","6678"
"American Beef Bologna","Unbeatable Price Savers","Food","1","Daily Paper","1","3","10673"
"American Beef Bologna","Weekend Markdown","Food","1","Daily Paper Radio","1","3","6963"
"American Beef Bologna","Weekend Markdown","Food","1","In-Store Coupon","1","1","7305"
"American Chicken Hot Dogs","No Promotion","Food","0","No Media","0","0","0"
"American Chicken Hot Dogs","Big Time Discounts","Food","0","In-Store Coupon","1","3","5940"
"American Chicken Hot Dogs","Big Time Discounts","Food","0","Street Handout","1","4","6274"
"American Chicken Hot Dogs","Big Time Savings","Food","0","In-Store Coupon","1","3","13580"
"American Chicken Hot Dogs","Coupon Spectacular","Food","0","In-Store Coupon","1","3","12583"
"American Chicken Hot Dogs","Dimes Off","Food","0","In-Store Coupon","1","2","9077"
"American Chicken Hot Dogs","Dimes Off","Food","0","Sunday Paper Radio","1","1","10528"
"American Chicken Hot Dogs","Fantastic Discounts","Food","0","Radio","1","2","13746"
"American Chicken Hot Dogs","Free For All","Food","0","Daily Paper","1","3","5206"
"American Chicken Hot Dogs","Go For It","Food","0","Radio","1","2","10574"
"American Chicken Hot Dogs","High Roller Savings","Food","0","Daily Paper Radio TV","1","2","6815"
"American Chicken Hot Dogs","High Roller Savings","Food","0","TV","1","3","7261"
"American Chicken Hot Dogs","One Day Sale","Food","0","Bulk Mail","1","3","5094"
"American Chicken Hot Dogs","One Day Sale","Food","0","Daily Paper Radio TV","1","3","8588"
"American Chicken Hot Dogs","Pick Your Savings","Food","0","Sunday Paper Radio TV","1","4","14138"
"American Chicken Hot Dogs","Price Cutters","Food","0","Cash Register Handout","1","4","12277"
"American Chicken Hot Dogs","Price Destroyers","Food","0","Cash Register Handout","1","3","14862"
"American Chicken Hot Dogs","Price Destroyers","Food","0","Daily Paper Radio","1","2","6226"
"American Chicken Hot Dogs","Price Smashers","Food","0","Daily Paper Radio","1","1","10802"
"American Chicken Hot Dogs","Price Smashers","Food","0","Street Handout","1","3","9160"
"American Chicken Hot Dogs","Sales Days","Food","0","Bulk Mail","1","3","11674"
"American Chicken Hot Dogs","Sales Galore","Food","0","Daily Paper Radio","1","2","6240"
"American Chicken Hot Dogs","Save-It Sale","Food","0","In-Store Coupon","1","2","7522"
"American Chicken Hot Dogs","Saving Days","Food","0","Daily Paper Radio TV","1","4","9065"
"American Chicken Hot Dogs","Shelf Emptiers","Food","0","In-Store Coupon","1","1","8773"
"American Chicken Hot Dogs","Super Duper Savers","Food","0","Daily Paper Radio","1","3","6087"
"American Chicken Hot Dogs","Super Savers","Food","0","Daily Paper Radio","1","2","10161"
"American Chicken Hot Dogs","Wallet Savers","Food","0","Daily Paper Radio TV","1","3","5313"
"American Chicken Hot Dogs","Weekend Markdown","Food","0","Daily Paper Radio","1","3","6963"
"American Chicken Hot Dogs","Weekend Markdown","Food","0","In-Store Coupon","1","1","7305"
"American Cole Slaw","No Promotion","Food","0","No Media","0","0","0"
"American Cole Slaw","Big Time Savings","Food","0","Daily Paper Radio","1","3","12938"
"American Cole Slaw","Dollar Cutters","Food","0","Bulk Mail","1","2","11926"
"American Cole Slaw","Double Down Sale","Food","0","Radio","1","3","5321"
"American Cole Slaw","Double Down Sale","Food","0","Sunday Paper","1","1","11518"
"American Cole Slaw","Free For All","Food","0","Daily Paper","1","3","5206"
"American Cole Slaw","Go For It","Food","0","Bulk Mail","1","2","8707"
"American Cole Slaw","Go For It","Food","0","Radio","1","4","13717"
"American Cole Slaw","Green Light Days","Food","0","Sunday Paper","1","3","9257"
"American Cole Slaw","Green Light Special","Food","0","Sunday Paper Radio","1","3","14834"
"American Cole Slaw","I Cant Believe It Sale","Food","0","Product Attachment","1","4","6947"
"American Cole Slaw","Money Savers","Food","0","Daily Paper Radio TV","1","4","5545"
"American Cole Slaw","Money Savers","Food","0","TV","1","3","6570"
"American Cole Slaw","Mystery Sale","Food","0","Daily Paper Radio","1","3","6884"
"American Cole Slaw","Price Destroyers","Food","0","Street Handout","1","3","6568"
"American Cole Slaw","Price Slashers","Food","0","Sunday Paper Radio TV","1","3","5411"
"American Cole Slaw","Price Winners","Food","0","Daily Paper Radio TV","1","4","8355"
"American Cole Slaw","Sale Winners","Food","0","In-Store Coupon","1","2","14862"
"American Cole Slaw","Sales Days","Food","0","Daily Paper Radio TV","1","3","11640"
"American Cole Slaw","Sales Galore","Food","0","Daily Paper Radio","1","2","6240"
"American Cole Slaw","Shelf Clearing Days","Food","0","Daily Paper Radio","1","2","7641"
"American Cole Slaw","Tip Top Savings","Food","0","Daily Paper Radio","1","3","7959"
"American Cole Slaw","Tip Top Savings","Food","0","Street Handout","1","3","14258"
"American Cole Slaw","Two for One","Food","0","Daily Paper","1","3","6897"
"American Cole Slaw","Unbeatable Price Savers","Food","0","Bulk Mail","1","3","6678"
"American Cole Slaw","Weekend Markdown","Food","0","Sunday Paper","1","2","11047"
"American Corned Beef","No Promotion","Food","1","No Media","0","0","0"
"American Corned Beef","Bag Stuffers","Food","1","Daily Paper","1","3","7032"
"American Corned Beef","Big Time Discounts","Food","1","Daily Paper Radio","1","3","11151"
"American Corned Beef","Bye Bye Baby","Food","1","Sunday Paper","1","1","13818"
"American Corned Beef","Dollar Cutters","Food","1","Product Attachment","1","2","7392"
"American Corned Beef","Double Down Sale","Food","1","TV","1","3","9574"
"American Corned Beef","Green Light Days","Food","1","Cash Register Handout","1","3","13919"
"American Corned Beef","I Cant Believe It Sale","Food","1","Bulk Mail","1","2","9938"
"American Corned Beef","Money Savers","Food","1","TV","1","3","6570"
"American Corned Beef","Price Cutters","Food","1","Cash Register Handout","1","4","12277"
"American Corned Beef","Price Destroyers","Food","1","Daily Paper Radio","1","2","6226"
"American Corned Beef","Price Savers","Food","1","Sunday Paper Radio","1","4","5436"
"American Corned Beef","Price Smashers","Food","1","Street Handout","1","4","9545"
"American Corned Beef","Price Winners","Food","1","In-Store Coupon","1","4","9463"
"American Corned Beef","Price Winners","Food","1","Sunday Paper Radio","1","1","12251"
"American Corned Beef","Sales Days","Food","1","Bulk Mail","1","3","11674"
"American Corned Beef","Saving Days","Food","1","Daily Paper Radio TV","1","4","9065"
"American Corned Beef","Savings Galore","Food","1","Product Attachment","1","3","10519"
"American Corned Beef","Shelf Clearing Days","Food","1","Daily Paper Radio","1","2","7641"
"American Corned Beef","Shelf Clearing Days","Food","1","Sunday Paper Radio TV","1","3","10196"
"American Corned Beef","Shelf Emptiers","Food","1","Daily Paper Radio","1","3","14782"
"American Corned Beef","Super Duper Savers","Food","1","Daily Paper Radio","1","3","13323"
"American Corned Beef","Super Duper Savers","Food","1","Sunday Paper Radio","1","3","8000"
"American Corned Beef","Super Savers","Food","1","Street Handout","1","4","14431"
"American Corned Beef","Tip Top Savings","Food","1","Daily Paper Radio","1","3","7959"
"American Corned Beef","Tip Top Savings","Food","1","Daily Paper Radio TV","1","3","8686"
"American Corned Beef","Two for One","Food","1","Daily Paper","1","3","6897"
"American Corned Beef","Unbeatable Price Savers","Food","1","Bulk Mail","1","3","6678"
"American Corned Beef","Weekend Markdown","Food","1","Daily Paper Radio","1","3","6963"
"American Corned Beef","Weekend Markdown","Food","1","TV","1","2","8990"
"American Foot-Long Hot Dogs","No Promotion","Food","0","No Media","0","0","0"
"American Foot-Long Hot Dogs","Big Time Discounts","Food","0","Street Handout","1","4","6274"
"American Foot-Long Hot Dogs","Dimes Off","Food","0","Radio","1","4","11525"
"American Foot-Long Hot Dogs","Dollar Cutters","Food","0","Sunday Paper Radio","1","2","13674"
"American Foot-Long Hot Dogs","Dollar Cutters","Food","0","Sunday Paper Radio TV","1","2","13550"
"American Foot-Long Hot Dogs","Dollar Cutters","Food","0","TV","1","3","6618"
"American Foot-Long Hot Dogs","Double Down Sale","Food","0","TV","1","3","9574"
"American Foot-Long Hot Dogs","Go For It","Food","0","Product Attachment","1","2","11930"
"American Foot-Long Hot Dogs","Go For It","Food","0","Street Handout","1","4","9745"
"American Foot-Long Hot Dogs","High Roller Savings","Food","0","Sunday Paper Radio TV","1","2","9555"
"American Foot-Long Hot Dogs","Money Savers","Food","0","Daily Paper Radio TV","1","4","5545"
"American Foot-Long Hot Dogs","Price Cutters","Food","0","Daily Paper Radio TV","1","1","13944"
"American Foot-Long Hot Dogs","Price Savers","Food","0","TV","1","2","7772"
"American Foot-Long Hot Dogs","Price Slashers","Food","0","Street Handout","1","2","5297"
"American Foot-Long Hot Dogs","Price Slashers","Food","0","Sunday Paper Radio TV","1","2","7701"
"American Foot-Long Hot Dogs","Sale Winners","Food","0","In-Store Coupon","1","1","9938"
"American Foot-Long Hot Dogs","Sales Days","Food","0","Bulk Mail","1","3","11674"
"American Foot-Long Hot Dogs","Saving Days","Food","0","Street Handout","1","3","6731"
"American Foot-Long Hot Dogs","Tip Top Savings","Food","0","Street Handout","1","3","14258"
"American Foot-Long Hot Dogs","Two Day Sale","Food","0","Daily Paper Radio","1","3","14975"
"American Foot-Long Hot Dogs","Weekend Markdown","Food","0","Daily Paper","1","3","14057"
"American Foot-Long Hot Dogs","Weekend Markdown","Food","0","Street Handout","1","1","11740"
"American Low Fat Bologna","No Promotion","Food","1","No Media","0","0","0"
"American Low Fat Bologna","Bag Stuffers","Food","1","Daily Paper Radio","1","4","12662"
"American Low Fat Bologna","Big Promo","Food","1","Sunday Paper Radio TV","1","3","11704"
"American Low Fat Bologna","Big Time Discounts","Food","1","Daily Paper","1","4","9598"
"American Low Fat Bologna","Big Time Discounts","Food","1","Daily Paper Radio TV","1","2","14641"
"American Low Fat Bologna","Big Time Discounts","Food","1","In-Store Coupon","1","2","14560"
"American Low Fat Bologna","Big Time Discounts","Food","1","Street Handout","1","4","6274"
"American Low Fat Bologna","Bye Bye Baby","Food","1","Daily Paper Radio TV","1","3","5816"
"American Low Fat Bologna","Coupon Spectacular","Food","1","In-Store Coupon","1","3","12583"
"American Low Fat Bologna","Double Down Sale","Food","1","TV","1","3","9574"
"American Low Fat Bologna","Free For All","Food","1","In-Store Coupon","1","2","10906"
"American Low Fat Bologna","Go For It","Food","1","Daily Paper Radio","1","2","6701"
"American Low Fat Bologna","Go For It","Food","1","Street Handout","1","4","9745"
"American Low Fat Bologna","Green Light Days","Food","1","Cash Register Handout","1","3","13919"
"American Low Fat Bologna","Money Savers","Food","1","TV","1","3","6570"
"American Low Fat Bologna","Pick Your Savings","Food","1","Radio","1","2","5649"
"American Low Fat Bologna","Price Cutters","Food","1","Cash Register Handout","1","3","6209"
"American Low Fat Bologna","Price Cutters","Food","1","Sunday Paper","1","2","6942"
"American Low Fat Bologna","Price Destroyers","Food","1","Radio","1","4","11249"
"American Low Fat Bologna","Price Smashers","Food","1","Street Handout","1","4","9545"
"American Low Fat Bologna","Price Winners","Food","1","Cash Register Handout","1","1","7207"
"American Low Fat Bologna","Price Winners","Food","1","Daily Paper Radio","1","3","13936"
"American Low Fat Bologna","Sales Days","Food","1","Daily Paper Radio TV","1","3","11640"
"American Low Fat Bologna","Shelf Clearing Days","Food","1","Sunday Paper","1","3","9881"
"American Low Fat Bologna","Super Savers","Food","1","Street Handout","1","4","14431"
"American Low Fat Bologna","Two Day Sale","Food","1","Daily Paper Radio TV","1","4","9734"
"American Low Fat Cole Slaw","No Promotion","Food","0","No Media","0","0","0"
"American Low Fat Cole Slaw","Big Promo","Food","0","Sunday Paper Radio","1","3","11056"
"American Low Fat Cole Slaw","Bye Bye Baby","Food","0","Daily Paper Radio TV","1","3","5816"
"American Low Fat Cole Slaw","Bye Bye Baby","Food","0","Radio","1","4","9058"
"American Low Fat Cole Slaw","Coupon Spectacular","Food","0","In-Store Coupon","1","3","12583"
"American Low Fat Cole Slaw","Double Down Sale","Food","0","Cash Register Handout","1","4","14271"
"American Low Fat Cole Slaw","Double Your Savings","Food","0","Daily Paper Radio TV","1","4","10760"
"American Low Fat Cole Slaw","Go For It","Food","0","Bulk Mail","1","2","8707"
"American Low Fat Cole Slaw","Go For It","Food","0","Product Attachment","1","4","6637"
"American Low Fat Cole Slaw","Green Light Days","Food","0","Sunday Paper","1","3","9257"
"American Low Fat Cole Slaw","High Roller Savings","Food","0","Sunday Paper Radio TV","1","2","9555"
"American Low Fat Cole Slaw","One Day Sale","Food","0","TV","1","3","6891"
"American Low Fat Cole Slaw","Price Slashers","Food","0","Sunday Paper Radio TV","1","3","5411"
"American Low Fat Cole Slaw","Price Smashers","Food","0","Daily Paper Radio","1","1","10802"
"American Low Fat Cole Slaw","Price Winners","Food","0","Sunday Paper","1","3","11219"
"American Low Fat Cole Slaw","Price Winners","Food","0","Sunday Paper Radio TV","1","4","14718"
"American Low Fat Cole Slaw","Save-It Sale","Food","0","Daily Paper","1","1","7374"
"American Low Fat Cole Slaw","Saving Days","Food","0","Street Handout","1","3","6731"
"American Low Fat Cole Slaw","Shelf Emptiers","Food","0","Daily Paper Radio","1","3","14782"
"American Low Fat Cole Slaw","Tip Top Savings","Food","0","Street Handout","1","3","14258"
"American Low Fat Cole Slaw","Two for One","Food","0","Daily Paper Radio TV","1","3","5752"
"American Low Fat Cole Slaw","Unbeatable Price Savers","Food","0","Bulk Mail","1","3","6678"
"American Low Fat Cole Slaw","Unbeatable Price Savers","Food","0","Daily Paper","1","3","10673"
"American Low Fat Cole Slaw","Weekend Markdown","Food","0","In-Store Coupon","1","1","7305"
"American Low Fat Cole Slaw","Weekend Markdown","Food","0","Sunday Paper","1","2","11047"
"American Pimento Loaf","No Promotion","Food","1","No Media","0","0","0"
"American Pimento Loaf","Best Savings","Food","1","Cash Register Handout","1","2","11017"
"American Pimento Loaf","Best Savings","Food","1","Product Attachment","1","1","12512"
"American Pimento Loaf","Best Savings","Food","1","Sunday Paper","1","3","10612"
"American Pimento Loaf","Big Time Discounts","Food","1","Daily Paper","1","4","9598"
"American Pimento Loaf","Big Time Discounts","Food","1","Street Handout","1","4","6274"
"American Pimento Loaf","Bye Bye Baby","Food","1","Radio","1","4","9058"
"American Pimento Loaf","Coupon Spectacular","Food","1","In-Store Coupon","1","3","12583"
"American Pimento Loaf","Dollar Cutters","Food","1","Bulk Mail","1","2","11926"
"American Pimento Loaf","Dollar Cutters","Food","1","Sunday Paper Radio TV","1","2","13550"
"American Pimento Loaf","Free For All","Food","1","Daily Paper","1","3","5206"
"American Pimento Loaf","Money Savers","Food","1","TV","1","3","6570"
"American Pimento Loaf","Mystery Sale","Food","1","Daily Paper Radio","1","3","6884"
"American Pimento Loaf","Price Cutters","Food","1","Cash Register Handout","1","3","6209"
"American Pimento Loaf","Price Cutters","Food","1","Daily Paper Radio TV","1","1","13944"
"American Pimento Loaf","Price Smashers","Food","1","Street Handout","1","3","9160"
"American Pimento Loaf","Price Winners","Food","1","Daily Paper","1","1","6897"
"American Pimento Loaf","Sale Winners","Food","1","Daily Paper","1","3","14917"
"American Pimento Loaf","Sale Winners","Food","1","In-Store Coupon","1","1","9938"
"American Pimento Loaf","Sales Days","Food","1","Street Handout","1","2","14814"
"American Pimento Loaf","Shelf Emptiers","Food","1","In-Store Coupon","1","1","8773"
"American Pimento Loaf","Super Duper Savers","Food","1","Cash Register Handout","1","1","13753"
"American Pimento Loaf","Three for One","Food","1","In-Store Coupon","1","4","12548"
"American Pimento Loaf","Tip Top Savings","Food","1","Daily Paper Radio TV","1","3","8686"
"American Pimento Loaf","Two Day Sale","Food","1","Radio","1","3","9128"
"American Pimento Loaf","Weekend Markdown","Food","1","TV","1","2","8990"
"American Potato Salad","No Promotion","Food","1","No Media","0","0","0"
"American Potato Salad","Big Promo","Food","1","Radio","1","3","9852"
"American Potato Salad","Dollar Cutters","Food","1","Sunday Paper Radio","1","2","13674"
"American Potato Salad","Double Down Sale","Food","1","Radio","1","3","5321"
"American Potato Salad","Free For All","Food","1","Daily Paper","1","3","5206"
"American Potato Salad","Free For All","Food","1","Radio","1","2","14887"
"American Potato Salad","Go For It","Food","1","Daily Paper Radio","1","2","6701"
"American Potato Salad","Green Light Days","Food","1","Daily Paper","1","3","7576"
"American Potato Salad","Money Savers","Food","1","TV","1","3","6570"
"American Potato Salad","Mystery Sale","Food","1","Daily Paper Radio","1","3","6884"
"American Potato Salad","One Day Sale","Food","1","TV","1","3","6891"
"American Potato Salad","Price Destroyers","Food","1","Radio","1","4","11249"
"American Potato Salad","Price Smashers","Food","1","Daily Paper Radio","1","1","10802"
"American Potato Salad","Price Winners","Food","1","Radio","1","3","9158"
"American Potato Salad","Save-It Sale","Food","1","Radio","1","4","7544"
"American Potato Salad","Saving Days","Food","1","Product Attachment","1","1","8326"
"American Potato Salad","Savings Galore","Food","1","Sunday Paper Radio","1","3","13657"
"American Potato Salad","Shelf Clearing Days","Food","1","Sunday Paper","1","3","10610"
"American Potato Salad","Super Duper Savers","Food","1","Street Handout","1","3","5100"
"American Potato Salad","Super Duper Savers","Food","1","Sunday Paper","1","3","11549"
"American Roasted Chicken","No Promotion","Food","1","No Media","0","0","0"
"American Roasted Chicken","Big Time Savings","Food","1","Daily Paper Radio","1","3","12938"
"American Roasted Chicken","Big Time Savings","Food","1","Radio","1","3","5345"
"American Roasted Chicken","Dollar Cutters","Food","1","Radio","1","3","10441"
"American Roasted Chicken","Dollar Days","Food","1","Daily Paper Radio","1","3","12120"
"American Roasted Chicken","Double Down Sale","Food","1","Cash Register Handout","1","4","14271"
"American Roasted Chicken","Double Down Sale","Food","1","TV","1","3","9574"
"American Roasted Chicken","Free For All","Food","1","Product Attachment","1","3","14383"
"American Roasted Chicken","Go For It","Food","1","Sunday Paper Radio","1","2","7765"
"American Roasted Chicken","Green Light Days","Food","1","Daily Paper","1","3","7576"
"American Roasted Chicken","Green Light Special","Food","1","Sunday Paper Radio","1","3","14834"
"American Roasted Chicken","High Roller Savings","Food","1","Daily Paper Radio","1","1","8416"
"American Roasted Chicken","High Roller Savings","Food","1","Sunday Paper Radio TV","1","2","9555"
"American Roasted Chicken","I Cant Believe It Sale","Food","1","Daily Paper Radio TV","1","1","10247"
"American Roasted Chicken","I Cant Believe It Sale","Food","1","Product Attachment","1","4","6947"
"American Roasted Chicken","Money Savers","Food","1","Daily Paper Radio TV","1","4","5545"
"American Roasted Chicken","Money Savers","Food","1","Sunday Paper","1","1","10720"
"American Roasted Chicken","One Day Sale","Food","1","Bulk Mail","1","3","5094"
"American Roasted Chicken","One Day Sale","Food","1","Street Handout","1","2","14672"
"American Roasted Chicken","Price Cutters","Food","1","Cash Register Handout","1","4","12277"
"American Roasted Chicken","Price Cutters","Food","1","Daily Paper Radio TV","1","1","13944"
"American Roasted Chicken","Price Slashers","Food","1","Sunday Paper Radio TV","1","2","7701"
"American Roasted Chicken","Price Slashers","Food","1","Sunday Paper Radio TV","1","3","5411"
"American Roasted Chicken","Price Smashers","Food","1","Street Handout","1","4","9545"
"American Roasted Chicken","Price Winners","Food","1","Daily Paper Radio","1","3","11460"
"American Roasted Chicken","Sale Winners","Food","1","In-Store Coupon","1","2","14735"
"American Roasted Chicken","Save-It Sale","Food","1","Radio","1","3","14438"
"American Roasted Chicken","Save-It Sale","Food","1","Radio","1","4","7544"
"American Roasted Chicken","Shelf Clearing Days","Food","1","Bulk Mail","1","3","6954"
"American Roasted Chicken","Shelf Clearing Days","Food","1","Sunday Paper","1","3","9881"
"American Roasted Chicken","Shelf Emptiers","Food","1","Daily Paper Radio","1","3","14782"
"American Roasted Chicken","Shelf Emptiers","Food","1","In-Store Coupon","1","1","8773"
"American Roasted Chicken","Three for One","Food","1","Sunday Paper Radio","1","3","13162"
"American Roasted Chicken","Two Day Sale","Food","1","Radio","1","3","9128"
"American Roasted Chicken","Unbeatable Price Savers","Food","1","Bulk Mail","1","3","6678"
"American Roasted Chicken","Weekend Markdown","Food","1","Sunday Paper","1","2","11047"
"American Roasted Chicken","Weekend Markdown","Food","1","Sunday Paper","1","4","13360"
"American Sliced Chicken","No Promotion","Food","1","No Media","0","0","0"
"American Sliced Chicken","Best Savings","Food","1","Product Attachment","1","1","12512"
"American Sliced Chicken","Big Time Discounts","Food","1","Street Handout","1","4","6274"
"American Sliced Chicken","Big Time Savings","Food","1","In-Store Coupon","1","3","13580"
"American Sliced Chicken","Big Time Savings","Food","1","Radio","1","3","5345"
"American Sliced Chicken","Bye Bye Baby","Food","1","Sunday Paper","1","3","14139"
"American Sliced Chicken","Dimes Off","Food","1","Radio","1","4","11525"
"American Sliced Chicken","Double Down Sale","Food","1","Cash Register Handout","1","4","14271"
"American Sliced Chicken","Double Down Sale","Food","1","TV","1","3","9574"
"American Sliced Chicken","Go For It","Food","1","Street Handout","1","4","9745"
"American Sliced Chicken","Green Light Days","Food","1","Sunday Paper","1","3","9257"
"American Sliced Chicken","I Cant Believe It Sale","Food","1","Bulk Mail","1","2","9938"
