Placa;Fecha;Distancia Recorrida (Km);Tiempo de Actividad;Velocidad Promedio;Maxima Velocidad;Fuera del rango de velocidad;Frenada Fuerte;Aceleracion Fuerte;Tiempo Ralenti
SSQ270;14/05/2018;43.85;2.816666667;35.2;64.8;0;0;0;0
SSQ234;14/05/2018;91.74;3.016666667;46.5;70.3;0;0;0;0
SSQ228;14/05/2018;202.26;9.016666667;24.7;59.2;0;0;0;0
SSQ227;14/05/2018;0;0;0;0;0;0;0;0
SSQ225;14/05/2018;27.49;1.083333333;42.6;55.5;0;0;0;0
SSQ223;14/05/2018;1.65;0.65;13.6;29.6;0;0;0;0
SSQ221;14/05/2018;56.02;2.133333333;42.4;70.3;0;0;0;0
SSQ220;14/05/2018;37.3;1.8;45.9;80.7;0;0;0;0
SSQ219;14/05/2018;123.97;3.55;44.3;72.2;0;0;0;0
SSQ218;14/05/2018;91.03;1.95;51.7;70.3;0;0;0;0
SSQ217;14/05/2018;0;0;0;0;0;0;0;0
SSQ215;14/05/2018;99.54;2.65;48.3;72.2;0;0;0;0
SSQ187;14/05/2018;53.1;2.05;40.9;54.2;0;0;0;0
SSQ185;14/05/2018;0;0;0;0;0;0;0;0
SSQ184;14/05/2018;0;0;0;0;0;0;0;0
SSQ183;14/05/2018;12.7;0.733333333;33.6;50.4;0;0;0;0
SSQ182;14/05/2018;0;0;0;0;0;0;0;0
SSQ165;14/05/2018;122.07;10.51666667;14;29.6;0;0;0;0
SSQ164;14/05/2018;0;13;0;0;0;0;0;0
SSQ158;14/05/2018;56.57;4.65;16.9;31.5;0;0;0;0
SSQ157;14/05/2018;0;0;0;0;0;0;0;0
SSQ155;14/05/2018;63.87;2.633333333;33.6;68.5;0;0;0;0
SSQ154;14/05/2018;217.59;4.6;49.8;75.9;0;0;0;0
SSQ139;14/05/2018;26.36;1.533333333;22.7;50;0;0;0;0
SSQ138;14/05/2018;9.95;1.933333333;27.2;48.1;0;0;0;0
SSQ137;14/05/2018;0;0;0;0;0;0;0;0
SSQ135;14/05/2018;0;0;0;0;0;0;0;0
SSQ133;14/05/2018;231.02;6.433333333;41.4;68.5;0;0;0;0
SSQ132;14/05/2018;0;0.266666667;0;0;0;0;0;0
SSQ131;14/05/2018;0;0;0;0;0;0;0;0
SSQ130;14/05/2018;319.57;9.016666667;39.6;72.2;0;0;0;0
SSQ129;14/05/2018;0;0;0;0;0;0;0;0
SSQ093;14/05/2018;78.06;4.816666667;33;62.9;0;0;0;0
SSQ091;14/05/2018;0;0;0;0;0;0;0;0
SSQ032;14/05/2018;190.91;5.133333333;44.9;75.9;0;0;0;0
SSQ031;14/05/2018;316.48;10.73333333;33.5;68.5;0;0;0;0
SSQ018;14/05/2018;180.5;5.283333333;43.3;62.9;0;0;0;0
SSQ017;14/05/2018;121.66;3.4;46.4;74;0;0;0;0
SSQ015;14/05/2018;32.69;2.383333333;19.4;33.3;0;0;0;0
SSQ014;14/05/2018;157.31;11.28333333;19.3;59.2;0;0;0;0
SSQ010;14/05/2018;11.15;0.4;50.9;66.6;2;0;0;0
SSQ008;14/05/2018;39.19;1.383333333;33.7;61.1;0;0;0;0
SSQ005;14/05/2018;49.3;1.633333333;32.3;44.4;0;0;0;0
SSQ000;14/05/2018;28.54;1.416666667;29.2;66.6;0;0;0;0
SSP995;14/05/2018;266.17;8.95;41;77.7;10;0;0;0
SSP993;14/05/2018;140.34;3.716666667;43.4;64.8;7;0;0;0
SSP992;14/05/2018;360.17;10.35;41.9;72.2;0;0;0;0
SSP990;14/05/2018;58.54;1.933333333;27.9;61.1;0;0;0;0
SSP974;14/05/2018;0;0;0;0;0;0;0;0
SSP973;14/05/2018;138.63;3.766666667;40.8;66.6;1;0;0;0
SON561;14/05/2018;2.1;0.466666667;24.1;47.2;0;0;0;0.116666667
SMK871;14/05/2018;0;0;0;0;0;0;0;0
SMK745;14/05/2018;121.09;4.1;38.6;61.1;0;0;0;0
TFU029;14/05/2018;0;0;0;0;0;0;0;0
T2124;14/05/2018;0;0;0;0;0;0;0;0
A63003243;14/05/2018;0;0;0;0;0;0;0;0
A52506011;14/05/2018;0;0;0;0;0;0;0;0
MI036046;14/05/2018;0;0;0;0;0;0;0;0
MI036047;14/05/2018;0;0;0;0;0;0;0;0
6YG00735;14/05/2018;0;0;0;0;0;0;0;0
K8614;14/05/2018;0.3;0.7;7.8;12.4;0;0;0;0.033333333
KJB448;14/05/2018;6.05;0.683333333;22.7;50;0;0;0;0
KUM812;14/05/2018;0;0;0;0;0;0;0;0
SSQ126;14/05/2018;93.83;5.533333333;36.9;72.2;0;0;0;0
SSQ295;14/05/2018;3.79;1.016666667;19.5;33.3;0;0;0;0
KJB482;15/05/2018;76.78;3.35;33.7;94.4;1;0;0;0
KJB485;15/05/2018;0;0;0;0;0;0;0;0
SMK784;15/05/2018;62;7.416666667;21.1;68.4;0;0;0;0.15
SSP988;15/05/2018;184.9;6.65;50.7;71.2;0;0;0;0.45
SSQ034;15/05/2018;46.1;2.183333333;42;60.3;0;0;0;0.15
SSQ086;15/05/2018;18;1.133333333;38.2;74.2;0;0;0;0
SSQ089;15/05/2018;13.83;2.1;18.7;59.2;0;0;0;0
SSQ216;15/05/2018;125.6;6.533333333;32.3;70.8;0;0;0;2.2
SSQ233;15/05/2018;139.8;4.283333333;38.4;59.5;0;0;0;0
SSQ269;15/05/2018;0;0;0;0;0;0;0;0
SSQ504;15/05/2018;0;0;0;0;0;0;0;0
SSQ505;15/05/2018;490.7;14.16666667;35.3;88.5;4;0;0;0.4
SSQ517;15/05/2018;190.5;5.55;41.5;56.3;0;0;0;0
SSQ518;15/05/2018;0.2;5.55;6.6;6.6;0;0;0;0.033333333
SSQ520;15/05/2018;126.8;6.7;24.7;55.1;0;0;0;0.3
SST787;15/05/2018;47.3;3.583333333;35.6;73;0;0;0;0.116666667
SST794;15/05/2018;0;0;0;0;0;0;0;0
SST799;15/05/2018;0;0;0;0;0;0;0;0
SST806;15/05/2018;0;0;0;0;0;0;0;0
SST812;15/05/2018;0;0;0;0;0;0;0;0
SST847;15/05/2018;8.75;0.666666667;25.1;48.1;0;0;0;0
SST848;15/05/2018;0;0;0;0;0;0;0;0
SST852;15/05/2018;0;0;0;0;0;0;0;0
SST856;15/05/2018;99.8;2.533333333;48.9;69.9;0;0;0;0
SXU686;15/05/2018;67.2;6.15;23.8;62.2;0;0;0;0
SXU997;15/05/2018;0;0.316666667;0;0;0;0;0;0
TUL304;15/05/2018;502.5;12.18333333;49.4;72.4;0;0;0;0.333333333
TUL498;15/05/2018;0;0.116666667;0;0;0;0;0;0
TUL659;15/05/2018;0;0;0;0;0;0;0;0
WCT672;15/05/2018;162.8;10.63333333;34.5;60.9;0;0;0;1.8
WEO953;15/05/2018;147.3;8.3;39.1;71.4;0;0;0;0.183333333
XIE470;15/05/2018;61.6;6.833333333;23.1;65.1;0;0;0;0.2
XIE691;15/05/2018;615;15.2;42.6;77.7;0;0;0;0.066666667
XIE692;15/05/2018;0;0;0;0;0;0;0;0
XIE694;15/05/2018;47.8;5.283333333;18.5;60.2;0;0;0;0
XJA060;15/05/2018;0;0;0;0;0;0;0;0
XIE683;15/05/2018;93.15;7.316666667;18.5;62.9;0;0;0;0
WDP400;15/05/2018;112.08;8.616666667;24.2;61.1;0;0;0;0
VJK173;15/05/2018;0;0.066666667;0;0;0;0;0;0
VJK172;15/05/2018;0;0.066666667;0;0;0;0;0;0
TUL658;15/05/2018;226.8;6.666666667;41.8;70.3;0;0;0;0
TRL815;15/05/2018;0;0;0;0;0;0;0;0
TRL720;15/05/2018;0;0;0;0;0;0;0;0
TGM572;15/05/2018;90.99;2.1;55.7;72.2;1;0;0;0
SXV541;15/05/2018;0;0;0;0;0;0;0;0
SXU801;15/05/2018;317.53;11.7;29.8;64.8;0;0;0;0
SXU799;15/05/2018;170.82;9.416666667;20;35.1;0;0;0;0
SXU687;15/05/2018;0;0;0;0;0;0;0;0
SST853;15/05/2018;0.06;0.2;0;0;0;0;0;0
SST850;15/05/2018;73.38;3.016666667;32.1;57.4;0;0;0;0
SST842;15/05/2018;49.73;2.966666667;43.4;64.8;0;0;0;0
SST835;15/05/2018;139.55;6.15;33.9;70.3;0;0;0;0
SST810;15/05/2018;2.83;6.4;29;53.7;0;0;0;0
SST808;15/05/2018;0;0;0;0;0;0;0;0
SST804;15/05/2018;44.28;3.866666667;26.6;72.2;0;0;0;0
SST798;15/05/2018;157.18;11.1;41.4;68.5;0;0;0;0
SST793;15/05/2018;0;0;0;0;0;0;0;0
SST789;15/05/2018;31.7;2.35;30.1;50;0;0;0;0
SST788;15/05/2018;0;0;0;0;0;0;0;0
SST784;15/05/2018;0;0;0;0;0;0;0;0
T2376;15/05/2018;0.04;1.216666667;0;0;0;0;0;0
SSQ519;15/05/2018;494;12.6;46.3;75.6;0;3;0;1.266666667
SSQ516;15/05/2018;365.56;13.7;34.9;59.2;0;0;0;0
SSQ335;15/05/2018;177.28;5.716666667;38.5;59.2;0;0;0;0
SSQ298;15/05/2018;52.02;2.783333333;42.4;59.2;0;0;0;0
SSQ278;15/05/2018;133.4;8.033333333;29.5;63.3;0;0;0;0.933333333
SSQ275;15/05/2018;53;2.216666667;36.7;57.1;0;0;0;0
SSQ274;15/05/2018;325.72;9.466666667;42.1;74;0;0;0;0
SSQ271;15/05/2018;320.58;10.1;37.5;70.3;0;0;0;0
SSQ270;15/05/2018;499.12;12.85;45;68.5;0;0;0;0
SSQ234;15/05/2018;16.35;0.733333333;39.5;62.9;0;0;0;0
SSQ228;15/05/2018;224.66;10.85;22.2;53.7;0;0;0;0
SSQ227;15/05/2018;88.14;2.833333333;38.3;57.4;0;0;0;0
SSQ225;15/05/2018;1.03;1.366666667;5.6;5.6;0;0;0;0
SSQ223;15/05/2018;27.49;1.133333333;46.4;62.9;0;0;0;0
SSQ221;15/05/2018;6.2;1.366666667;33.2;51.8;0;0;0;0
SSQ220;15/05/2018;31.6;1.966666667;43.7;66.1;0;0;0;0.7
SSQ219;15/05/2018;53.83;1.916666667;44.7;66.6;0;0;0;0
SSQ218;15/05/2018;190.03;5.2;40.8;61.1;0;0;0;0
SSQ217;15/05/2018;0;0;0;0;0;0;0;0
SSQ215;15/05/2018;27.82;1.983333333;39.1;57.4;0;0;0;0
SSQ187;15/05/2018;139.4;4.05;40.1;62.8;0;0;0;0
SSQ185;15/05/2018;0;0;0;0;0;0;0;0
SSQ184;15/05/2018;0;0;0;0;0;0;0;0
SSQ183;15/05/2018;59.3;2.833333333;31.6;54.5;0;0;0;0
SSQ182;15/05/2018;0;0;0;0;0;0;0;0
SSQ165;15/05/2018;55.62;7.783333333;14.5;29.6;0;0;0;0
SSQ164;15/05/2018;71.1;6.9;19.4;59.2;0;0;0;0
SSQ158;15/05/2018;131.01;7.833333333;26.8;57.4;0;0;0;0
SSQ157;15/05/2018;0;0;0;0;0;0;0;0
SSQ155;15/05/2018;138.78;4.066666667;41.4;61.1;0;0;0;0
SSQ154;15/05/2018;296.28;7.566666667;46.5;79.5;0;0;0;0
SSQ139;15/05/2018;226.71;11.55;31.2;66.6;1;0;0;0
SSQ138;15/05/2018;178.91;5.55;40.9;61.1;0;0;0;0
SSQ137;15/05/2018;0;0;0;0;0;0;0;0
SSQ135;15/05/2018;42.02;5.133333333;24.6;74;5;0;0;0
SSQ133;15/05/2018;306.12;12.81666667;25.2;62.9;0;0;0;0
SSQ132;15/05/2018;200.66;7.433333333;42.9;68.5;0;0;0;0
SSQ131;15/05/2018;66.83;5.016666667;25.9;66.6;1;0;0;0
SSQ130;15/05/2018;0;3.016666667;5.6;5.6;0;0;0;0
SSQ129;15/05/2018;0;0;0;0;0;0;0;0
SSQ093;15/05/2018;138.41;3.7;41.2;62.9;0;0;0;0
SSQ091;15/05/2018;0.29;0.4;5.6;5.6;0;0;0;0
SSQ032;15/05/2018;46.85;1.7;36;51.8;0;0;0;0
SSQ031;15/05/2018;74.07;7.25;15.3;29.6;0;0;0;0
SSQ018;15/05/2018;168.2;4.8;38.2;59.2;0;0;0;0
SSQ017;15/05/2018;138.41;3.666666667;41.1;66.6;0;0;0;0
SSQ015;15/05/2018;288.03;9.233333333;38.5;66.6;0;0;0;0
SSQ014;15/05/2018;122.09;9.366666667;35.4;64.8;0;0;0;0
SSQ010;15/05/2018;49.86;2.25;32.1;53.7;0;0;0;0
SSQ008;15/05/2018;74.09;2.666666667;36.4;62.9;0;0;0;0
SSQ005;15/05/2018;188.62;6.45;45.1;66.6;6;0;0;0
SSQ000;15/05/2018;385.9;10.3;44.8;74;1;0;0;0
SSP995;15/05/2018;224.62;10.01666667;29.9;68.5;0;0;0;0
SSP993;15/05/2018;47.48;1.116666667;48.3;66.6;3;0;0;0
SSP992;15/05/2018;165.71;10.28333333;24.9;64.8;0;0;0;0
SSP990;15/05/2018;324.98;11.31666667;41.9;75.9;1;0;0;0
SSP974;15/05/2018;0;0;0;0;0;0;0;0
SSP973;15/05/2018;105.56;3.133333333;49.5;74;11;0;0;0
SON561;15/05/2018;72.9;4.133333333;40.3;61.2;0;0;0;1.183333333
SMK871;15/05/2018;0;0;0;0;0;0;0;0
SMK745;15/05/2018;95.98;3.666666667;41.9;59.2;0;0;0;0
TFU029;15/05/2018;192.7;7.266666667;43.5;71.9;0;0;0;2.283333333
T2124;15/05/2018;0;0;0;0;0;0;0;0
A63003243;15/05/2018;0;0;0;0;0;0;0;0
A52506011;15/05/2018;0;0;0;0;0;0;0;0
MI036046;15/05/2018;0;0;38.9;58.7;0;0;0;0
MI036047;15/05/2018;0;0.466666667;0;0;0;0;0;0.35
6YG00735;15/05/2018;0;0;0;0;0;0;0;0
K8614;15/05/2018;0.9;1.083333333;7.9;14.8;0;0;0;0
KJB448;15/05/2018;15.28;0.75;32;64.8;0;0;0;0
KUM812;15/05/2018;0;0.566666667;0;0;0;0;0;0
SSQ126;15/05/2018;46.86;4.45;39.8;68.5;0;0;0;0
SSQ295;15/05/2018;357.87;8.616666667;49.1;68.5;0;0;0;0
KJB482;16/05/2018;0;0;0;0;0;0;0;0
KJB485;16/05/2018;41.84;0.866666667;60.5;112.9;0;0;0;0
SMK784;16/05/2018;495.2;14.3;44.6;70.7;0;0;0;0.5
SSP988;16/05/2018;234.8;5.55;51.5;70.6;0;0;0;0.133333333
SSQ034;16/05/2018;64.5;3.05;29.8;61.1;0;0;0;0
SSQ086;16/05/2018;340.3;7.433333333;54.9;75.3;0;0;0;0
SSQ089;16/05/2018;204.06;7.033333333;35.9;70.3;0;0;0;0
SSQ216;16/05/2018;60.1;4.483333333;34.1;72.8;0;0;0;1.766666667
SSQ233;16/05/2018;99.9;2.833333333;45.8;63.9;0;0;0;0
SSQ269;16/05/2018;0;0;0;0;0;0;0;0
SSQ504;16/05/2018;0;0;0;0;0;0;0;0
SSQ505;16/05/2018;285.6;11.63333333;27.8;76.7;0;0;0;0.9
SSQ517;16/05/2018;280.8;7.25;47.1;60.1;0;0;0;0
SSQ518;16/05/2018;287.1;15.83333333;37.9;71.4;0;0;0;0.683333333
SSQ520;16/05/2018;351.2;10.73333333;37.2;65.6;0;0;0;0.316666667
SST787;16/05/2018;228.4;8.05;43;65.5;0;0;0;0
SST794;16/05/2018;0;0;0;0;0;0;0;0
SST799;16/05/2018;0;0;0;0;0;0;0;0
SST806;16/05/2018;0;0;0;0;0;0;0;0
SST812;16/05/2018;372.6;11.36666667;40.6;80.2;0;0;0;0.25
SST847;16/05/2018;161.57;5.816666667;37;68.5;0;0;0;0
SST848;16/05/2018;0;0;0;0;0;0;0;0
SST852;16/05/2018;0;0;0;0;0;0;0;0
SST856;16/05/2018;0;0.2;0;0;0;0;0;0
SXU686;16/05/2018;411.6;14.78333333;41.3;67.7;0;1;0;1.466666667
SXU997;16/05/2018;303.9;8.2;51.7;70.5;0;0;0;0.566666667
TUL304;16/05/2018;355.3;10.15;43.2;69.1;0;0;0;0.216666667
TUL498;16/05/2018;0;0;0;0;0;0;0;0
TUL659;16/05/2018;0;0;0;0;0;0;0;0
WCT672;16/05/2018;107.6;8.733333333;33.4;64.9;0;0;0;1.8
WEO953;16/05/2018;86.8;5.483333333;34.7;74.4;0;0;0;0.166666667
XIE470;16/05/2018;511;14.8;38.8;73.8;0;0;0;0
XIE691;16/05/2018;395;13.6;34.5;62.2;0;0;0;0.083333333
XIE692;16/05/2018;0;0;0;0;0;0;0;0
XIE694;16/05/2018;0.1;1.05;0;0;0;0;0;0
XJA060;16/05/2018;0;0.016666667;0;0;0;0;0;0
XIE683;16/05/2018;44.9;4.616666667;17.4;61.1;0;0;0;0
WDP400;16/05/2018;0.07;0.05;0;0;0;0;0;0
VJK173;16/05/2018;10.18;3.2;9;14.8;0;0;0;0
VJK172;16/05/2018;0;0;0;0;0;0;0;0
TUL658;16/05/2018;157.65;9.333333333;28;70.3;0;0;0;0
TRL815;16/05/2018;194.7;6.166666667;41.8;72.9;0;0;0;0.483333333
TRL720;16/05/2018;34.8;2.666666667;24.4;64.8;0;0;0;0.163166667
TGM572;16/05/2018;146.77;4.533333333;39.9;59.2;0;0;0;0
SXV541;16/05/2018;0.06;0.233333333;0;0;0;0;0;0
SXU801;16/05/2018;113.67;5.5;25.4;48.1;0;0;0;0
SXU799;16/05/2018;166.05;6.333333333;30.8;66.6;0;0;0;0
SXU687;16/05/2018;0;0;0;0;0;0;0;0
SST853;16/05/2018;0.02;0.2;0;0;0;0;0;0
SST850;16/05/2018;24.88;1.816666667;23.3;33.3;0;0;0;0
SST842;16/05/2018;150.28;6.683333333;42.1;72.2;0;0;0;0
SST835;16/05/2018;261.22;7.716666667;45.1;70.3;0;0;0;0
SST810;16/05/2018;60.72;4.25;37.8;62.9;3;0;0;0
SST808;16/05/2018;0;0.283333333;0;0;0;0;0;0
SST804;16/05/2018;159.7;5.233333333;37.9;66.6;0;0;0;0
SST798;16/05/2018;280.3;9.716666667;42.5;64.8;0;0;0;0
SST793;16/05/2018;0;0;0;0;0;0;0;0
SST789;16/05/2018;67.88;5.566666667;40.8;64.8;0;0;0;0
SST788;16/05/2018;0;0;0;0;0;0;0;0
SST784;16/05/2018;0;0;0;0;0;0;0;0
T2376;16/05/2018;0;0.15;0;0;0;0;0;0
SSQ519;16/05/2018;9.8;1.15;24;41;0;0;0;0.366666667
SSQ516;16/05/2018;80.13;7.85;15.3;40.7;0;0;0;0
SSQ335;16/05/2018;160.26;4.166666667;45.2;61.1;0;0;0;0
SSQ298;16/05/2018;52.96;3.2;41.9;68.5;4;0;0;0
SSQ278;16/05/2018;139.6;5.333333333;35.5;69.6;0;0;0;0
SSQ275;16/05/2018;139.6;4.05;41.9;62.2;0;0;0;0
SSQ274;16/05/2018;0.02;0.083333333;0;0;0;0;0;0
SSQ271;16/05/2018;9.08;1.383333333;28;62.9;0;0;0;0
SSQ270;16/05/2018;162.39;7.116666667;25.1;50;0;0;0;0
SSQ234;16/05/2018;52.92;2;37.6;62.9;0;0;0;0
SSQ228;16/05/2018;79.28;4.55;24;38.9;0;0;0;0
SSQ227;16/05/2018;136.6;3.683333333;42.5;61.1;0;0;0;0
SSQ225;16/05/2018;110.9;3.016666667;41.2;57.4;0;0;0;0
SSQ223;16/05/2018;169.86;6.616666667;36.4;64.8;0;0;0;0
SSQ221;16/05/2018;0;0.366666667;0;0;0;0;0;0
SSQ220;16/05/2018;0;0.766666667;0;0;0;0;0;0.083333333
SSQ219;16/05/2018;0;0.1;0;0;0;0;0;0
SSQ218;16/05/2018;0;0;0;0;0;0;0;0
SSQ217;16/05/2018;0;0;0;0;0;0;0;0
SSQ215;16/05/2018;143.47;4.2;39.4;66.6;0;0;0;0
SSQ187;16/05/2018;99.9;3.333333333;50.2;72;0;0;0;0
SSQ185;16/05/2018;0;0;0;0;0;0;0;0
SSQ184;16/05/2018;0.24;0.533333333;0;0;0;0;0;0
SSQ183;16/05/2018;160.9;5.8;39.5;71.1;0;0;0;0
SSQ182;16/05/2018;0;0.1;0;0;0;0;0;0
SSQ165;16/05/2018;73.4;5.416666667;15.9;27.8;0;0;0;0
SSQ164;16/05/2018;214.69;7.466666667;36.8;64.8;0;0;0;0
SSQ158;16/05/2018;319.11;12.01666667;34.5;68.5;5;0;0;0
SSQ157;16/05/2018;0;0;0;0;0;0;0;0
SSQ155;16/05/2018;7.38;0.666666667;26.8;50;0;0;0;0
SSQ154;16/05/2018;58.79;3.766666667;36;79.5;0;0;0;0
SSQ139;16/05/2018;140.45;5.7;34.4;66.6;3;0;0;0
SSQ138;16/05/2018;49.56;2.133333333;34.5;59.2;0;0;0;0
SSQ137;16/05/2018;0;0;0;0;0;0;0;0
SSQ135;16/05/2018;259.09;10.05;38.7;74;10;0;0;0
SSQ133;16/05/2018;173.41;6.033333333;37.4;64.8;0;0;0;0
SSQ132;16/05/2018;304.22;7.716666667;49.7;64.8;0;0;0;0
SSQ131;16/05/2018;71.57;4.45;25.8;44.4;0;0;0;0
SSQ130;16/05/2018;166.29;6.616666667;26.9;64.8;0;0;0;0
SSQ129;16/05/2018;0;0;0;0;0;0;0;0
SSQ093;16/05/2018;99.17;3.3;43.6;66.6;0;0;0;0
SSQ091;16/05/2018;0.02;0.15;0;0;0;0;0;0
SSQ032;16/05/2018;87.54;2.883333333;38.3;62.9;0;0;0;0
SSQ031;16/05/2018;318.78;9.833333333;37.4;70.3;0;0;0;0
SSQ018;16/05/2018;53.1;1.7;43.4;61.1;0;0;0;0
SSQ017;16/05/2018;63.74;2;37.5;62.9;0;0;0;0
SSQ015;16/05/2018;36.69;1.866666667;32.4;64.8;0;0;0;0
SSQ014;16/05/2018;102.01;5.016666667;44.5;66.6;0;0;0;0
SSQ010;16/05/2018;175.05;7.45;38.4;66.6;4;0;0;0
SSQ008;16/05/2018;59.18;3.5;28;51.8;0;0;0;0
SSQ005;16/05/2018;4.25;0.65;15.9;38.9;0;0;0;0
SSQ000;16/05/2018;129.42;6.966666667;38.9;74;2;0;0;0
SSP995;16/05/2018;266.59;9.966666667;32.5;72.2;1;0;0;0
SSP993;16/05/2018;132.67;3.866666667;40.2;64.8;2;0;0;0
SSP992;16/05/2018;1.16;0.383333333;9.7;14.8;0;0;0;0
SSP990;16/05/2018;75.98;6.05;29;64.8;0;0;0;0
SSP974;16/05/2018;0;0;0;0;0;0;0;0
SSP973;16/05/2018;59.4;2.516666667;36.3;57.4;0;0;0;0
SON561;16/05/2018;101.5;4.766666667;37.4;66.2;0;0;0;0.466666667
SMK871;16/05/2018;6.73;1.583333333;55.7;75.9;1;0;0;0
SMK745;16/05/2018;94.57;2.366666667;54.5;68.5;10;0;0;0
TFU029;16/05/2018;192.9;9.316666667;39.3;73.9;0;0;0;3.583333333
T2124;16/05/2018;0;0;38.5;78.5;0;0;0;0
A63003243;16/05/2018;0;1.65;0;0;0;0;0;1.466666667
A52506011;16/05/2018;0;1.3;0;0;0;0;0;1.05
MI036046;16/05/2018;0;0;40.6;67.6;0;0;0;0
MI036047;16/05/2018;0.1;3.066666667;0;0;0;0;0;2.033333333
6YG00735;16/05/2018;0;0;0;0;0;0;0;0
K8614;16/05/2018;0;0.233333333;7.2;10.1;0;0;0;0
