Placa,Fecha Inicial,Hora Inicial,Fecha Final,Hora Final,Duracion,Latitud,Longitud,Geocerca,Distancia Respecto a Parada Anterior,Tiempo Respecto a Parada Anterior,Motor Apagado,Nombre de Informe
AAM573,2018-05-23,11:24:44,2018-05-23,11:31:44,0.116666667,15.826719,-87.919123,PREDIO PUCAB DPT,0.1,0.02,Si,del 21 al 27 de mayo
AAM573,2018-05-23,11:44:16,2018-05-23,11:55:21,0.184722222,15.825688,-87.919013,PREDIO PUCAB DPT,0.3,0.21,Si,del 21 al 27 de mayo
AAM573,2018-05-23,11:55:57,2018-05-23,12:01:18,0.089166667,15.825793,-87.919425,PREDIO PUCAB DPT,0,0.01,Si,del 21 al 27 de mayo
AAM573,2018-05-23,12:01:42,2018-05-23,12:26:44,0.417222222,15.825845,-87.919454,PREDIO PUCAB DPT,0,0.01,Si,del 21 al 27 de mayo
AAM573,2018-05-23,12:30:13,2018-05-23,13:00:40,0.5075,15.826195,-87.920035,PREDIO PUCAB DPT,0.1,0.06,Si,del 21 al 27 de mayo
AAM573,2018-05-23,13:01:24,2018-05-23,13:26:35,0.419722222,15.82637,-87.920255,PREDIO PUCAB DPT,0,0.01,Si,del 21 al 27 de mayo
AAM573,2018-05-23,13:28:40,2018-05-23,13:52:42,0.400555556,15.826509,-87.920539,PREDIO PUCAB DPT,0,0.03,Si,del 21 al 27 de mayo
AAM573,2018-05-23,13:58:45,2018-05-23,14:06:07,0.122777778,15.827112,-87.918298,PREDIO PUCAB DPT,0.3,0.10,Si,del 21 al 27 de mayo
AAM573,2018-05-23,14:06:07,2018-05-23,14:11:09,0.083888889,15.827105,-87.918252,PREDIO PUCAB DPT,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-21,01:47:01,2018-05-21,08:40:37,6.893333333,15.826994,-87.920108,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,08:40:37,2018-05-21,09:02:34,0.365833333,15.826612,-87.920118,PREDIO PUCAB DPT,0.1,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,09:03:34,2018-05-21,09:11:31,0.1325,15.826744,-87.918662,PREDIO PUCAB DPT,0.2,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-21,09:26:03,2018-05-21,09:47:48,0.3625,15.826649,-87.920146,PREDIO PUCAB DPT,0.1,0.24,Si,del 21 al 27 de mayo
AAM571,2018-05-21,09:52:52,2018-05-21,10:11:19,0.3075,15.82669,-87.920056,PREDIO PUCAB DPT,0.4,0.08,Si,del 21 al 27 de mayo
AAM571,2018-05-21,10:16:20,2018-05-21,10:27:17,0.1825,15.826645,-87.919902,PREDIO PUCAB DPT,0.5,0.08,Si,del 21 al 27 de mayo
AAM571,2018-05-21,10:33:17,2018-05-21,10:56:48,0.391944444,15.825572,-87.918572,PREDIO PUCAB DPT,0.1,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-21,11:00:51,2018-05-21,11:29:18,0.474166667,15.826554,-87.919747,PREDIO PUCAB DPT,0.3,0.07,Si,del 21 al 27 de mayo
AAM571,2018-05-21,11:29:18,2018-05-21,11:57:02,0.462222222,15.826473,-87.919805,PREDIO PUCAB DPT,0,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-21,11:57:02,2018-05-21,13:28:44,1.528333333,15.826705,-87.920031,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,13:31:56,2018-05-21,13:40:53,0.149166667,15.825636,-87.918542,PREDIO PUCAB DPT,0.4,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-21,13:40:53,2018-05-21,13:50:53,0.166666667,15.825596,-87.918998,PREDIO PUCAB DPT,0.1,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,13:50:53,2018-05-21,13:59:50,0.149166667,15.825747,-87.918583,PREDIO PUCAB DPT,0.1,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,14:00:50,2018-05-21,14:08:50,0.133333333,15.82677,-87.919115,PREDIO PUCAB DPT,0.1,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-21,14:23:27,2018-05-21,14:34:27,0.183333333,15.826367,-87.918491,PREDIO PUCAB DPT,0.6,0.24,Si,del 21 al 27 de mayo
AAM571,2018-05-21,14:38:27,2018-05-21,14:48:24,0.165833333,15.827031,-87.918758,PREDIO PUCAB DPT,0.3,0.07,Si,del 21 al 27 de mayo
AAM571,2018-05-21,14:48:24,2018-05-21,15:07:42,0.321666667,15.825852,-87.91848,PREDIO PUCAB DPT,0.1,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,15:07:42,2018-05-21,15:15:01,0.121944444,15.826586,-87.91863,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,15:15:01,2018-05-21,15:58:09,0.718888889,15.826586,-87.91863,PREDIO PUCAB DPT,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-21,15:59:06,2018-05-21,16:11:17,0.203055556,15.826839,-87.919907,PREDIO PUCAB DPT,0.1,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-21,16:16:42,2018-05-21,16:24:39,0.1325,15.826415,-87.918481,PREDIO PUCAB DPT,0.2,0.09,Si,del 21 al 27 de mayo
AAM571,2018-05-21,16:28:20,2018-05-21,17:06:14,0.631666667,15.826726,-87.919977,PREDIO PUCAB DPT,0.2,0.06,Si,del 21 al 27 de mayo
AAM571,2018-05-21,17:09:17,2018-05-21,17:40:14,0.515833333,15.825935,-87.918449,PREDIO PUCAB DPT,0.3,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-21,17:42:14,2018-05-21,17:50:11,0.1325,15.826693,-87.920037,PREDIO PUCAB DPT,0.4,0.03,Si,del 21 al 27 de mayo
AAM571,2018-05-21,17:53:11,2018-05-21,18:02:11,0.15,15.825977,-87.918441,PREDIO PUCAB DPT,0.3,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-21,18:14:08,2018-05-21,18:20:08,0.1,15.825625,-87.91863,PREDIO PUCAB DPT,1.3,0.20,Si,del 21 al 27 de mayo
AAM571,2018-05-21,18:24:05,2018-05-21,18:31:05,0.116666667,15.825726,-87.918586,PREDIO PUCAB DPT,0.5,0.07,Si,del 21 al 27 de mayo
AAM571,2018-05-21,18:32:05,2018-05-21,19:25:46,0.894722222,15.826565,-87.919902,PREDIO PUCAB DPT,0.1,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-21,19:25:46,2018-05-21,19:37:19,0.1925,15.826587,-87.91992,PREDIO PUCAB DPT,0.2,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-21,19:38:19,2018-05-21,19:46:19,0.133333333,15.825566,-87.918725,PREDIO PUCAB DPT,0.4,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-21,19:48:19,2018-05-22,08:23:06,12.57972222,15.826577,-87.920045,PREDIO PUCAB DPT,0.2,0.03,Si,del 21 al 27 de mayo
AAM571,2018-05-22,08:23:43,2018-05-22,08:41:37,0.298333333,15.82697,-87.920007,PREDIO PUCAB DPT,0.1,0.01,Si,del 21 al 27 de mayo
AAM571,2018-05-22,08:41:37,2018-05-22,08:46:37,0.083333333,15.826827,-87.918711,PREDIO PUCAB DPT,0.1,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,08:48:37,2018-05-22,09:16:31,0.465,15.825746,-87.918532,PREDIO PUCAB DPT,0.2,0.03,Si,del 21 al 27 de mayo
AAM571,2018-05-22,09:16:31,2018-05-22,09:23:31,0.116666667,15.826591,-87.91864,PREDIO PUCAB DPT,0.1,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,09:23:31,2018-05-22,09:29:31,0.1,15.827066,-87.918743,PREDIO PUCAB DPT,0.1,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,09:30:08,2018-05-22,10:10:23,0.670833333,15.826876,-87.920066,PREDIO PUCAB DPT,0.1,0.01,Si,del 21 al 27 de mayo
AAM571,2018-05-22,10:10:23,2018-05-22,10:19:36,0.153611111,15.826875,-87.920063,PREDIO PUCAB DPT,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-22,10:25:36,2018-05-22,10:39:33,0.2325,15.825854,-87.918271,PREDIO PUCAB DPT,0.3,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-22,10:39:33,2018-05-22,10:49:30,0.165833333,15.826246,-87.91841,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,10:52:30,2018-05-22,11:11:27,0.315833333,15.826465,-87.91985,PREDIO PUCAB DPT,0.5,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-22,11:11:27,2018-05-22,11:26:27,0.25,15.826317,-87.918473,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,11:26:27,2018-05-22,11:39:24,0.215833333,15.825864,-87.918517,PREDIO PUCAB DPT,0.1,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,11:44:24,2018-05-22,12:02:21,0.299166667,15.826601,-87.919917,PREDIO PUCAB DPT,0.4,0.08,Si,del 21 al 27 de mayo
AAM571,2018-05-22,12:11:18,2018-05-22,13:11:08,0.997222222,15.826634,-87.919947,PREDIO PUCAB DPT,0.5,0.15,Si,del 21 al 27 de mayo
AAM571,2018-05-22,13:16:29,2018-05-22,13:21:42,0.086944444,15.826521,-87.920045,PREDIO PUCAB DPT,0.2,0.09,No,del 21 al 27 de mayo
AAM571,2018-05-22,13:23:45,2018-05-22,13:51:39,0.465,15.825578,-87.918449,PREDIO PUCAB DPT,0.2,0.03,Si,del 21 al 27 de mayo
AAM571,2018-05-22,13:51:39,2018-05-22,14:09:36,0.299166667,15.825585,-87.918828,PREDIO PUCAB DPT,0.2,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,14:12:36,2018-05-22,14:34:21,0.3625,15.826497,-87.919938,PREDIO PUCAB DPT,0.2,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-22,14:41:35,2018-05-22,14:47:35,0.1,15.825751,-87.918567,PREDIO PUCAB DPT,0.5,0.12,Si,del 21 al 27 de mayo
AAM571,2018-05-22,14:48:35,2018-05-22,15:06:32,0.299166667,15.826661,-87.920056,PREDIO PUCAB DPT,0.2,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-22,15:06:32,2018-05-22,15:41:26,0.581666667,15.826386,-87.919812,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,15:47:26,2018-05-22,15:53:23,0.099166667,15.825924,-87.918449,PREDIO PUCAB DPT,0.4,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-22,15:55:23,2018-05-22,17:09:56,1.2425,15.826701,-87.9201,PREDIO PUCAB DPT,0.3,0.03,Si,del 21 al 27 de mayo
AAM571,2018-05-22,17:12:02,2018-05-23,08:46:11,15.56916667,15.826816,-87.919895,PREDIO PUCAB DPT,0,0.04,Si,del 21 al 27 de mayo
AAM571,2018-05-23,08:51:54,2018-05-23,10:13:42,1.363333333,15.825745,-87.918601,PREDIO PUCAB DPT,0.4,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-23,10:22:54,2018-05-23,16:44:39,6.3625,15.826869,-87.920005,PREDIO PUCAB DPT,0.2,0.15,Si,del 21 al 27 de mayo
AAM571,2018-05-23,16:44:39,2018-05-23,17:05:12,0.3425,15.826869,-87.920005,PREDIO PUCAB DPT,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-23,17:08:12,2018-05-23,17:16:09,0.1325,15.826404,-87.918478,PREDIO PUCAB DPT,0.2,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-23,17:16:09,2018-05-23,17:23:09,0.116666667,15.825987,-87.918342,PREDIO PUCAB DPT,0.3,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-23,17:24:09,2018-05-23,17:29:09,0.083333333,15.82652,-87.91986,PREDIO PUCAB DPT,0.2,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-23,17:38:06,2018-05-23,17:46:41,0.143055556,15.826777,-87.919919,PREDIO PUCAB DPT,0.5,0.15,Si,del 21 al 27 de mayo
AAM571,2018-05-23,17:46:41,2018-05-23,18:22:37,0.598888889,15.826488,-87.920036,PREDIO PUCAB DPT,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-23,18:24:37,2018-05-23,18:33:37,0.15,15.825602,-87.918711,PREDIO PUCAB DPT,0.3,0.03,Si,del 21 al 27 de mayo
AAM571,2018-05-23,18:38:37,2018-05-23,18:45:34,0.115833333,15.826502,-87.9198,PREDIO PUCAB DPT,0.5,0.08,Si,del 21 al 27 de mayo
AAM571,2018-05-23,18:45:34,2018-05-23,18:54:34,0.15,15.826745,-87.918723,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-23,19:00:34,2018-05-23,19:06:31,0.099166667,15.826572,-87.918559,PREDIO PUCAB DPT,0.5,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-23,19:07:31,2018-05-23,19:57:12,0.828055556,15.826441,-87.919818,PREDIO PUCAB DPT,0.1,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-23,20:05:42,2018-05-23,20:16:42,0.183333333,15.826561,-87.918551,PREDIO PUCAB DPT,0.6,0.14,Si,del 21 al 27 de mayo
AAM571,2018-05-23,20:47:36,2018-05-23,20:56:16,0.144444444,15.826735,-87.919974,PREDIO PUCAB DPT,2.1,0.52,Si,del 21 al 27 de mayo
AAM571,2018-05-23,20:56:16,2018-05-24,08:13:24,11.28555556,15.826671,-87.920057,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-24,08:13:24,2018-05-24,08:30:08,0.278888889,15.826671,-87.920057,PREDIO PUCAB DPT,0,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-21,10:03:40,2018-05-21,10:26:16,0.376666667,11.452864,-85.840282,GILDAN RIVAS SA,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,10:27:40,2018-05-21,13:32:47,3.085277778,11.452302,-85.839929,GILDAN RIVAS SA,0.1,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-21,13:35:39,2018-05-21,15:58:25,2.379444444,11.45288,-85.840317,GILDAN RIVAS SA,0.2,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-22,11:25:16,2018-05-22,11:44:42,0.323888889,11.452333,-85.840018,GILDAN RIVAS SA,3.5,19.45,Si,del 21 al 27 de mayo
AAM571,2018-05-22,11:45:45,2018-05-22,14:48:20,3.043055556,11.452124,-85.840407,GILDAN RIVAS SA,0,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-22,14:48:20,2018-05-22,15:17:02,0.478333333,11.452124,-85.840407,GILDAN RIVAS SA,0,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-22,15:17:02,2018-05-22,15:23:41,0.110833333,11.452144,-85.840289,GILDAN RIVAS SA,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,15:23:41,2018-05-22,15:46:31,0.380555556,11.452144,-85.840289,GILDAN RIVAS SA,0,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-22,15:46:31,2018-05-22,16:01:10,0.244166667,11.452151,-85.840336,GILDAN RIVAS SA,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,16:01:10,2018-05-22,16:08:11,0.116944444,11.452151,-85.840336,GILDAN RIVAS SA,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-23,00:51:10,2018-05-23,00:58:10,0.116666667,13.062315,-86.950529,GUASAULE,290.6,8.72,Si,del 21 al 27 de mayo
AAM571,2018-05-23,00:58:10,2018-05-23,01:28:32,0.506111111,13.062251,-86.95148,GUASAULE,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-23,01:34:05,2018-05-23,05:22:29,3.806666667,13.062563,-86.956002,GUASAULE,0.5,0.09,Si,del 21 al 27 de mayo
AAM571,2018-05-23,05:22:29,2018-05-23,05:35:28,0.216388889,13.062594,-86.956083,GUASAULE,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-23,05:38:25,2018-05-23,05:46:25,0.133333333,13.062621,-86.95822,GUASAULE,0.3,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-24,05:53:59,2018-05-24,05:59:59,0.1,15.670059,-87.945328,ZIP CHOLOMA TEXTILES,467.3,24.13,Si,del 21 al 27 de mayo
AAM571,2018-05-24,06:02:59,2018-05-24,06:09:32,0.109166667,15.667236,-87.943497,ZIP CHOLOMA TEXTILES,0.5,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-24,06:11:10,2018-05-24,07:57:27,1.771388889,15.667233,-87.94374,ZIP CHOLOMA TEXTILES,0.1,0.03,Si,del 21 al 27 de mayo
AAM571,2018-05-24,08:00:08,2018-05-24,08:09:08,0.15,15.667429,-87.944921,ZIP CHOLOMA TEXTILES,0.2,0.04,Si,del 21 al 27 de mayo
AAM571,2018-05-24,08:51:02,2018-05-24,13:37:55,4.781388889,15.825658,-87.919211,PREDIO PUCAB DPT,30.7,0.70,Si,del 21 al 27 de mayo
AAM571,2018-05-24,13:41:42,2018-05-24,14:14:08,0.540555556,15.826764,-87.919943,PREDIO PUCAB DPT,0.3,0.06,Si,del 21 al 27 de mayo
AAM571,2018-05-24,14:14:08,2018-05-24,14:19:10,0.083888889,15.826709,-87.919969,PREDIO PUCAB DPT,0.2,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-24,14:27:10,2018-05-24,14:43:23,0.270277778,15.826112,-87.919863,PREDIO PUCAB DPT,0.2,0.13,Si,del 21 al 27 de mayo
AAM571,2018-05-24,14:47:30,2018-05-24,14:54:51,0.1225,15.827092,-87.918272,PREDIO PUCAB DPT,0.4,0.07,Si,del 21 al 27 de mayo
AAM571,2018-05-24,15:23:50,2018-05-24,15:31:50,0.133333333,15.669903,-87.945004,GILDAN CHOLTEX,29.1,0.48,Si,del 21 al 27 de mayo
AAM571,2018-05-24,15:42:47,2018-05-24,15:48:47,0.1,15.667784,-87.935902,GILDAN CHOLTEX,1.6,0.18,Si,del 21 al 27 de mayo
AAM571,2018-05-24,16:26:42,2018-05-24,16:36:39,0.165833333,15.825609,-87.919207,PREDIO PUCAB DPT,30.7,0.63,Si,del 21 al 27 de mayo
AAM571,2018-05-24,16:37:39,2018-05-24,16:56:34,0.315277778,15.825936,-87.919674,PREDIO PUCAB DPT,0.1,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-24,17:38:02,2018-05-24,17:43:02,0.083333333,15.670703,-87.935649,GILDAN CHOLTEX,30.3,0.69,Si,del 21 al 27 de mayo
AAM571,2018-05-24,17:44:02,2018-05-24,17:51:02,0.116666667,15.668407,-87.935758,GILDAN CHOLTEX,0.4,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-24,17:56:59,2018-05-24,18:02:59,0.1,15.667246,-87.943412,ZIP CHOLOMA TEXTILES,1.9,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-24,18:37:53,2018-05-24,18:57:50,0.3325,15.826804,-87.918702,PREDIO PUCAB DPT,30.6,0.58,Si,del 21 al 27 de mayo
AAM571,2018-05-24,19:01:50,2018-05-24,19:17:17,0.2575,15.826009,-87.919786,PREDIO PUCAB DPT,0.5,0.07,Si,del 21 al 27 de mayo
AAM571,2018-05-24,19:18:51,2018-05-24,19:24:48,0.099166667,15.826471,-87.920502,PREDIO PUCAB DPT,0.3,0.03,Si,del 21 al 27 de mayo
AAM571,2018-05-24,20:10:42,2018-05-24,20:15:42,0.083333333,15.670078,-87.945142,GILDAN CHOLTEX,28.8,0.77,Si,del 21 al 27 de mayo
AAM571,2018-05-24,20:23:39,2018-05-24,20:30:39,0.116666667,15.667728,-87.936123,GILDAN CHOLTEX,1.7,0.13,Si,del 21 al 27 de mayo
AAM571,2018-05-25,07:36:41,2018-05-25,07:51:41,0.25,15.669958,-87.945231,GILDAN CHOLTEX,73.1,11.10,Si,del 21 al 27 de mayo
AAM571,2018-05-25,07:56:38,2018-05-25,08:04:38,0.133333333,15.667215,-87.943624,ZIP CHOLOMA TEXTILES,0.8,0.08,Si,del 21 al 27 de mayo
AAM571,2018-05-25,08:42:32,2018-05-25,08:59:56,0.29,15.825949,-87.919817,PREDIO PUCAB DPT,30.2,0.63,Si,del 21 al 27 de mayo
AAM571,2018-05-25,09:11:27,2018-05-25,09:47:44,0.604722222,15.825954,-87.919685,PREDIO PUCAB DPT,0.8,0.19,Si,del 21 al 27 de mayo
AAM571,2018-05-25,09:47:44,2018-05-25,09:58:10,0.173888889,15.82595,-87.919638,PREDIO PUCAB DPT,0,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-25,10:03:23,2018-05-25,10:31:10,0.463055556,15.826103,-87.919941,PREDIO PUCAB DPT,0,0.09,Si,del 21 al 27 de mayo
AAM571,2018-05-25,10:32:13,2018-05-25,10:51:39,0.323888889,15.826197,-87.920015,PREDIO PUCAB DPT,0,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-25,12:56:35,2018-05-25,13:02:35,0.1,15.469047,-88.03375,AGENCIA LA MUNDIAL,59.7,2.08,Si,del 21 al 27 de mayo
AAM571,2018-05-21,00:14:16,2018-05-21,15:41:07,15.4475,15.825541,-87.919179,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,15:41:07,2018-05-21,16:16:42,0.593055556,15.825541,-87.919179,PREDIO PUCAB DPT,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-21,16:22:42,2018-05-21,16:37:43,0.250277778,15.826616,-87.920011,PREDIO PUCAB DPT,0.3,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-21,16:43:42,2018-05-21,16:50:42,0.116666667,15.825882,-87.91845,PREDIO PUCAB DPT,0.3,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-21,16:50:42,2018-05-21,16:56:28,0.096111111,15.825618,-87.918914,PREDIO PUCAB DPT,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-21,16:56:28,2018-05-21,17:06:29,0.166944444,15.825618,-87.918914,PREDIO PUCAB DPT,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-21,17:07:29,2018-05-21,17:24:14,0.279166667,15.825909,-87.919645,PREDIO PUCAB DPT,0,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-21,17:25:17,2018-05-21,17:34:42,0.156944444,15.826002,-87.919787,PREDIO PUCAB DPT,0,0.02,Si,del 21 al 27 de mayo
AAM571,2018-05-21,17:40:31,2018-05-22,04:50:25,11.165,15.826303,-87.920131,PREDIO PUCAB DPT,0,0.10,Si,del 21 al 27 de mayo
AAM571,2018-05-22,04:50:25,2018-05-22,04:57:58,0.125833333,15.826303,-87.920131,PREDIO PUCAB DPT,0,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-22,05:00:54,2018-05-22,05:06:45,0.0975,15.827101,-87.918258,PREDIO PUCAB DPT,0.4,0.05,Si,del 21 al 27 de mayo
AAM571,2018-05-22,05:34:41,2018-05-22,05:42:41,0.133333333,15.839539,-87.934275,OPC,4.4,0.47,Si,del 21 al 27 de mayo
AAM571,2018-05-22,15:34:32,2018-05-22,15:40:55,0.106388889,14.041652,-87.239662,INDASHEN TGL,348.3,9.86,Si,del 21 al 27 de mayo
AAM571,2018-05-22,15:44:55,2018-05-22,17:50:25,2.091666667,14.04143,-87.240031,INDASHEN TGL,0.1,0.07,Si,del 21 al 27 de mayo
AAM571,2018-05-22,17:51:00,2018-05-22,18:45:24,0.906666667,14.041818,-87.240196,INDASHEN TGL,0,0.01,Si,del 21 al 27 de mayo
AAM571,2018-05-22,18:45:24,2018-05-22,19:00:38,0.253888889,14.041818,-87.240196,INDASHEN TGL,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-22,19:00:38,2018-05-22,19:12:42,0.201111111,14.041488,-87.2402,INDASHEN TGL,0,0.00,Si,del 21 al 27 de mayo
AAM571,2018-05-22,19:12:42,2018-05-22,19:22:42,0.166666667,14.041488,-87.2402,INDASHEN TGL,0.1,0.00,No,del 21 al 27 de mayo
AAM571,2018-05-26,18:15:31,2018-05-27,06:38:24,12.38138889,14.375919,-89.209605,FRONTERA EL POY,610.7,94.88,Si,del 21 al 27 de mayo
AAM571,2018-05-27,06:38:24,2018-05-27,06:50:37,0.203611111,14.375729,-89.209592,FRONTERA EL POY,0,0.00,No,del 21 al 27 de mayo
