Placas,Fecha,Aceleracion Fuerte,apagado del vehiculo,Apertura Puerta Carga,Conexión alimentacion externa,Control de audio,Desconexión alimentacion externa,Distancia Recorrida,encendido del vehiculo,Equipo apagado,Equipo encendido,Exceso de velocidad,Fallo de Bateria Principal,Fin carga de bateria,Frenada Fuerte,Fuera del rango de velocidad,Horometro,Ingreso a,Inicio carga bateria,Interrogacion posicion,Interrogacion posicion Llamada,Maxima Velocidad,Movimiento Ilegal,Nivel bajo de bateria,Panico,Por tiempo de lectura,Posible Colisión,Primera localización despues de encendido,Pta cabina,Salida de,Tiempo de Actividad,Tiempo en Exceso de velocidad,Tiempo fuera del rango de velocidad,Tiempo Ralenti,Velocidad Promedio,Nombre de Informe
AAM110,11/05/2018,0,13,0,9,0,10,55,13,0,0,0,0,0,0,0,3.14,3,0,0,0,83.2,0,0,0,215,0,0,0,2,3.166666667,0,0,0.1,30.5,Del 1 al 31 de mayo
AAM110,12/05/2018,0,36,0,30,0,31,88.4,37,0,0,0,0,0,0,0,3.645,4,0,0,0,81.9,0,0,0,272,0,0,0,5,3.683333333,0,0,0,37.8,Del 1 al 31 de mayo
AAM110,13/05/2018,0,35,0,27,0,27,85.3,34,0,0,0,0,0,1,0,3.895555556,4,0,0,0,88.6,0,0,0,285,0,0,0,4,3.95,0,0,0,26.8,Del 1 al 31 de mayo
AAM110,14/05/2018,0,12,0,13,0,13,36.1,12,0,0,0,0,0,0,0,2.378888889,2,0,0,0,70.7,0,0,0,166,0,0,0,2,2.4,0,0,0.383333333,34.6,Del 1 al 31 de mayo
AAM110,15/05/2018,0,9,0,6,0,6,138.9,9,0,0,0,0,0,1,1,3.294166667,1,0,0,0,100.8,0,0,0,217,0,0,0,1,3.316666667,0,0,0.016666667,55,Del 1 al 31 de mayo
AAM110,16/05/2018,0,10,0,12,0,13,47.1,10,0,0,0,0,0,1,0,2.543055556,2,0,0,0,90.1,0,0,0,174,0,0,0,2,2.55,0,0,0.2,30.8,Del 1 al 31 de mayo
AAM110,17/05/2018,0,14,0,17,0,15,216.3,15,0,0,0,0,0,2,0,6.801111111,4,0,0,0,106.9,0,0,0,439,0,0,0,4,6.833333333,0,0,0.083333333,47.7,Del 1 al 31 de mayo
AAM110,18/05/2018,0,18,0,17,0,15,72.3,17,0,0,0,0,0,2,0,4.986388889,1,0,0,0,86.6,0,0,0,327,0,0,0,1,5.033333333,0,0,0.666666667,28.8,Del 1 al 31 de mayo
AAM110,19/05/2018,0,6,0,6,0,5,33.6,6,0,0,0,0,0,0,0,1.691111111,0,0,0,0,85.8,0,0,0,117,0,0,0,0,1.7,0,0,0,28.9,Del 1 al 31 de mayo
AAM110,20/05/2018,0,7,0,4,0,5,14.2,7,0,0,0,0,0,2,0,0.868611111,0,0,0,0,79,0,0,0,70,0,0,0,0,0.883333333,0,0,0.016666667,25.8,Del 1 al 31 de mayo
AAM110,21/05/2018,0,10,0,7,0,8,28.4,10,0,0,0,0,0,2,0,1.426111111,0,0,0,0,81.1,1,0,0,110,0,0,0,0,1.45,0,0,0.066666667,33.4,Del 1 al 31 de mayo
AAM110,22/05/2018,0,2,0,3,0,3,0,2,0,0,0,0,0,0,0,0.256111111,0,0,0,0,0,0,0,0,24,0,0,0,0,0.25,0,0,0.016666667,0,Del 1 al 31 de mayo
AAM110,23/05/2018,0,14,0,16,0,14,100.2,14,0,0,0,0,0,0,0,2.57,0,0,0,0,89.6,3,0,0,186,0,0,0,0,2.583333333,0,0,0.15,52.2,Del 1 al 31 de mayo
AAM110,25/05/2018,0,13,0,12,0,13,29.5,12,0,0,0,0,0,0,0,1.840277778,0,0,0,0,76.7,0,0,0,132,0,0,0,0,0,0,0,0.1,29.4,Del 1 al 31 de mayo
AAM110,26/05/2018,0,18,0,23,0,22,4.2,18,0,0,0,0,0,0,0,1.168055556,0,0,0,0,53.9,0,0,0,93,0,0,0,0,1.183333333,0,0,0.466666667,22.3,Del 1 al 31 de mayo
AAM110,27/05/2018,0,8,0,5,0,7,0.6,8,0,0,0,0,0,0,0,0.576388889,0,0,0,0,8.9,0,0,0,52,0,0,0,0,0.583333333,0,0,0.016666667,7.4,Del 1 al 31 de mayo
AAM110,28/05/2018,0,8,0,11,0,12,33.6,8,0,0,0,0,0,2,0,2.445555556,0,0,0,0,79.5,0,0,0,165,0,0,0,0,2.466666667,0,0,0.25,27.3,Del 1 al 31 de mayo
AAM110,29/05/2018,0,1,0,6,0,6,2.7,1,0,0,0,0,0,0,0,0.159722222,0,0,0,0,75.5,0,0,0,20,0,0,0,0,0.166666667,0,0,0,22.2,Del 1 al 31 de mayo
AAM110,30/05/2018,0,3,0,5,0,5,4.7,3,0,0,0,0,0,0,0,0.224166667,0,0,0,0,63.8,0,0,0,25,0,0,0,0,0.216666667,0,0,0,36.2,Del 1 al 31 de mayo
AAM110,31/05/2018,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,Del 1 al 31 de mayo
AAM110,24/05/2018,0,14,0,18,0,17,35.1,14,0,0,0,0,0,0,0,2.838055556,0,0,0,0,73.8,0,0,0,198,0,0,0,0,2.866666667,0,0,0.483333333,32.8,Del 1 al 31 de mayo
AAM110,01/05/2018,0,15,0,1,0,1,199.2,15,0,0,0,0,0,0,0,5.090555556,0,0,0,0,91.9,0,0,0,335,0,0,0,0,5.116666667,0,0,0.016666667,48,Del 1 al 31 de mayo
AAM110,02/05/2018,0,25,0,1,0,1,79.5,25,0,0,0,0,0,0,0,3.416388889,0,0,0,0,85,0,0,0,246,0,0,0,0,3.433333333,0,0,0.466666667,37.3,Del 1 al 31 de mayo
AAM110,03/05/2018,0,24,0,0,0,0,175.6,24,0,0,0,0,0,0,0,5.447777778,0,0,0,0,77.1,3,0,0,373,0,0,0,0,5.466666667,0,0,0.216666667,42.8,Del 1 al 31 de mayo
AAM110,04/05/2018,0,22,0,0,0,0,115.9,22,0,0,0,0,0,1,0,4.711666667,0,0,0,0,83.4,0,0,0,319,0,0,0,0,4.733333333,0,0,0.166666667,37.1,Del 1 al 31 de mayo
AAM110,05/05/2018,0,14,0,0,0,0,177.3,14,0,0,0,0,0,1,0,5.104166667,0,0,0,0,85.9,0,0,0,332,0,0,0,0,5.116666667,0,0,0.216666667,46.8,Del 1 al 31 de mayo
AAM110,06/05/2018,0,10,0,0,0,0,23.2,10,0,0,0,0,0,0,0,1.218055556,0,0,0,0,61.7,0,0,0,94,0,0,0,0,1.233333333,0,0,0,23.2,Del 1 al 31 de mayo
AAM110,07/05/2018,0,29,0,0,0,0,93.5,29,0,0,0,0,0,0,0,4.023611111,0,0,0,0,78.7,0,0,0,287,0,0,0,0,4.066666667,0,0,0.116666667,34.3,Del 1 al 31 de mayo
AAM110,08/05/2018,0,28,0,0,0,0,195.2,28,0,0,0,0,0,1,0,5.694166667,0,0,0,0,86.7,0,0,0,386,0,0,0,1,5.716666667,0,0,0.416666667,46.7,Del 1 al 31 de mayo
AAM110,09/05/2018,0,22,0,0,0,0,114.3,22,0,0,0,0,0,0,0,4.458611111,8,0,0,0,83.3,0,0,0,305,0,0,0,8,4.483333333,0,0,0.166666667,33.2,Del 1 al 31 de mayo
AAM110,10/05/2018,0,20,0,1,0,1,171.7,20,0,0,0,0,0,0,0,7.275277778,8,0,0,0,84.2,0,0,0,472,0,0,0,8,7.316666667,0,0,1.666666667,41.7,Del 1 al 31 de mayo
AAM110,11/05/2018,0,27,0,1,0,1,119.5,27,0,0,0,0,0,0,0,5.448611111,4,0,0,0,83.7,0,0,0,372,0,0,0,4,5.483333333,0,0,0.216666667,34.3,Del 1 al 31 de mayo
AAM110,12/05/2018,0,11,0,0,0,0,138.8,11,0,0,0,0,0,0,0,3.700833333,2,0,0,0,89.9,0,0,0,246,0,0,0,2,3.716666667,0,0,0.3,53.5,Del 1 al 31 de mayo
AAM110,13/05/2018,0,3,0,0,0,0,4.3,3,0,0,0,0,0,0,0,0.528055556,0,0,0,0,66.7,0,0,0,44,0,0,0,0,0.533333333,0,0,0.116666667,19.3,Del 1 al 31 de mayo
AAM110,14/05/2018,0,24,0,0,0,0,160.3,24,0,0,0,0,0,1,0,4.24,5,0,0,0,90.4,0,0,0,294,0,0,0,5,4.283333333,0,0,0,45.3,Del 1 al 31 de mayo
AAM110,15/05/2018,0,22,0,1,0,1,213.6,22,0,0,0,0,0,1,0,5.615833333,6,0,0,0,86,0,0,0,374,0,0,0,6,5.65,0,0,0.083333333,43.8,Del 1 al 31 de mayo
AAM110,16/05/2018,0,28,0,0,0,0,199,28,0,0,0,0,0,0,0,6.570833333,7,0,0,0,85.4,0,0,0,439,0,0,0,7,6.6,0,0,0.166666667,42.7,Del 1 al 31 de mayo
AAM110,17/05/2018,0,21,0,2,0,2,188.4,21,0,0,0,0,0,2,0,6.7775,8,0,0,0,85.4,0,0,0,443,0,0,0,8,6.816666667,0,0,0.166666667,34.3,Del 1 al 31 de mayo
AAM110,18/05/2018,0,21,0,4,0,4,130.7,21,0,0,0,0,0,0,0,4.811388889,2,0,0,0,84.5,0,0,0,328,0,0,0,2,4.85,0,0,0.116666667,38.9,Del 1 al 31 de mayo
AAM110,19/05/2018,0,16,0,2,0,2,105.1,16,0,0,0,0,0,1,0,3.808888889,0,0,0,0,85.4,0,0,0,258,0,0,0,0,3.833333333,0,0,0.066666667,38,Del 1 al 31 de mayo
AAM110,20/05/2018,0,10,0,1,0,1,6.1,10,0,0,0,0,0,0,0,0.675833333,0,0,0,0,25.6,0,0,0,63,0,0,0,0,0.683333333,0,0,0,15.3,Del 1 al 31 de mayo
AAM110,21/05/2018,0,23,0,2,0,2,151.3,23,0,0,0,0,0,0,0,5.056944444,0,0,0,0,78,0,0,0,343,0,0,0,0,5.083333333,0,0,0.183333333,41.6,Del 1 al 31 de mayo
AAM110,22/05/2018,0,21,0,1,0,1,242.1,21,0,0,0,0,0,0,0,7.051944444,0,0,0,0,81.5,1,0,0,462,0,0,0,0,7.083333333,0,0,0.266666667,45.5,Del 1 al 31 de mayo
AAM110,23/05/2018,0,22,0,0,0,0,94,22,0,0,0,0,0,0,0,4.021111111,0,0,0,0,80.2,0,0,0,280,0,0,0,0,4.05,0,0,0.266666667,33.2,Del 1 al 31 de mayo
AAM110,25/05/2018,0,26,0,4,0,4,241.3,26,0,0,0,0,0,0,0,6.950277778,0,0,0,0,81.9,0,0,0,464,0,0,0,0,6.983333333,0,0,0.1,45,Del 1 al 31 de mayo
AAM110,26/05/2018,0,36,0,1,0,1,165.2,36,0,0,0,0,0,1,0,5.936388889,0,0,0,0,81.8,0,0,0,409,0,0,0,0,5.966666667,0,0,0.033333333,36.7,Del 1 al 31 de mayo
AAM110,27/05/2018,0,11,0,1,0,1,19.5,11,0,0,0,0,0,0,0,1.175,0,0,0,0,60,0,0,0,95,0,0,0,0,1.2,0,0,0,23.4,Del 1 al 31 de mayo
AAM110,28/05/2018,0,26,0,0,0,0,134.4,26,0,0,0,0,0,0,0,4.818888889,0,0,0,0,85.1,0,0,0,331,0,0,0,0,4.85,0,0,0.333333333,38,Del 1 al 31 de mayo
AAM110,29/05/2018,0,30,0,2,0,2,220.8,30,0,0,0,0,0,0,0,5.928055556,0,0,0,0,83.9,0,0,0,408,0,0,0,0,5.95,0,0,0.15,48,Del 1 al 31 de mayo
AAM110,30/05/2018,0,33,0,9,0,9,180.5,33,0,0,0,0,0,1,0,5.110277778,0,0,0,0,86.7,1,0,0,361,0,0,0,0,5.133333333,0,0,0.083333333,45.3,Del 1 al 31 de mayo
AAM110,31/05/2018,0,22,0,0,0,0,199.6,22,0,0,0,0,0,1,0,5.682777778,0,0,0,0,85.9,0,0,0,382,0,0,0,0,5.716666667,0,0,0.216666667,46.3,Del 1 al 31 de mayo
AAM110,24/05/2018,0,25,0,1,0,1,281.8,25,0,0,0,0,0,0,0,8.225833333,0,0,0,0,83,0,0,0,538,0,0,0,0,8.266666667,0,0,0.416666667,45.7,Del 1 al 31 de mayo
AAM555,01/05/2018,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,13,0,0,0,0,0.05,0,0,0,0,Del 1 al 31 de mayo
AAM555,02/05/2018,0,6,0,1,0,1,50.2,6,0,0,0,0,0,0,0,2.289444444,0,0,0,0,87.1,0,0,0,154,0,0,0,0,2.316666667,0,0,0,38.6,Del 1 al 31 de mayo
AAM555,03/05/2018,0,10,0,1,0,1,49.8,9,0,0,0,0,0,0,0,3.965555556,0,0,0,0,84.1,0,0,0,259,0,0,0,0,0,0,0,0,34,Del 1 al 31 de mayo
AAM555,04/05/2018,0,5,0,0,0,0,47.4,5,0,0,0,0,0,0,0,2.371666667,0,0,0,0,85.7,0,0,0,158,0,0,0,0,2.4,0,0,0,40.3,Del 1 al 31 de mayo
AAM555,05/05/2018,0,6,0,2,0,2,78.2,6,0,0,0,0,0,2,0,2.705,0,0,0,0,95.1,0,0,1,178,0,0,0,0,2.716666667,0,0,0,48.2,Del 1 al 31 de mayo
AAM555,06/05/2018,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1.374166667,0,0,0,0,0,0,0,0,92,0,0,0,0,1.366666667,0,0,0,0,Del 1 al 31 de mayo
AAM555,07/05/2018,0,13,0,0,0,0,51.8,13,0,0,0,0,0,0,0,5.321666667,0,0,0,0,120.5,0,0,0,341,0,0,0,0,5.333333333,0,0,0,33.3,Del 1 al 31 de mayo
AAM555,08/05/2018,0,10,0,1,0,1,67.1,10,0,0,0,0,0,0,0,4.083333333,0,0,0,0,84.1,0,0,0,265,0,0,0,0,4.1,0,0,0,37.9,Del 1 al 31 de mayo
AAM555,09/05/2018,0,5,0,0,0,0,47.3,5,0,0,0,0,0,2,0,2.432777778,0,0,0,0,94.4,0,0,0,159,0,0,0,0,2.466666667,0,0,0,37.7,Del 1 al 31 de mayo
AAM555,10/05/2018,0,6,0,2,0,2,47.8,6,0,0,0,0,0,1,0,3.209444444,0,0,0,0,80,0,0,1,208,0,0,0,0,3.233333333,0,0,0,34.3,Del 1 al 31 de mayo
AAM555,11/05/2018,0,7,0,0,0,0,48.7,7,0,0,0,0,0,0,0,3.748055556,1,0,0,0,78.1,0,0,0,240,0,0,0,1,3.766666667,0,0,0,32.9,Del 1 al 31 de mayo
AAM555,12/05/2018,0,7,0,2,0,2,78.1,7,0,0,0,0,0,1,0,3.063611111,3,0,0,0,112.2,0,0,0,201,0,0,0,3,3.066666667,0,0,0,44.5,Del 1 al 31 de mayo
AAM555,13/05/2018,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.051944444,0,0,0,0,0,0,0,0,13,0,0,0,0,0.05,0,0,0,0,Del 1 al 31 de mayo
AAM555,14/05/2018,0,9,0,0,0,0,59.8,9,0,0,0,0,0,0,0,5.799166667,0,0,0,0,86.2,0,0,0,369,0,0,0,0,5.833333333,0,0,0,30.2,Del 1 al 31 de mayo
AAM555,15/05/2018,0,7,0,1,0,1,196.2,7,0,0,0,0,0,0,0,5.901944444,6,0,0,0,108.9,0,0,0,370,0,0,0,6,5.933333333,0,0,0,47.8,Del 1 al 31 de mayo
AAM555,16/05/2018,0,16,0,0,0,0,351.5,16,0,0,0,0,0,1,0,12.84055556,11,0,0,0,107,0,0,0,791,0,0,0,11,12.88333333,0,0,0,44.9,Del 1 al 31 de mayo
AAM555,17/05/2018,0,11,0,0,0,0,156,11,0,0,0,0,0,1,0,5.901944444,2,0,0,0,122,0,0,0,377,0,0,0,2,5.933333333,0,0,0,50.6,Del 1 al 31 de mayo
AAM555,18/05/2018,0,10,0,1,0,1,49,10,0,0,0,0,0,0,0,3.075,0,0,0,0,78.5,0,0,0,205,0,0,0,0,3.116666667,0,0,0,36.5,Del 1 al 31 de mayo
AAM555,19/05/2018,0,10,0,1,0,1,39.7,10,0,0,0,0,0,1,0,1.926111111,0,0,0,0,97,0,0,0,137,0,0,0,0,1.933333333,0,0,0,41,Del 1 al 31 de mayo
AAM555,20/05/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Del 1 al 31 de mayo
AAM555,21/05/2018,0,4,0,0,0,0,47.1,4,0,0,0,0,0,0,0,2.159166667,0,0,0,0,85.7,0,0,0,142,0,0,0,0,2.166666667,0,0,0,39.6,Del 1 al 31 de mayo
AAM555,22/05/2018,0,7,0,1,0,1,51.9,7,0,0,0,0,0,1,0,3.139722222,0,0,0,0,76.8,0,0,0,208,0,0,0,0,3.166666667,0,0,0,38.2,Del 1 al 31 de mayo
AAM555,23/05/2018,0,7,0,0,0,0,12.2,7,0,0,0,0,0,1,0,0.880277778,0,0,0,0,78,0,0,0,74,0,0,0,0,0.883333333,0,0,0,40.5,Del 1 al 31 de mayo
AAM555,25/05/2018,0,11,0,2,0,2,50.8,11,0,0,0,0,0,0,0,4.521111111,0,0,0,0,66.2,0,0,0,294,0,0,0,0,4.55,0,0,0,34,Del 1 al 31 de mayo
AAM555,26/05/2018,0,6,0,0,0,0,72.5,6,0,0,0,0,0,0,0,4.296388889,0,0,0,0,113.4,0,0,0,273,0,0,0,0,4.316666667,0,0,0,36.7,Del 1 al 31 de mayo
AAM555,27/05/2018,0,5,0,1,0,1,3.5,5,0,0,0,0,0,0,0,1.251944444,0,0,0,0,48.9,0,0,0,88,0,0,0,0,1.266666667,0,0,0,19.1,Del 1 al 31 de mayo
AAM555,28/05/2018,0,12,0,2,0,2,50.4,12,0,0,0,0,0,0,0,3.634722222,0,0,0,0,224.5,0,0,0,238,0,0,0,0,3.65,0,0,0,33.4,Del 1 al 31 de mayo
AAM555,29/05/2018,0,13,0,2,0,2,49.6,13,0,0,0,0,0,1,0,3.622222222,0,0,0,0,87.9,0,0,0,242,0,0,0,0,3.65,0,0,0,36.6,Del 1 al 31 de mayo
AAM555,30/05/2018,0,5,0,1,0,1,52.3,5,0,0,0,0,0,0,0,2.939722222,0,0,0,0,85,0,0,0,189,0,0,0,0,2.95,0,0,0,33.4,Del 1 al 31 de mayo
AAM555,31/05/2018,0,12,0,1,0,1,71.1,12,0,0,0,0,0,0,0,7.138888889,0,0,0,0,83.4,0,0,0,450,0,0,0,0,7.166666667,0,0,0,31.7,Del 1 al 31 de mayo
AAM555,24/05/2018,0,9,0,1,0,1,49.8,9,0,0,0,0,0,0,0,3.446666667,0,0,0,0,78.8,0,0,0,228,0,0,0,0,3.483333333,0,0,0,33.3,Del 1 al 31 de mayo
AAM571,01/05/2018,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2.131388889,0,0,0,0,0,0,0,0,140,0,0,0,0,2.15,0,0,0.516666667,0,Del 1 al 31 de mayo
AAM571,02/05/2018,0,13,0,1,0,1,9.3,13,0,0,0,0,0,0,0,6.546388889,0,0,0,0,28.2,0,0,0,421,0,0,0,0,6.583333333,0,0,0.916666667,15.3,Del 1 al 31 de mayo
AAM571,03/05/2018,0,8,0,0,0,0,262,8,0,0,0,0,0,0,1,8.7975,0,0,0,0,104.9,0,0,0,547,0,0,0,0,8.833333333,0,0,0.083333333,49.2,Del 1 al 31 de mayo
AAM571,04/05/2018,0,14,0,0,0,0,276.3,14,0,0,0,0,0,0,0,10.39472222,0,0,0,0,87.6,0,0,2,654,0,0,0,0,10.43333333,0,0,0.05,42.4,Del 1 al 31 de mayo
AAM571,05/05/2018,0,17,0,0,0,0,240,17,0,0,0,0,0,0,0,7.088611111,2,0,0,0,98.3,0,0,0,455,0,0,0,2,7.116666667,0,0,0,49.8,Del 1 al 31 de mayo
AAM571,06/05/2018,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.358333333,0,0,0,0,0,0,0,0,33,0,0,0,0,0.35,0,0,0,0,Del 1 al 31 de mayo
AAM571,07/05/2018,0,34,0,3,0,3,110.1,34,0,0,0,0,0,0,0,7.766111111,6,0,0,0,94.7,0,0,0,521,0,0,0,5,7.8,0,0,0.216666667,43,Del 1 al 31 de mayo
AAM571,08/05/2018,0,10,0,2,0,2,128.8,10,0,0,0,0,0,0,0,7.195833333,7,0,0,0,103,0,0,1,456,0,0,0,7,7.233333333,0,0,0.233333333,44.9,Del 1 al 31 de mayo
AAM571,09/05/2018,0,11,0,1,0,1,336.7,11,0,0,0,0,0,0,0,9.673333333,2,0,0,0,106.2,0,0,2,603,0,0,0,2,9.7,0,0,0.633333333,47.2,Del 1 al 31 de mayo
AAM571,10/05/2018,0,6,0,2,0,2,181.2,6,0,0,0,0,0,0,1,4.8475,0,0,0,0,98.9,0,0,0,309,0,0,0,1,4.883333333,0,0,0,49,Del 1 al 31 de mayo
AAM571,11/05/2018,0,14,0,2,0,2,9.2,14,0,0,0,0,0,0,0,2.851944444,0,0,0,0,27,0,0,0,198,0,0,0,0,2.883333333,0,0,0.116666667,12.9,Del 1 al 31 de mayo
AAM571,12/05/2018,0,8,0,0,0,0,0.9,8,0,0,0,0,0,0,0,1.278333333,0,0,0,0,28.7,0,0,0,96,0,0,0,0,1.316666667,0,0,0,11.7,Del 1 al 31 de mayo
AAM571,13/05/2018,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0.603888889,0,0,0,0,0,0,0,0,51,0,0,0,0,0.616666667,0,0,0,0,Del 1 al 31 de mayo
AAM571,14/05/2018,0,10,0,2,0,2,182.2,10,0,0,0,0,0,0,0,7.188333333,2,0,0,0,79.4,0,0,0,454,0,0,0,1,7.2,0,0,0.2,44.4,Del 1 al 31 de mayo
AAM571,15/05/2018,0,9,0,0,0,0,274.6,9,0,0,0,0,0,0,0,7.866111111,3,0,0,0,88.1,0,0,0,490,0,0,0,4,7.866666667,0,0,0.05,41.5,Del 1 al 31 de mayo
AAM571,16/05/2018,0,15,0,1,0,1,169.8,15,0,0,0,0,0,1,0,7.329722222,8,0,0,0,109.5,0,0,0,469,0,0,0,7,7.35,0,0,0,48.9,Del 1 al 31 de mayo
AAM571,17/05/2018,0,27,0,1,0,1,144.9,28,0,0,0,0,0,0,0,9.038888889,1,0,0,0,88.4,0,0,0,593,0,0,0,2,9.083333333,0,0,0,42.2,Del 1 al 31 de mayo
AAM571,18/05/2018,0,24,0,1,0,1,94.2,23,0,0,0,0,0,0,0,9.509166667,1,0,0,0,98.2,0,0,1,611,0,0,0,1,9.233333333,0,0,1.783333333,45,Del 1 al 31 de mayo
AAM571,19/05/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Del 1 al 31 de mayo
AAM571,20/05/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Del 1 al 31 de mayo
AAM571,21/05/2018,0,9,0,0,0,0,0.9,9,0,0,0,0,0,0,0,1.315,0,0,0,0,7.6,0,0,0,99,0,0,0,0,1.316666667,0,0,0,6.4,Del 1 al 31 de mayo
AAM571,22/05/2018,0,10,0,1,0,1,485.3,10,0,0,0,0,0,0,0,13.41888889,3,0,0,0,96,0,0,1,825,0,0,0,3,13.45,0,0,0.5,48.7,Del 1 al 31 de mayo
AAM571,23/05/2018,0,4,0,0,0,0,291.1,4,0,0,0,0,0,0,0,7.693333333,0,0,0,0,88.8,0,0,0,474,0,0,0,0,7.7,0,0,0,50.1,Del 1 al 31 de mayo
AAM571,25/05/2018,0,4,0,1,0,0,5.4,4,0,0,0,0,0,0,0,1.548888889,0,0,0,0,22.3,0,0,0,106,0,0,0,0,1.566666667,0,0,0,13,Del 1 al 31 de mayo
AAM571,26/05/2018,0,14,0,1,0,1,180.9,14,0,0,0,0,0,0,0,7.251388889,0,0,0,0,84.8,0,0,0,463,0,0,0,0,7.266666667,0,0,0.183333333,39.5,Del 1 al 31 de mayo
AAM571,27/05/2018,0,5,0,0,0,0,284.5,5,0,0,0,0,0,0,0,8.9575,0,0,0,0,77.3,0,0,0,552,0,0,0,0,8.966666667,0,0,0.133333333,37.6,Del 1 al 31 de mayo
AAM571,28/05/2018,0,7,0,0,0,0,304.4,7,0,0,0,0,0,0,0,10.29638889,0,0,0,0,94.3,0,0,1,634,0,0,0,0,10.3,0,0,0.166666667,39.3,Del 1 al 31 de mayo
AAM571,29/05/2018,0,11,0,1,0,1,3.8,11,0,0,0,0,0,0,0,1.563611111,0,0,0,0,23.4,0,0,0,115,0,0,0,0,1.583333333,0,0,0.183333333,12.5,Del 1 al 31 de mayo
AAM571,30/05/2018,0,4,0,1,0,2,181.4,4,0,0,0,0,0,0,0,5.3625,0,0,0,0,97.8,0,0,0,336,0,0,0,0,5.383333333,0,0,0.15,46,Del 1 al 31 de mayo
AAM571,31/05/2018,0,4,0,2,0,2,0.6,4,0,0,0,0,0,0,0,0.698611111,0,0,0,0,6.8,0,0,0,55,0,0,0,0,0.7,0,0,0,5.7,Del 1 al 31 de mayo
