Placa;Fecha;Exceso de velocidad;Tiempo en Exceso de velocidad;Distancia Recorrida (Km);Tiempo de Actividad;Velocidad Promedio;Maxima Velocidad;Tiempo fuera del rango de velocidad;Fuera del rango de velocidad;Frenada Fuerte;Aceleracion Fuerte;Tiempo Ralenti
BC540029;11/07/2018;0;0;6.6;0.047;11;15.8;0;0;0;0;0.015
BC540635;11/07/2018;0;0;14.9;0.160;9.7;13;0;0;0;0;0.000
CCD00389;11/07/2018;0;0;0;0.091;0;0;0;0;0;0;0.000
D0000828;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0001133;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0006478;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0007099;11/07/2018;0;0;0.33524;0.295;0;0;0;0;0;0;0.000
F0017323;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP08360;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP13063;11/07/2018;0;0;55.50779;0.428;15.7;35.1;0;0;0;0;0.000
RKG01398;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
TMX243;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
WCP188;11/07/2018;0;0;267.45228;0.411;40.8;83.2;0;0;0;0;0.000
WCP189;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
PAB03338;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
3MR02053;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
DJD01667;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
B0006808;11/07/2018;0;0;0;0.000;0;0;0:00;0;0;0;0.000
A8F03121;11/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
4X2619;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
ALY00936;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
BC540029;12/07/2018;0;0;20.4;0.094;14.5;20;0;0;0;0;0.017
BC540635;12/07/2018;0;0;0;0.009;0;0;0;0;0;0;0.000
CCD00389;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
D0000828;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0001133;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0006478;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0007099;12/07/2018;0;0;0.07888;0.329;0;0;0;0;0;0;0.000
F0017323;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP08360;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP13063;12/07/2018;0;0;16.20202;0.324;13.6;24.1;0;0;0;0;0.000
RKG01398;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
TMX243;12/07/2018;0;0;0.0995;0.007;0;0;0;0;0;0;0.000
WCP188;12/07/2018;0;0;256.85381;0.362;44.2;92.5;0;0;0;0;0.000
WCP189;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
PAB03338;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
3MR02053;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
DJD01667;12/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
B0006808;12/07/2018;0;0;0;0.000;0;0;0:00;0;0;0;0.000
A8F03121;12/07/2018;0;0;0.02475;0.997;0;0;0;0;0;0;0.000
4X2619;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
ALY00936;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
BC540029;13/07/2018;0;0;27.3;0.274;13.6;20.9;0;0;0;0;0.117
BC540635;13/07/2018;0;0;15.2;0.335;9.2;11.3;0;0;0;0;0.000
CCD00389;13/07/2018;0;0;0;0.542;0;0;0;0;0;0;0.000
D0000828;13/07/2018;0;0;0.17975;0.054;0;0;0;0;0;0;0.000
E0001133;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0006478;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0007099;13/07/2018;0;0;0.55808;0.287;5.6;5.6;0;0;0;0;0.000
F0017323;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP08360;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP13063;13/07/2018;0;0;18.01936;0.422;17.9;27.8;0;0;0;0;0.000
RKG01398;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
TMX243;13/07/2018;0;0;5.82462;0.172;11;29.6;0;0;0;0;0.000
WCP188;13/07/2018;0;0;155.43243;0.298;44.7;77.7;0;0;0;0;0.000
WCP189;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
PAB03338;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
3MR02053;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
DJD01667;13/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
B0006808;13/07/2018;0;0;0;0.000;0;0;0:00;0;0;0;0.000
A8F03121;13/07/2018;0;0;0.06138;0.000;0;0;0;0;0;0;0.000
4X2619;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
ALY00936;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
BC540029;14/07/2018;0;0;17.2;0.203;12.3;20.1;0;0;0;0;0.069
BC540635;14/07/2018;0;0;7.9;0.231;13.1;13.1;0;0;0;0;0.000
CCD00389;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
D0000828;14/07/2018;0;0;0.01997;0.003;0;0;0;0;0;0;0.000
E0001133;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0006478;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0007099;14/07/2018;0;0;0.0986;0.232;0;0;0;0;0;0;0.000
F0017323;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP08360;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP13063;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
RKG01398;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
TMX243;14/07/2018;3;0;75.32588;0.154;34.8;66.6;0;0;0;0;0.000
WCP188;14/07/2018;0;0;171.1751;0.297;41.2;75.9;0;0;0;0;0.000
WCP189;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
PAB03338;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
3MR02053;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
DJD01667;14/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
B0006808;14/07/2018;0;0;0;0.000;0;0;0:00;0;0;0;0.000
A8F03121;14/07/2018;0;0;0.17523;0.997;0;0;0;0;0;0;0.000
4X2619;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
ALY00936;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
BC540029;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
BC540635;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
CCD00389;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
D0000828;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0001133;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0006478;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
E0007099;15/07/2018;0;0;0.15875;0.276;5.6;5.6;0;0;0;0;0.000
F0017323;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP08360;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
FDP13063;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
RKG01398;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
TMX243;15/07/2018;0;0;0.08259;0.002;0;0;0;0;0;0;0.000
WCP188;15/07/2018;0;0;163.17956;0.240;44.9;85.1;0;0;0;0;0.000
WCP189;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
PAB03338;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
3MR02053;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
DJD01667;15/07/2018;0;0;0;0.000;0;0;0;0;0;0;0.000
B0006808;15/07/2018;0;0;0;0.000;0;0;0:00;0;0;0;0.000
A8F03121;15/07/2018;0;0;0.09108;0.000;0;0;0;0;0;0;0.000
