ORDEN;ITEM;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciación;      Amortización ;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Corrección Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
8;AGOSTO;292914.214;1228699.424;20041.8;1541655.438;6779.344;80030.77523;5145;91955.11923;0.059646998;1449700.319;107983.808;207716.8727;0;315700.6807;0.217769615;1133999.638;0.782230385;954224.7242;452050.2359;230354.5135;271819.9748;0.658222056;179774.9138;0.124008329;18515.89763;10517.11403;150741.9021;0.103981423;52734.13779;186761.6704;0;7757.27844;-80996.62765;-0.055871291;-80996.62765;-0.055871291
9;SEPTIEMBRE;295016.926;1245346.959;20041.8;1560405.685;7570.787;82001.83074;5145;94717.61774;0.060700636;1465688.068;112683.3025;169056.005;0;281739.3075;0.192223239;1183948.76;0.807776761;939053.368;450021.4088;218815.1162;270216.8431;0.640691146;244895.392;0.167085615;18515.89763;10517.11403;215862.3804;0.147277163;53074.67574;180103.1579;0;21067.11358;3751.660342;0.002559658;3751.660342;0.002559658
23;Q3;1021663.34;3697539.731;45520.891;4764723.962;46652.11177;270321.6293;10689.904;327663.6451;0.20514589;4437060.317;422706.4595;603772.4245;0;1026478.884;0.691945151;3410581.433;2.308054849;2872454.241;1359837.158;689230.527;823386.5553;1.94240023;538127.192;0.365654619;57153.35956;31093.29834;449880.5341;0.305985397;159225.8091;553128.9302;0;63976.69027;-198497.515;-0.132995397;-198497.515;-0.132995397
10;OCTUBRE;310178.091;1241265.078;20041.8;1571484.969;7570.787;82074.62334;5145;94790.41034;0.060319005;1476694.559;116508.0025;191190.5017;0;307698.5042;0.208369769;1168996.054;0.791630231;933396.5117;447132.8996;215630.9152;270632.6969;0.632085021;235599.5428;0.15954521;18465.13203;10517.11403;206617.2967;0.139918777;53218.78106;172873.6763;0;15572.66432;-3902.496387;-0.002642724;-3902.496387;-0.002642724
11;NOVIEMBRE;317870.391;1240749.893;20041.8;1578662.084;7877.084;82390.85245;5145;95412.93645;0.060439113;1483249.148;118535.01;199407.968;0;317942.978;0.214355746;1165306.17;0.785644254;973636.9239;461780.4939;233850.061;278006.369;0.656421698;191669.2459;0.129222556;18515.89763;10517.11403;162636.2343;0.109648628;53339.31774;173234.5739;0;15782.32642;-48155.33099;-0.032466111;-48155.33099;-0.032466111
12;DICIEMBRE;281634.491;1199330.945;20041.8;1501007.236;7125.752;78503.129;5145;90773.881;0.060475312;1410233.355;103095.3905;160020.9685;0;263116.359;0.186576468;1147116.996;0.813423532;968854.3871;462771.1201;215134.7516;290948.5154;0.68701707;178262.6088;0.126406462;18515.89763;10517.11403;149229.5972;0.105819081;53331.50342;164029.3415;0;15828.59456;-52302.65319;-0.037087942;-52302.65319;-0.037087942
24;Q4;909682.973;3681345.916;60125.4;4651154.289;22573.623;242968.6048;15435;280977.2278;0.181233431;4370177.061;338138.403;550619.4382;0;888757.8412;0.609301984;3481419.22;2.390698016;2875887.823;1371684.514;664615.7278;839587.5814;1.975523789;605531.3975;0.415174227;55496.92729;31551.34209;518483.1281;0.355386486;159889.6022;510137.5918;0;47183.58529;-104360.4806;-0.072196777;-104360.4806;-0.072196777
32;SEMESTRE 2;1931346.313;7378885.647;105646.291;9415878.251;69225.73477;513290.2341;26124.904;608640.8729;0.386379321;8807237.378;760844.8625;1154391.863;0;1915236.725;1.301247135;6892000.653;4.698752865;5748342.063;2731521.672;1353846.255;1662974.137;3.917924019;1143658.59;0.780828846;112650.2869;62644.64043;968363.6622;0.661371883;319115.4113;1063266.522;0;111160.2756;-302857.9955;-0.205192174;-302857.9955;-0.205192174
41;TOTAL_2018;4025493.142;14941057.62;201032.5037;19167583.27;227904.3057;1028950.506;60251.98115;1317106.793;0.068715329;17850476.47;1652481.398;2408537.416;0;4061018.814;0.227501984;13789457.66;0.772498016;11609723.89;5482209.209;2529598.547;3597916.131;0.650387339;2179733.773;0.122110677;230420.6627;151188.335;1798124.776;0.100732593;607400.0403;2269357.99;0;186135.8894;-892497.3654;-0.049998518;-892497.3654;-0.049998518
42;TOTAL_2017;4341595.389;15435935.99;226922.8177;20004454.19;202227.6786;1049343.768;59300.71038;1310872.156;0.065529014;18693582.04;1924346.043;2758631.498;0;4682977.541;0.250512584;14010604.5;0.749487416;11205231.96;5720351.303;1529415.507;3955465.149;0.599415989;2805372.537;0.150071427;220890.3129;162442.483;2422039.741;0.129565309;774734.1999;2238374.087;0;147244.2244;-443824.3214;-0.023742069;-443824.3214;-0.023742069
51;var $$;-316102.2474;-494878.3654;-25890.31399;-836870.9268;25676.62718;-20393.26122;951.27077;6234.63673;0;-843105.5635;-271864.6447;-350094.0825;0;-621958.7273;0;-221146.8362;0;404491.9273;-238142.0938;1000183.039;-357549.018;0;-625638.7635;0;9530.34986;-11254.14798;-623914.9654;0;-167334.1596;30983.90309;0;38891.665;-448673.0439;0;-448673.0439;0
52;var %;-0.072807855;-0.032060146;-0.114093039;-0.041834229;0.126968906;-0.0194343;0.016041473;0.004756098;0;-0.045101338;-0.141276381;-0.126908608;0;-0.132812665;0;-0.015784247;0;0.036098488;-0.041630676;0.653964233;-0.090393672;0;-0.223014504;0;0.043145169;-0.069280817;-0.257598979;0;-0.215989122;0.013842147;0;0.264130326;1.010924869;0;1.010924869;0
