ITEM;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciacion;      Amortizacion;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Correccion Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
M_AGOSTO;625470.34;1253077.624;20041.8;1898589.764;14478.593;80222.55123;5145;99846.14423;5.25896358;1798743.62;219863.359;212307.2701;0;432170.6291;24.02624945;1366572.991;75.97375056;1028864.654;474214.2261;242090.1712;312560.2571;57.19907176;337708.3362;18.77467875;18515.89763;10517.11403;308675.3246;17.16060706;52734.13779;184584.5871;0;7757.27844;79113.87815;4.398285407;79113.87815;4.398285407
M_SEPTIEMBRE;630751.37;1276385.396;20041.8;1927178.566;16193.598;82410.41418;5145;103749.0122;5.383466485;1823429.553;232109.569;173888.2653;0;405997.8343;22.26561666;1417431.719;77.73438336;994307.5756;463834.407;230912.8012;299560.3674;54.52953057;423124.1434;23.20485278;18515.89763;10517.11403;394091.1318;21.6126327;53074.67574;176852.0467;0;21067.11358;185231.5229;10.15841399;185231.5229;10.15841399
Q3;1811477.9;3820093.825;60125.4;5691697.125;43158.129;246259.6366;15435;304852.7656;5.356096062;5386844.359;654012.277;615513.935;0;1269526.212;23.56715968;4117318.147;76.43284032;3023615.191;1406230.521;699841.7859;917542.8846;56.12961856;1093702.956;20.30322176;57153.35956;31093.29834;1005456.298;18.66503338;159225.8091;547700.7357;0;63976.69027;362506.4433;6.729476835;362506.4433;6.729476835
M_OCTUBRE;662817.9;1276149.02;20041.8;1959008.72;16193.598;82758.04858;5145;104096.6466;5.31374085;1854912.073;243010.269;196273.1674;0;439283.4364;23.68217032;1415628.637;76.3178297;987571.4954;461427.717;225566.1635;300577.6149;53.24087916;428057.1411;23.07695051;18465.13203;10517.11403;399074.8951;21.51449122;53218.78106;168754.1509;0;15572.66432;192674.6274;10.38726472;192674.6274;10.38726472
M_NOVIEMBRE;677954.4;1280436.651;20041.8;1978432.851;16769.893;83276.94114;5145;105191.8341;5.316927185;1873241.017;248716.934;204630.3474;0;453347.2814;24.20122543;1419893.736;75.79877459;1039575.191;480388.8283;245456.6392;313729.7237;55.4960724;380318.5445;20.30270216;18515.89763;10517.11403;351285.5328;18.75282089;53339.31774;168067.6295;0;15782.32642;145660.912;7.775876712;145660.912;7.775876712
M_DICIEMBRE;602762.8;1241542.067;20041.8;1864346.667;15171.141;79580.50224;5145;99896.64324;5.358265445;1764450.023;218685.6635;164841.4202;0;383527.0837;21.7363529;1380922.94;78.26364714;1025372.121;475956.2083;230118.9684;319296.9442;58.1128458;355550.8188;20.15080134;18515.89763;10517.11403;326517.8071;18.50535877;53331.50342;158148.7975;0;15828.59456;130866.1007;7.416821049;130866.1007;7.416821049
Q4;1943535.1;3798127.738;60125.4;5801788.238;48134.632;245615.492;15435;309185.1239;5.329134936;5492603.113;710412.8665;565744.935;0;1276157.802;23.23411642;4216445.313;76.76588361;3052518.807;1417772.754;701141.7711;933604.2828;55.57508424;1163926.504;21.19079934;55496.92729;31551.34209;1076878.235;19.60597212;159889.6022;494970.5779;0;47183.5853;469201.6401;8.542427524;469201.6401;8.542427524
SEMESTRE_2;3755013;7618221.563;120250.8;11493485.36;91292.761;491875.1286;30870;614037.8896;5.342486377;10879447.47;1364425.144;1181258.87;0;2545684.014;23.39901931;8333763.46;76.60098073;6076133.998;2824003.274;1400983.557;1851147.167;55.8496561;2257629.46;20.75132461;112650.2869;62644.64043;2082334.533;19.14007617;319115.4114;1042671.314;0;111160.2756;831708.0834;7.644763998;831708.0834;7.644763998
TOTAL_2018;5849159.829;15180393.54;215637.0127;21245190.38;249971.332;1007535.401;64997.07715;1322503.81;6.224956267;19922686.57;2256061.679;2435404.423;0;4691466.102;23.54836074;15231220.47;76.45163927;11937515.82;5517098.718;2482182.595;3938234.508;59.91920707;3293704.644;16.53243217;230420.6627;151188.335;2912095.646;14.61698268;607400.0403;2248762.782;0;186135.8894;242068.7136;1.215040515;242068.7136;1.215040515
TOTAL_2017;4341595.389;15435935.99;226922.8177;20004454.19;202227.6786;1049343.768;59300.71038;1310872.156;6.552901387;18693582.04;1924346.043;2758631.498;0;4682977.541;25.0512584;14010604.5;74.94874161;11205231.96;5720351.303;1529415.507;3955465.149;59.94159887;2805372.537;15.00714272;220890.3129;162442.483;2422039.741;12.95653094;774734.1999;2238374.087;0;147244.2244;-443824.3214;-2.374206936;-443824.3214;-2.374206936
var $$;1507564.44;-255542.4508;-11285.80499;1240736.184;47743.65341;-41808.36679;5696.36677;11631.65339;0;1229104.53;331715.6363;-323227.0753;0;8488.560948;0;1220615.969;0;732283.8624;-203252.5845;952767.088;-17230.64111;0;488332.1071;0;9530.34986;-11254.14798;490055.9052;0;-167334.1596;10388.69476;0;38891.665;685893.035;0;685893.035;0
var %;34.72374335;-1.655503432;-4.973411275;6.202299639;23.60886192;-3.984239319;9.605899716;0.887321769;0;6.575008082;17.23783709;-11.71693556;0;0.181264183;0;8.712086406;0;6.535195903;-3.553148648;62.29615717;-0.435616049;0;17.40703242;0;4.314516864;-6.928081738;20.2331901;0;-21.5989122;0.464117909;0;26.41303261;-154.5415611;0;-154.5415611;0
