"product_name","promotion_name","product_family","recyclable_package","media_type","has_promotion","promotion_duration_days","promotion_unit_cost","sales","estimate"
"American Beef Bologna","Bag Stuffers","Food",1,"Product Attachment",1,4,8262,1.56,7.63773512357051
"American Beef Bologna","Big Promo","Food",1,"Sunday Paper",1,2,5112,1.56,7.63773512357051
"American Beef Bologna","Big Time Savings","Food",1,"Daily Paper",1,2,7732,3.12,7.63773512357051
"American Beef Bologna","Bye Bye Baby","Food",1,"TV",1,4,6292,3.12,7.63773512357051
"American Beef Bologna","Dollar Days","Food",1,"Daily Paper Radio",1,3,13881,2.34,7.63773512357051
"American Beef Bologna","Free For All","Food",1,"Street Handout",1,1,5518,2.34,7.63773512357051
"American Beef Bologna","High Roller Savings","Food",1,"Daily Paper",1,4,10184,5.46,7.63773512357051
"American Beef Bologna","Money Savers","Food",1,"Cash Register Handout",1,4,5301,1.56,7.63773512357051
"American Beef Bologna","One Day Sale","Food",1,"Daily Paper Radio TV",1,1,11729,2.34,7.63773512357051
"American Beef Bologna","One Day Sale","Food",1,"Daily Paper Radio TV",1,3,13175,2.34,7.63773512357051
"American Beef Bologna","One Day Sale","Food",1,"In-Store Coupon",1,2,9307,2.34,7.63773512357051
"American Beef Bologna","Pick Your Savings","Food",1,"Sunday Paper",1,3,6725,3.12,7.63773512357051
"American Beef Bologna","Price Savers","Food",1,"Sunday Paper Radio",1,1,11170,2.34,7.63773512357051
"American Beef Bologna","Save-It Sale","Food",1,"Product Attachment",1,3,6025,3.12,7.63773512357051
"American Beef Bologna","Shelf Emptiers","Food",1,"Cash Register Handout",1,4,9229,2.34,7.63773512357051
"American Beef Bologna","You Save Days","Food",1,"TV",1,2,10822,1.56,7.63773512357051
"American Chicken Hot Dogs","'No Promotion","Food",0,"No Media",0,0,0,274.68,265.19826956013
"American Chicken Hot Dogs","Best Savings","Food",0,"Radio",1,4,13141,10.08,6.63494354512949
"American Chicken Hot Dogs","Big Promo","Food",0,"Sunday Paper",1,2,5112,5.04,6.63494354512949
"American Chicken Hot Dogs","Big Time Discounts","Food",0,"Product Attachment",1,2,10993,7.56,6.63494354512949
"American Chicken Hot Dogs","Cash Register Lottery","Food",0,"Daily Paper Radio",1,29,5986,20.16,6.63494354512949
"American Chicken Hot Dogs","Dimes Off","Food",0,"Daily Paper Radio TV",1,2,9647,12.6,6.63494354512949
"American Chicken Hot Dogs","Dollar Cutters","Food",0,"Daily Paper Radio TV",1,2,14418,7.56,6.63494354512949
"American Chicken Hot Dogs","Double Down Sale","Food",0,"Daily Paper",1,1,5596,10.08,6.63494354512949
"American Chicken Hot Dogs","Green Light Days","Food",0,"Street Handout",1,2,13342,17.64,6.63494354512949
"American Chicken Hot Dogs","Price Savers","Food",0,"In-Store Coupon",1,3,8185,7.56,6.63494354512949
"American Chicken Hot Dogs","Super Wallet Savers","Food",0,"Cash Register Handout",1,2,14019,10.08,6.63494354512949
"American Chicken Hot Dogs","Three for One","Food",0,"Sunday Paper",1,2,11825,10.08,6.63494354512949
"American Chicken Hot Dogs","Tip Top Savings","Food",0,"Daily Paper Radio TV",1,4,5490,10.08,6.63494354512949
"American Chicken Hot Dogs","Wallet Savers","Food",0,"Sunday Paper Radio TV",1,4,7995,7.56,6.63494354512949
"American Cole Slaw","'No Promotion","Food",0,"No Media",0,0,0,119.26,265.19826956013
"American Cole Slaw","Dollar Cutters","Food",0,"Bulk Mail",1,4,14126,3.56,6.63494354512949
"American Cole Slaw","Mystery Sale","Food",0,"Sunday Paper Radio",1,3,9700,2.67,6.63494354512949
"American Cole Slaw","Price Slashers","Food",0,"Sunday Paper Radio TV",1,1,8621,1.78,6.63494354512949
"American Cole Slaw","Sales Galore","Food",0,"Product Attachment",1,3,14908,2.67,6.63494354512949
"American Cole Slaw","Save-It Sale","Food",0,"Daily Paper Radio",1,2,6484,2.67,6.63494354512949
"American Cole Slaw","Saving Days","Food",0,"Daily Paper Radio",1,2,11836,4.45,6.63494354512949
"American Cole Slaw","Unbeatable Price Savers","Food",0,"Daily Paper Radio TV",1,3,13777,2.67,6.63494354512949
"American Corned Beef","'No Promotion","Food",1,"No Media",0,0,0,280.9,266.201061138571
"American Corned Beef","Bag Stuffers","Food",1,"Product Attachment",1,4,8262,5.3,7.63773512357051
"American Corned Beef","Best Savings","Food",1,"Radio",1,4,13141,7.95,7.63773512357051
"American Corned Beef","Big Promo","Food",1,"Sunday Paper",1,2,5112,5.3,7.63773512357051
"American Corned Beef","Bye Bye Baby","Food",1,"TV",1,4,6292,7.95,7.63773512357051
"American Corned Beef","Double Your Savings","Food",1,"Radio",1,2,9443,5.3,7.63773512357051
"American Corned Beef","Free For All","Food",1,"Sunday Paper Radio",1,3,12624,10.6,7.63773512357051
"American Corned Beef","High Roller Savings","Food",1,"Daily Paper",1,4,10184,5.3,7.63773512357051
"American Corned Beef","Price Savers","Food",1,"Street Handout",1,2,11513,13.25,7.63773512357051
"American Corned Beef","Sales Galore","Food",1,"Bulk Mail",1,4,14245,10.6,7.63773512357051
"American Corned Beef","Sales Galore","Food",1,"Product Attachment",1,3,14908,10.6,7.63773512357051
"American Corned Beef","Super Savers","Food",1,"Sunday Paper Radio",1,2,6499,7.95,7.63773512357051
"American Corned Beef","Super Wallet Savers","Food",1,"Cash Register Handout",1,2,14019,7.95,7.63773512357051
"American Corned Beef","Three for One","Food",1,"Cash Register Handout",1,1,13643,2.65,7.63773512357051
"American Corned Beef","You Save Days","Food",1,"Sunday Paper",1,4,5127,10.6,7.63773512357051
"American Foot-Long Hot Dogs","'No Promotion","Food",0,"No Media",0,0,0,252.52,265.19826956013
"American Foot-Long Hot Dogs","Big Time Discounts","Food",0,"Product Attachment",1,2,10993,8.56,6.63494354512949
"American Foot-Long Hot Dogs","Bye Bye Baby","Food",0,"TV",1,4,6292,6.42,6.63494354512949
"American Foot-Long Hot Dogs","Cash Register Lottery","Food",0,"Sunday Paper Radio",1,29,12361,6.42,6.63494354512949
"American Foot-Long Hot Dogs","Green Light Days","Food",0,"Street Handout",1,2,13342,14.98,6.63494354512949
"American Foot-Long Hot Dogs","High Roller Savings","Food",0,"Daily Paper",1,4,10184,6.42,6.63494354512949
"American Foot-Long Hot Dogs","Price Savers","Food",0,"Cash Register Handout",1,3,12820,6.42,6.63494354512949
"American Foot-Long Hot Dogs","Price Slashers","Food",0,"Radio",1,3,7698,10.7,6.63494354512949
"American Foot-Long Hot Dogs","Sales Days","Food",0,"TV",1,3,8103,8.56,6.63494354512949
"American Foot-Long Hot Dogs","Save-It Sale","Food",0,"Daily Paper Radio",1,2,6484,10.7,6.63494354512949
"American Foot-Long Hot Dogs","Save-It Sale","Food",0,"Daily Paper Radio TV",1,3,8937,4.28,6.63494354512949
"American Foot-Long Hot Dogs","Saving Days","Food",0,"Daily Paper Radio",1,2,11836,6.42,6.63494354512949
"American Foot-Long Hot Dogs","Shelf Clearing Days","Food",0,"Radio",1,3,9977,6.42,6.63494354512949
"American Foot-Long Hot Dogs","Super Duper Savers","Food",0,"Cash Register Handout",1,4,12950,6.42,6.63494354512949
"American Foot-Long Hot Dogs","Super Duper Savers","Food",0,"Daily Paper",1,1,10091,4.28,6.63494354512949
"American Foot-Long Hot Dogs","Two Day Sale","Food",0,"Daily Paper",1,3,10365,6.42,6.63494354512949
"American Foot-Long Hot Dogs","Two Day Sale","Food",0,"Sunday Paper",1,3,12688,4.28,6.63494354512949
"American Foot-Long Hot Dogs","Unbeatable Price Savers","Food",0,"Daily Paper",1,3,10430,2.14,6.63494354512949
"American Low Fat Bologna","'No Promotion","Food",1,"No Media",0,0,0,381.71,266.201061138571
"American Low Fat Bologna","Best Savings","Food",1,"Daily Paper Radio TV",1,4,5382,5.74,7.63773512357051
"American Low Fat Bologna","Dimes Off","Food",1,"Daily Paper Radio TV",1,2,9647,8.61,7.63773512357051
"American Low Fat Bologna","Dollar Days","Food",1,"Daily Paper Radio",1,3,13881,14.35,7.63773512357051
"American Low Fat Bologna","Double Your Savings","Food",1,"Radio",1,2,9443,11.48,7.63773512357051
"American Low Fat Bologna","Green Light Days","Food",1,"Street Handout",1,2,13342,8.61,7.63773512357051
"American Low Fat Bologna","Green Light Special","Food",1,"In-Store Coupon",1,2,12302,11.48,7.63773512357051
"American Low Fat Bologna","Money Savers","Food",1,"Cash Register Handout",1,4,5301,11.48,7.63773512357051
"American Low Fat Bologna","One Day Sale","Food",1,"In-Store Coupon",1,2,9307,8.61,7.63773512357051
"American Low Fat Bologna","Price Destroyers","Food",1,"Sunday Paper",1,3,12144,14.35,7.63773512357051
"American Low Fat Bologna","Price Savers","Food",1,"Daily Paper Radio TV",1,1,9356,8.61,7.63773512357051
"American Low Fat Bologna","Price Slashers","Food",1,"Radio",1,3,7698,8.61,7.63773512357051
"American Low Fat Bologna","Save-It Sale","Food",1,"Daily Paper Radio",1,2,6484,8.61,7.63773512357051
"American Low Fat Bologna","Save-It Sale","Food",1,"Daily Paper Radio TV",1,3,8937,8.61,7.63773512357051
"American Low Fat Bologna","Saving Days","Food",1,"Daily Paper Radio",1,2,11836,11.48,7.63773512357051
"American Low Fat Bologna","Shelf Clearing Days","Food",1,"In-Store Coupon",1,1,10921,5.74,7.63773512357051
"American Low Fat Bologna","Super Wallet Savers","Food",1,"Daily Paper Radio",1,4,10914,5.74,7.63773512357051
"American Low Fat Bologna","Three for One","Food",1,"Sunday Paper",1,2,11825,8.61,7.63773512357051
"American Low Fat Bologna","Unbeatable Price Savers","Food",1,"Daily Paper Radio TV",1,3,13777,8.61,7.63773512357051
"American Low Fat Bologna","Unbeatable Price Savers","Food",1,"Sunday Paper Radio TV",1,2,5988,5.74,7.63773512357051
"American Low Fat Bologna","You Save Days","Food",1,"Bulk Mail",1,4,13181,5.74,7.63773512357051
"American Low Fat Cole Slaw","'No Promotion","Food",0,"No Media",0,0,0,340.5,265.19826956013
"American Low Fat Cole Slaw","Big Promo","Food",0,"Sunday Paper",1,2,5112,6.81,6.63494354512949
"American Low Fat Cole Slaw","Cash Register Lottery","Food",0,"Daily Paper Radio",1,29,5986,15.89,6.63494354512949
"American Low Fat Cole Slaw","Double Down Sale","Food",0,"Daily Paper",1,1,5596,4.54,6.63494354512949
"American Low Fat Cole Slaw","High Roller Savings","Food",0,"Daily Paper",1,4,10184,4.54,6.63494354512949
"American Low Fat Cole Slaw","One Day Sale","Food",0,"Daily Paper Radio TV",1,3,13175,6.81,6.63494354512949
"American Low Fat Cole Slaw","Save-It Sale","Food",0,"Product Attachment",1,3,6025,6.81,6.63494354512949
"American Low Fat Cole Slaw","Shelf Emptiers","Food",0,"Product Attachment",1,4,10175,4.54,6.63494354512949
"American Low Fat Cole Slaw","Shelf Emptiers","Food",0,"Street Handout",1,4,13734,4.54,6.63494354512949
"American Low Fat Cole Slaw","Super Duper Savers","Food",0,"Daily Paper",1,1,9100,9.08,6.63494354512949
"American Low Fat Cole Slaw","Wallet Savers","Food",0,"Sunday Paper Radio TV",1,4,7995,6.81,6.63494354512949
"American Low Fat Cole Slaw","Weekend Markdown","Food",0,"Street Handout",1,2,5337,4.54,6.63494354512949
"American Low Fat Cole Slaw","You Save Days","Food",0,"Bulk Mail",1,4,13181,6.81,6.63494354512949
"American Pimento Loaf","'No Promotion","Food",1,"No Media",0,0,0,408.48,266.201061138571
"American Pimento Loaf","Cash Register Lottery","Food",1,"Daily Paper Radio TV",1,29,5559,5.52,7.63773512357051
"American Pimento Loaf","Dimes Off","Food",1,"Daily Paper Radio TV",1,2,9647,5.52,7.63773512357051
"American Pimento Loaf","Green Light Days","Food",1,"Street Handout",1,2,13342,11.04,7.63773512357051
"American Pimento Loaf","Green Light Special","Food",1,"In-Store Coupon",1,2,12302,8.28,7.63773512357051
"American Pimento Loaf","One Day Sale","Food",1,"Daily Paper Radio TV",1,1,11729,8.28,7.63773512357051
"American Pimento Loaf","Price Smashers","Food",1,"TV",1,2,14524,5.52,7.63773512357051
"American Pimento Loaf","Sales Days","Food",1,"Daily Paper Radio TV",1,3,9771,8.28,7.63773512357051
"American Pimento Loaf","Sales Galore","Food",1,"Bulk Mail",1,2,9655,11.04,7.63773512357051
"American Pimento Loaf","Shelf Clearing Days","Food",1,"Radio",1,3,9977,11.04,7.63773512357051
"American Pimento Loaf","Super Duper Savers","Food",1,"Cash Register Handout",1,4,12950,8.28,7.63773512357051
"American Pimento Loaf","Super Savers","Food",1,"In-Store Coupon",1,4,13466,11.04,7.63773512357051
"American Pimento Loaf","Super Wallet Savers","Food",1,"Cash Register Handout",1,2,14019,11.04,7.63773512357051
"American Pimento Loaf","Super Wallet Savers","Food",1,"Daily Paper Radio",1,4,10914,8.28,7.63773512357051
"American Pimento Loaf","You Save Days","Food",1,"TV",1,2,10822,16.56,7.63773512357051
"American Potato Salad","'No Promotion","Food",1,"No Media",0,0,0,165.85,266.201061138571
"American Potato Salad","Big Promo","Food",1,"Sunday Paper",1,2,5112,3.1,7.63773512357051
"American Potato Salad","Cash Register Lottery","Food",1,"Daily Paper Radio TV",1,29,5559,4.65,7.63773512357051
"American Potato Salad","Double Down Sale","Food",1,"Daily Paper Radio",1,4,6267,4.65,7.63773512357051
"American Potato Salad","Green Light Days","Food",1,"Street Handout",1,2,13342,6.2,7.63773512357051
"American Potato Salad","High Roller Savings","Food",1,"Daily Paper",1,4,10184,10.85,7.63773512357051
"American Potato Salad","Money Savers","Food",1,"Cash Register Handout",1,4,5301,10.85,7.63773512357051
"American Potato Salad","Price Destroyers","Food",1,"Sunday Paper",1,3,12144,6.2,7.63773512357051
"American Potato Salad","Sales Days","Food",1,"Daily Paper",1,1,6271,4.65,7.63773512357051
"American Potato Salad","Sales Galore","Food",1,"Product Attachment",1,3,14908,4.65,7.63773512357051
"American Potato Salad","Savings Galore","Food",1,"Sunday Paper Radio TV",1,1,6165,4.65,7.63773512357051
"American Potato Salad","Super Duper Savers","Food",1,"Cash Register Handout",1,4,12950,4.65,7.63773512357051
"American Potato Salad","Super Duper Savers","Food",1,"Daily Paper",1,1,10091,4.65,7.63773512357051
"American Potato Salad","Super Savers","Food",1,"Sunday Paper Radio",1,2,6499,3.1,7.63773512357051
"American Potato Salad","Unbeatable Price Savers","Food",1,"Daily Paper Radio TV",1,3,13777,3.1,7.63773512357051
"American Potato Salad","You Save Days","Food",1,"Bulk Mail",1,4,13181,3.1,7.63773512357051
"American Roasted Chicken","'No Promotion","Food",1,"No Media",0,0,0,305.91,266.201061138571
"American Roasted Chicken","Big Promo","Food",1,"Cash Register Handout",1,2,12388,8.91,7.63773512357051
"American Roasted Chicken","Cash Register Lottery","Food",1,"Daily Paper Radio",1,29,5986,20.79,7.63773512357051
"American Roasted Chicken","Dimes Off","Food",1,"Daily Paper Radio TV",1,2,9647,11.88,7.63773512357051
"American Roasted Chicken","Double Down Sale","Food",1,"Daily Paper",1,1,5596,11.88,7.63773512357051
"American Roasted Chicken","Go For It","Food",1,"Radio",1,3,12403,14.85,7.63773512357051
"American Roasted Chicken","Green Light Days","Food",1,"Daily Paper",1,2,6627,11.88,7.63773512357051
"American Roasted Chicken","Mystery Sale","Food",1,"Bulk Mail",1,2,8497,8.91,7.63773512357051
"American Roasted Chicken","Mystery Sale","Food",1,"Sunday Paper Radio",1,3,9700,8.91,7.63773512357051
"American Roasted Chicken","Price Cutters","Food",1,"Radio",1,2,13399,5.94,7.63773512357051
"American Roasted Chicken","Price Destroyers","Food",1,"TV",1,2,13592,8.91,7.63773512357051
"American Roasted Chicken","Sale Winners","Food",1,"Daily Paper",1,4,8959,8.91,7.63773512357051
"American Roasted Chicken","Sales Galore","Food",1,"Bulk Mail",1,2,9655,8.91,7.63773512357051
"American Roasted Chicken","Sales Galore","Food",1,"Product Attachment",1,3,14908,8.91,7.63773512357051
"American Roasted Chicken","Saving Days","Food",1,"Daily Paper Radio",1,2,11836,11.88,7.63773512357051
"American Roasted Chicken","Shelf Emptiers","Food",1,"Daily Paper Radio TV",1,3,10789,8.91,7.63773512357051
"American Roasted Chicken","Two Day Sale","Food",1,"Daily Paper",1,3,10365,8.91,7.63773512357051
"American Roasted Chicken","Unbeatable Price Savers","Food",1,"Product Attachment",1,4,12436,8.91,7.63773512357051
"American Roasted Chicken","Weekend Markdown","Food",1,"In-Store Coupon",1,1,13590,5.94,7.63773512357051
"American Roasted Chicken","You Save Days","Food",1,"Sunday Paper",1,4,5127,8.91,7.63773512357051
"American Sliced Chicken","'No Promotion","Food",1,"No Media",0,0,0,77.29,266.201061138571
"American Sliced Chicken","Bye Bye Baby","Food",1,"TV",1,4,6292,1.77,7.63773512357051
"American Sliced Chicken","Cash Register Lottery","Food",1,"Daily Paper Radio",1,29,5986,2.95,7.63773512357051
"American Sliced Chicken","Dollar Days","Food",1,"Daily Paper Radio",1,3,13881,2.36,7.63773512357051
"American Sliced Chicken","Double Down Sale","Food",1,"Daily Paper Radio",1,4,6267,2.95,7.63773512357051
"American Sliced Chicken","Money Savers","Food",1,"Cash Register Handout",1,4,5301,2.36,7.63773512357051
"American Sliced Chicken","One Day Sale","Food",1,"Daily Paper Radio TV",1,1,11729,2.36,7.63773512357051
"American Sliced Chicken","One Day Sale","Food",1,"In-Store Coupon",1,2,9307,1.77,7.63773512357051
"American Sliced Chicken","Price Destroyers","Food",1,"Daily Paper Radio TV",1,3,5827,1.77,7.63773512357051
"American Sliced Chicken","Sales Days","Food",1,"Street Handout",1,2,13982,1.18,7.63773512357051
"American Sliced Chicken","Sales Galore","Food",1,"Product Attachment",1,3,14908,1.18,7.63773512357051
"American Sliced Chicken","Save-It Sale","Food",1,"Daily Paper Radio TV",1,3,8937,3.54,7.63773512357051
"American Sliced Chicken","Three for One","Food",1,"Sunday Paper",1,2,11825,2.36,7.63773512357051
"American Sliced Ham","'No Promotion","Food",0,"No Media",0,0,0,444.36,265.19826956013
"American Sliced Ham","Bye Bye Baby","Food",0,"Sunday Paper Radio TV",1,3,9528,5.52,6.63494354512949
"American Sliced Ham","Cash Register Lottery","Food",0,"Daily Paper Radio",1,29,5986,11.04,6.63494354512949
"American Sliced Ham","Dollar Days","Food",0,"Daily Paper Radio",1,3,13881,11.04,6.63494354512949
"American Sliced Ham","Green Light Days","Food",0,"Daily Paper",1,2,6627,8.28,6.63494354512949
"American Sliced Ham","Green Light Days","Food",0,"Street Handout",1,2,13342,8.28,6.63494354512949
"American Sliced Ham","Green Light Special","Food",0,"In-Store Coupon",1,2,12302,8.28,6.63494354512949
"American Sliced Ham","High Roller Savings","Food",0,"Daily Paper",1,4,10184,16.56,6.63494354512949
"American Sliced Ham","Pick Your Savings","Food",0,"Sunday Paper",1,3,6725,8.28,6.63494354512949
"American Sliced Ham","Price Smashers","Food",0,"Product Attachment",1,3,13823,8.28,6.63494354512949
"American Sliced Ham","Price Winners","Food",0,"Cash Register Handout",1,3,9521,5.52,6.63494354512949
"American Sliced Ham","Saving Days","Food",0,"Daily Paper Radio",1,2,11836,8.28,6.63494354512949
"American Sliced Ham","Savings Galore","Food",0,"Sunday Paper Radio",1,4,10526,2.76,6.63494354512949
"American Sliced Ham","Savings Galore","Food",0,"Sunday Paper Radio TV",1,1,6165,5.52,6.63494354512949
"American Sliced Ham","Two for One","Food",0,"Bulk Mail",1,2,8642,11.04,6.63494354512949
"American Sliced Ham","Unbeatable Price Savers","Food",0,"Daily Paper",1,3,10430,8.28,6.63494354512949
"American Sliced Ham","You Save Days","Food",0,"Bulk Mail",1,4,13181,11.04,6.63494354512949
"American Sliced Turkey","'No Promotion","Food",0,"No Media",0,0,0,402.59,265.19826956013
"American Sliced Turkey","Best Savings","Food",0,"Radio",1,4,13141,6.34,6.63494354512949
"American Sliced Turkey","Big Promo","Food",0,"Cash Register Handout",1,2,12388,22.19,6.63494354512949
"American Sliced Turkey","Big Promo","Food",0,"Sunday Paper",1,2,5112,12.68,6.63494354512949
"American Sliced Turkey","Cash Register Lottery","Food",0,"Daily Paper Radio TV",1,29,5559,9.51,6.63494354512949
"American Sliced Turkey","Dollar Cutters","Food",0,"Daily Paper Radio TV",1,2,14418,12.68,6.63494354512949
"American Sliced Turkey","Dollar Days","Food",0,"Daily Paper Radio",1,3,13881,9.51,6.63494354512949
"American Sliced Turkey","Free For All","Food",0,"Street Handout",1,1,5518,9.51,6.63494354512949
"American Sliced Turkey","Go For It","Food",0,"Daily Paper Radio TV",1,4,10055,6.34,6.63494354512949
"American Sliced Turkey","Price Cutters","Food",0,"Product Attachment",1,4,12920,12.68,6.63494354512949
"American Sliced Turkey","Price Savers","Food",0,"Cash Register Handout",1,3,12820,9.51,6.63494354512949
"American Sliced Turkey","Price Slashers","Food",0,"Sunday Paper Radio TV",1,3,10044,6.34,6.63494354512949
"American Sliced Turkey","Price Smashers","Food",0,"Product Attachment",1,3,13823,9.51,6.63494354512949
"American Sliced Turkey","Super Duper Savers","Food",0,"Cash Register Handout",1,4,12950,12.68,6.63494354512949
"American Sliced Turkey","Super Wallet Savers","Food",0,"Cash Register Handout",1,2,14019,9.51,6.63494354512949
"American Sliced Turkey","Super Wallet Savers","Food",0,"Daily Paper Radio",1,4,10914,9.51,6.63494354512949
"American Sliced Turkey","Two Day Sale","Food",0,"Sunday Paper",1,3,12688,9.51,6.63494354512949
"American Sliced Turkey","Weekend Markdown","Food",0,"Street Handout",1,2,5337,12.68,6.63494354512949
"American Turkey Hot Dogs","'No Promotion","Food",1,"No Media",0,0,0,287.7,266.201061138571
"American Turkey Hot Dogs","Big Time Discounts","Food",1,"Daily Paper",1,2,8186,13.7,7.63773512357051
"American Turkey Hot Dogs","Cash Register Lottery","Food",1,"Daily Paper Radio",1,29,5986,5.48,7.63773512357051
"American Turkey Hot Dogs","Cash Register Lottery","Food",1,"Daily Paper Radio TV",1,29,5559,19.18,7.63773512357051
"American Turkey Hot Dogs","Cash Register Lottery","Food",1,"Sunday Paper Radio",1,29,12361,19.18,7.63773512357051
"American Turkey Hot Dogs","Double Down Sale","Food",1,"Street Handout",1,2,9085,8.22,7.63773512357051
"American Turkey Hot Dogs","High Roller Savings","Food",1,"Daily Paper",1,4,10184,24.66,7.63773512357051
"American Turkey Hot Dogs","One Day Sale","Food",1,"In-Store Coupon",1,2,9307,19.18,7.63773512357051
"American Turkey Hot Dogs","Price Destroyers","Food",1,"TV",1,2,13592,8.22,7.63773512357051
"American Turkey Hot Dogs","Sales Days","Food",1,"Daily Paper Radio TV",1,3,9771,8.22,7.63773512357051
"American Turkey Hot Dogs","Super Duper Savers","Food",1,"Cash Register Handout",1,4,12950,8.22,7.63773512357051
"American Turkey Hot Dogs","Three for One","Food",1,"Sunday Paper",1,2,11825,8.22,7.63773512357051
"American Turkey Hot Dogs","Two Day Sale","Food",1,"Daily Paper Radio",1,4,11252,8.22,7.63773512357051
"American Turkey Hot Dogs","Unbeatable Price Savers","Food",1,"Product Attachment",1,4,12436,19.18,7.63773512357051
"American Turkey Hot Dogs","You Save Days","Food",1,"TV",1,2,10822,8.22,7.63773512357051
"Amigo Lox","'No Promotion","Food",1,"No Media",0,0,0,378.88,266.201061138571
"Amigo Lox","Price Slashers","Food",1,"Sunday Paper Radio TV",1,1,8621,8.88,7.63773512357051
"Amigo Lox","Price Slashers","Food",1,"Sunday Paper Radio TV",1,3,10044,11.84,7.63773512357051
"Amigo Lox","Sales Days","Food",1,"Daily Paper Radio TV",1,3,9771,20.72,7.63773512357051
"Amigo Lox","Saving Days","Food",1,"Daily Paper Radio",1,2,11836,17.76,7.63773512357051
