product_name,SKU,SRP,brand_name,product_subcategory,product_category,product_family,store_Sales,store_cost,unit_sales
"Atomic Malted Milk Balls",65423520207,1.7800,Atomic,"Chocolate Candy",Candy,Food,430.7600,175.0096,242.0000
"Atomic Mint Chocolate Bar",55082198977,0.9000,Atomic,"Chocolate Candy",Candy,Food,252.9000,102.2130,281.0000
"Atomic Mints",57732961773,2.1600,Atomic,"Hard Candy",Candy,Food,751.6800,294.0840,348.0000
"Atomic Semi-Sweet Chocolate Bar",55810322165,2.3500,Atomic,"Chocolate Candy",Candy,Food,643.9000,252.2960,274.0000
"Atomic Spicy Mints",18916108012,3.1600,Atomic,"Hard Candy",Candy,Food,843.7200,341.6908,267.0000
"Atomic Tasty Candy Bar",10031033158,0.6600,Atomic,"Chocolate Candy",Candy,Food,172.2600,69.8874,261.0000
"Atomic White Chocolate Bar",65114583373,1.2500,Atomic,"Chocolate Candy",Candy,Food,480.0000,191.7375,384.0000
"BBB Best Apple Butter",61357741951,1.6500,"BBB Best",Preserves,"Jams and Jellies",Food,612.1500,238.0125,371.0000
"BBB Best Apple Jam",20618248581,1.5900,"BBB Best",Jam,"Jams and Jellies",Food,588.3000,233.7141,370.0000
"BBB Best Apple Jelly",59799163937,1.4800,"BBB Best",Jelly,"Jams and Jellies",Food,485.4400,191.9264,328.0000
"BBB Best Apple Preserves",85175167918,3.6100,"BBB Best",Preserves,"Jams and Jellies",Food,1245.4500,491.7903,345.0000
"BBB Best Brown Sugar",88933951258,1.7800,"BBB Best",Sugar,"Baking Goods",Food,672.8400,267.2136,378.0000
"BBB Best Canola Oil",95384728312,1.3500,"BBB Best","Cooking Oil","Baking Goods",Food,475.2000,188.3925,352.0000
"BBB Best Chunky Peanut Butter",35828165411,1.9700,"BBB Best","Peanut Butter","Jams and Jellies",Food,624.4900,246.3091,317.0000
"BBB Best Columbian Coffee",63063916563,1.4400,"BBB Best",Coffee,"Hot Beverages",Drink,457.9200,179.9856,318.0000
"BBB Best Corn Oil",66181072592,1.5400,"BBB Best","Cooking Oil","Baking Goods",Food,534.3800,211.9040,347.0000
"BBB Best Creamy Peanut Butter",41682580113,1.1000,"BBB Best","Peanut Butter","Jams and Jellies",Food,370.7000,146.5200,337.0000
"BBB Best Decaf Coffee",20401783585,2.5700,"BBB Best",Coffee,"Hot Beverages",Drink,902.0700,358.0010,351.0000
"BBB Best Extra Chunky Peanut Butter",35550599694,2.7800,"BBB Best","Peanut Butter","Jams and Jellies",Food,884.0400,346.6660,318.0000
"BBB Best French Roast Coffee",45396098494,2.8700,"BBB Best",Coffee,"Hot Beverages",Drink,1053.2900,417.7285,367.0000
"BBB Best Grape Jam",45612563490,1.9000,"BBB Best",Jam,"Jams and Jellies",Food,640.3000,254.0300,337.0000
"BBB Best Grape Jelly",33992021679,1.6100,"BBB Best",Jelly,"Jams and Jellies",Food,516.8100,206.7401,321.0000
"BBB Best Grape Preserves",68103712201,2.5900,"BBB Best",Preserves,"Jams and Jellies",Food,823.6200,324.4493,318.0000
"BBB Best Hot Chocolate",72358317971,2.6300,"BBB Best",Chocolate,"Hot Beverages",Drink,752.1800,298.0053,286.0000
"BBB Best Low Fat Apple Butter",67489722371,0.5600,"BBB Best",Preserves,"Jams and Jellies",Food,154.0000,60.3960,275.0000
"BBB Best Oregano",54031245112,0.5300,"BBB Best",Spices,"Baking Goods",Food,178.0800,70.0077,336.0000
"BBB Best Pepper",90197336077,0.7600,"BBB Best",Spices,"Baking Goods",Food,247.0000,96.0868,325.0000
"BBB Best Regular Coffee",41550819277,1.1200,"BBB Best",Coffee,"Hot Beverages",Drink,375.2000,150.8304,335.0000
"BBB Best Salt",24827589392,0.6300,"BBB Best",Spices,"Baking Goods",Food,197.8200,78.8004,314.0000
"BBB Best Sesame Oil",12392428517,1.8400,"BBB Best","Cooking Oil","Baking Goods",Food,666.0800,269.0080,362.0000
"BBB Best Strawberry Jam",31341258883,3.3800,"BBB Best",Jam,"Jams and Jellies",Food,1030.9000,408.6758,305.0000
"BBB Best Strawberry Jelly",35999365448,2.7000,"BBB Best",Jelly,"Jams and Jellies",Food,1042.2000,407.6730,386.0000
"BBB Best Strawberry Preserves",32069382071,2.8000,"BBB Best",Preserves,"Jams and Jellies",Food,912.8000,359.9680,326.0000
"BBB Best Tomato Sauce",45760160088,0.7300,"BBB Best",Sauces,"Baking Goods",Food,252.5800,98.2653,346.0000
"BBB Best Vegetable Oil",75794270634,2.9700,"BBB Best","Cooking Oil","Baking Goods",Food,1021.6800,404.6328,344.0000
"BBB Best White Sugar",94701870083,2.4600,"BBB Best",Sugar,"Baking Goods",Food,816.7200,334.6584,332.0000
"Best Choice Apple Fruit Roll",47633801102,2.7000,"Best Choice","Dried Fruit","Snack Foods",Food,882.9000,356.8050,327.0000
"Best Choice Avocado Dip",98498150706,2.4600,"Best Choice",Dips,"Snack Foods",Food,819.1800,336.2328,333.0000
"Best Choice BBQ Potato Chips",82217710614,3.4400,"Best Choice",Chips,"Snack Foods",Food,894.4000,358.7232,260.0000
"Best Choice Beef Jerky",63526576161,1.9700,"Best Choice","Dried Meat","Snack Foods",Food,679.6500,275.1499,345.0000
"Best Choice Buttered Popcorn",79783412814,2.2300,"Best Choice",Popcorn,"Snack Foods",Food,671.2300,265.7714,301.0000
"Best Choice Cheese Crackers",58634377121,0.8200,"Best Choice",Crackers,"Snack Foods",Food,269.7800,106.2556,329.0000
"Best Choice Cheese Dip",90079469084,3.5500,"Best Choice",Dips,"Snack Foods",Food,1178.6000,475.7000,332.0000
"Best Choice Chocolate Chip Cookies",74527152180,3.9500,"Best Choice",Cookies,"Snack Foods",Food,1030.9500,413.4070,261.0000
"Best Choice Chocolate Donuts",86962313055,2.2100,"Best Choice",Donuts,"Snack Foods",Food,855.2700,332.1409,387.0000
"Best Choice Corn Chips",11080045104,2.5200,"Best Choice",Chips,"Snack Foods",Food,743.4000,302.1480,295.0000
"Best Choice Dried Apples",72628116011,2.1100,"Best Choice","Dried Fruit","Snack Foods",Food,713.1800,282.1914,338.0000
"Best Choice Dried Apricots",78815221190,2.4400,"Best Choice","Dried Fruit","Snack Foods",Food,658.8000,263.0564,270.0000
"Best Choice Dried Dates",72992177605,0.8600,"Best Choice","Dried Fruit","Snack Foods",Food,337.9800,133.3688,393.0000
"Best Choice Fondue Mix",98134089112,1.8100,"Best Choice",Dips,"Snack Foods",Food,622.6400,254.5222,344.0000
"Best Choice Frosted Cookies",20716846585,2.5900,"Best Choice",Cookies,"Snack Foods",Food,709.6600,287.9821,274.0000
"Best Choice Frosted Donuts",20771971344,2.7100,"Best Choice",Donuts,"Snack Foods",Food,975.6000,393.9798,360.0000
"Best Choice Fudge Brownies",33276000618,1.7300,"Best Choice",Cookies,"Snack Foods",Food,581.2800,229.0866,336.0000
"Best Choice Fudge Cookies",97962889075,3.1900,"Best Choice",Cookies,"Snack Foods",Food,1199.4400,483.3169,376.0000
"Best Choice Golden Raisins",95335729718,2.5900,"Best Choice","Dried Fruit","Snack Foods",Food,1033.4100,415.5655,399.0000
"Best Choice Graham Crackers",83628692030,1.9800,"Best Choice",Cookies,"Snack Foods",Food,671.2200,271.5570,339.0000
"Best Choice Grape Fruit Roll",93413090109,1.7800,"Best Choice","Dried Fruit","Snack Foods",Food,589.1800,238.4666,331.0000
"Best Choice Lemon Cookies",31717422604,0.7600,"Best Choice",Cookies,"Snack Foods",Food,218.1200,86.1004,287.0000
"Best Choice Low Fat BBQ Chips",19134665131,2.5500,"Best Choice",Chips,"Snack Foods",Food,688.5000,268.4895,270.0000
"Best Choice Low Fat Chips",33492465615,0.8600,"Best Choice",Chips,"Snack Foods",Food,270.0400,108.3686,314.0000
"Best Choice Low Fat Cookies",19498726725,0.6800,"Best Choice",Cookies,"Snack Foods",Food,206.0400,80.4984,303.0000
"Best Choice Low Fat Popcorn",14413666129,2.6500,"Best Choice",Popcorn,"Snack Foods",Food,1025.5500,409.4780,387.0000
"Best Choice Mini Donuts",86234189867,2.6800,"Best Choice",Donuts,"Snack Foods",Food,911.2000,369.5184,340.0000
"Best Choice No Salt Popcorn",24026864171,1.1900,"Best Choice",Popcorn,"Snack Foods",Food,445.0600,178.5119,374.0000
"Best Choice Potato Chips",25949503779,3.8900,"Best Choice",Chips,"Snack Foods",Food,1139.7700,458.6699,293.0000
"Best Choice Raisins",32616745829,1.5900,"Best Choice","Dried Fruit","Snack Foods",Food,469.0500,189.9891,295.0000
"Best Choice Raspberry Fruit Roll",13026288151,3.2100,"Best Choice","Dried Fruit","Snack Foods",Food,982.2600,401.3142,306.0000
"Best Choice Salsa Dip",17894883751,2.6300,"Best Choice",Dips,"Snack Foods",Food,1036.2200,407.9919,394.0000
"Best Choice Salted Pretzels",71217134594,2.7000,"Best Choice",Pretzels,"Snack Foods",Food,818.1000,332.2890,303.0000
"Best Choice Sesame Crackers",50068098902,2.9100,"Best Choice",Crackers,"Snack Foods",Food,969.0300,388.8633,333.0000
"Best Choice Strawberry Fruit Roll",68782836794,1.4900,"Best Choice","Dried Fruit","Snack Foods",Food,454.4500,179.6493,305.0000
"Best Choice Sugar Cookies",97234765887,3.6600,"Best Choice",Cookies,"Snack Foods",Food,1193.1600,466.6134,326.0000
"Best Corn Puffs",50711517930,1.9700,Best,Cereal,"Breakfast Foods",Food,583.1200,235.0604,296.0000
"Best Grits",16104004979,2.4700,Best,Cereal,"Breakfast Foods",Food,854.6200,352.2220,346.0000
"Best Oatmeal",75705832839,3.5000,Best,Cereal,"Breakfast Foods",Food,1333.5000,546.9100,381.0000
"Best Wheat Puffs",71860553622,1.5100,Best,Cereal,"Breakfast Foods",Food,607.0200,246.0998,402.0000
"Better Beef Soup",23747356534,0.5700,Better,Soup,"Canned Soup",Food,170.4300,68.7933,299.0000
"Better Canned Beets",96490806937,0.6000,Better,"Canned Vegetables",Vegetables,Food,192.0000,77.3220,320.0000
"Better Canned Peas",75658625960,1.4000,Better,"Canned Vegetables",Vegetables,Food,492.8000,197.4840,352.0000
"Better Canned String Beans",59596592783,1.7400,Better,"Canned Vegetables",Vegetables,Food,640.3200,259.8168,368.0000
"Better Canned Tomatos",54145528674,1.3200,Better,"Canned Vegetables",Vegetables,Food,539.8800,213.8268,409.0000
"Better Canned Tuna in Oil",94839757084,1.5000,Better,Tuna,"Canned Tuna",Food,606.0000,244.9050,404.0000
"Better Canned Tuna in Water",60596305727,2.7700,Better,Tuna,"Canned Tuna",Food,1041.5200,411.2342,376.0000
"Better Canned Yams",57990807890,2.8300,Better,"Canned Vegetables",Vegetables,Food,908.4300,368.8905,321.0000
"Better Chicken Noodle Soup",25305934548,1.1500,Better,Soup,"Canned Soup",Food,450.8000,180.2165,392.0000
"Better Chicken Ramen Soup",50664311051,0.6300,Better,Soup,"Canned Soup",Food,238.1400,96.6042,378.0000
"Better Chicken Soup",98413446545,3.9800,Better,Soup,"Canned Soup",Food,1516.3800,606.3530,381.0000
"Better Creamed Corn",99972024559,1.2600,Better,"Canned Vegetables",Vegetables,Food,410.7600,168.2730,326.0000
"Better Fancy Canned Anchovies",88707776665,2.2800,Better,Anchovies,"Canned Anchovies",Food,839.0400,343.2540,368.0000
"Better Fancy Canned Clams",24430214762,2.1100,Better,Clams,"Canned Clams",Food,848.2200,336.1441,402.0000
"Better Fancy Canned Oysters",87149198651,2.1200,Better,Oysters,"Canned Oysters",Food,701.7200,278.8436,331.0000
"Better Fancy Canned Sardines",16011533141,1.2000,Better,Sardines,"Canned Sardines",Food,405.6000,158.8560,338.0000
"Better Large Canned Shrimp",85226559042,2.3000,Better,Shrimp,"Canned Shrimp",Food,719.9000,286.2580,313.0000
"Better Noodle Soup",31437914967,0.7800,Better,Soup,"Canned Soup",Food,289.3800,114.4104,371.0000
"Better Regular Ramen Soup",78775781989,3.7400,Better,Soup,"Canned Soup",Food,1148.1800,469.7066,307.0000
"Better Rice Soup",24066153168,1.2300,Better,Soup,"Canned Soup",Food,456.3300,180.0966,371.0000
"Better Turkey Noodle Soup",17979437708,0.7500,Better,Soup,"Canned Soup",Food,246.7500,99.7125,329.0000
"Better Vegetable Soup",66045427918,2.2100,Better,Soup,"Canned Soup",Food,813.2800,325.0910,368.0000
"Big City Canned Mixed Fruit",20602412819,1.1700,"Big City","Canned Fruit",Fruit,Food,405.9900,159.2370,347.0000
"Big City Canned Peaches",67893072962,0.7600,"Big City","Canned Fruit",Fruit,Food,247.0000,97.5916,325.0000
"Big Time Apple Cinnamon Waffles",73883582949,3.6900,"Big Time",Waffles,"Breakfast Foods",Food,1313.6400,529.9209,356.0000
"Big Time Beef TV Dinner",37717491984,3.9100,"Big Time","TV Dinner","Frozen Entrees",Food,1345.0400,527.2635,344.0000
"Big Time Blueberry Waffles",92063059210,0.8700,"Big Time",Waffles,"Breakfast Foods",Food,304.5000,121.5042,350.0000
"Big Time Chicken TV Dinner",78092923760,2.2000,"Big Time","TV Dinner","Frozen Entrees",Food,866.8000,349.3380,394.0000
"Big Time Fajita French Fries",38593211770,1.4300,"Big Time","French Fries",Vegetables,Food,481.9100,192.7497,337.0000
"Big Time Frozen Broccoli",20002467036,2.7200,"Big Time","Frozen Vegetables",Vegetables,Food,952.0000,385.3424,350.0000
"Big Time Frozen Carrots",18127034306,1.6400,"Big Time","Frozen Vegetables",Vegetables,Food,524.8000,211.5764,320.0000
"Big Time Frozen Cauliflower",27328963875,3.3200,"Big Time","Frozen Vegetables",Vegetables,Food,1165.3200,479.5408,351.0000
"Big Time Frozen Cheese Pizza",77728862166,1.5500,"Big Time",Pizza,Pizza,Food,595.2000,245.8145,384.0000
"Big Time Frozen Chicken Breast",71278085112,2.2200,"Big Time","Frozen Chicken",Meat,Food,745.9200,305.3166,336.0000
"Big Time Frozen Chicken Thighs",62619335055,2.9500,"Big Time","Frozen Chicken",Meat,Food,1123.9500,464.2415,381.0000
"Big Time Frozen Chicken Wings",72960656285,3.6700,"Big Time","Frozen Chicken",Meat,Food,1097.3300,436.9869,299.0000
"Big Time Frozen Corn",25770385861,3.1600,"Big Time","Frozen Vegetables",Vegetables,Food,1137.6000,459.3060,360.0000
"Big Time Frozen Mushroom Pizza",52734547257,1.2500,"Big Time",Pizza,Pizza,Food,387.5000,160.0375,310.0000
"Big Time Frozen Pancakes",13234835267,3.2400,"Big Time",Pancakes,"Breakfast Foods",Food,1082.1600,431.0496,334.0000
"Big Time Frozen Peas",11583785414,3.5700,"Big Time","Frozen Vegetables",Vegetables,Food,1220.9400,491.4105,342.0000
"Big Time Frozen Pepperoni Pizza",60936763882,1.1300,"Big Time",Pizza,Pizza,Food,396.6300,162.9686,351.0000
"Big Time Frozen Sausage Pizza",68627322316,0.8000,"Big Time",Pizza,Pizza,Food,280.8000,111.4400,351.0000
"Big Time Grape Popsicles",95396680235,0.5100,"Big Time",Popsicles,"Frozen Desserts",Food,182.0700,72.4353,357.0000
"Big Time Home Style French Fries",91970587372,1.3800,"Big Time","French Fries",Vegetables,Food,372.6000,151.7172,270.0000
"Big Time Ice Cream",33460944294,2.7700,"Big Time","Ice Cream","Frozen Desserts",Food,872.5500,346.6932,315.0000
"Big Time Ice Cream Sandwich",80798811316,2.9100,"Big Time","Ice Cream","Frozen Desserts",Food,942.8400,378.8529,324.0000
"Big Time Lemon Popsicles",63347458243,1.4700,"Big Time",Popsicles,"Frozen Desserts",Food,514.5000,210.0924,350.0000
"Big Time Lime Popsicles",56168558001,2.2500,"Big Time",Popsicles,"Frozen Desserts",Food,812.2500,328.0275,361.0000
"Big Time Low Fat French Fries",67432805895,1.3500,"Big Time","French Fries",Vegetables,Food,378.0000,147.6765,280.0000
"Big Time Low Fat Waffles",48718068003,1.1200,"Big Time",Waffles,"Breakfast Foods",Food,383.0400,150.2704,342.0000
"Big Time Orange Popsicles",76317880749,3.1300,"Big Time",Popsicles,"Frozen Desserts",Food,1092.3700,427.7771,349.0000
"Big Time Pancake Mix",10436475872,1.2600,"Big Time","Pancake Mix","Breakfast Foods",Food,464.9400,183.2796,369.0000
"Big Time Popsicles",41470299363,2.2700,"Big Time","Ice Cream","Frozen Desserts",Food,778.6100,323.9517,343.0000
"Big Time Turkey TV Dinner",98513836264,3.2100,"Big Time","TV Dinner","Frozen Entrees",Food,1030.4100,416.2728,321.0000
"Big Time Waffles",55168845057,0.7000,"Big Time",Waffles,"Breakfast Foods",Food,226.1000,91.5390,323.0000
"Bird Call 200 MG Acetominifen",58380264639,3.1800,"Bird Call",Acetominifen,"Pain Relievers",Non-Consumable,1160.7000,476.7774,365.0000
"Bird Call 200 MG Ibuprofen",67993462681,2.3800,"Bird Call",Ibuprofen,"Pain Relievers",Non-Consumable,885.3600,363.6640,372.0000
"Bird Call Angled Toothbrush",75684021115,2.7600,"Bird Call",Toothbrushes,"Bathroom Products",Non-Consumable,828.0000,331.0896,300.0000
"Bird Call Apricot Shampoo",61497420668,2.2800,"Bird Call",Shampoo,"Bathroom Products",Non-Consumable,722.7600,289.6284,317.0000
"Bird Call Buffered Aspirin",57652141451,1.6600,"Bird Call",Aspirin,"Pain Relievers",Non-Consumable,459.8200,185.1232,277.0000
"Bird Call Childrens Aspirin",36503105759,2.8700,"Bird Call",Aspirin,"Pain Relievers",Non-Consumable,944.2300,395.0268,329.0000
"Bird Call Childrens Cold Remedy",20143937468,1.7400,"Bird Call","Cold Remedies","Cold Remedies",Non-Consumable,605.5200,239.8764,348.0000
"Bird Call Conditioning Shampoo",77242599129,2.9300,"Bird Call",Shampoo,"Bathroom Products",Non-Consumable,1072.3800,434.9878,366.0000
"Bird Call Deodorant",40712446570,1.6200,"Bird Call","Personal Hygiene",Hygiene,Non-Consumable,487.6200,195.9714,301.0000
"Bird Call Dishwasher Detergent",52464749217,1.8800,"Bird Call","Nasal Sprays",Decongestants,Non-Consumable,594.0800,240.2264,316.0000
"Bird Call Extra Moisture Shampoo",69916102290,1.4300,"Bird Call",Shampoo,"Bathroom Products",Non-Consumable,406.1200,167.5245,284.0000
"Bird Call HCL Nasal Spray",92840180993,0.5400,"Bird Call","Nasal Sprays",Decongestants,Non-Consumable,178.7400,73.5210,331.0000
"Bird Call Laundry Detergent",52100687623,2.1100,"Bird Call",Mouthwash,"Bathroom Products",Non-Consumable,614.0100,248.3048,291.0000
"Bird Call Mint Mouthwash",16298658251,0.5700,"Bird Call",Mouthwash,"Bathroom Products",Non-Consumable,182.9700,72.5895,321.0000
"Bird Call Multi-Symptom Cold Remedy",91281602978,2.8900,"Bird Call","Cold Remedies","Cold Remedies",Non-Consumable,875.6700,344.6614,303.0000
"Bird Call Silky Smooth Hair Conditioner",31408185362,0.5200,"Bird Call",Conditioner,"Bathroom Products",Non-Consumable,156.5200,63.4400,301.0000
"Bird Call Tartar Control Toothpaste",63364935517,1.4000,"Bird Call","Personal Hygiene",Hygiene,Non-Consumable,495.6000,203.0560,354.0000
"Bird Call Toothpaste",94855292439,1.4800,"Bird Call","Personal Hygiene",Hygiene,Non-Consumable,436.6000,176.0460,295.0000
"Bird Call Whitening Toothpast",27562906146,1.8500,"Bird Call","Personal Hygiene",Hygiene,Non-Consumable,566.1000,229.7515,306.0000
"Black Tie City Map",29412943720,1.5700,"Black Tie",Maps,Miscellaneous,Non-Consumable,577.7600,231.9518,368.0000
"Black Tie Eyeglass Screwdriver",36739440560,0.6700,"Black Tie",Screwdrivers,Hardware,Non-Consumable,259.2900,103.1398,387.0000
"Blue Label Beef Soup",29712170958,2.6500,"Blue Label",Soup,"Canned Soup",Food,895.7000,366.4685,338.0000
"Blue Label Canned Beets",62908702492,3.8300,"Blue Label","Canned Vegetables",Vegetables,Food,1083.8900,446.3865,283.0000
"Blue Label Canned Peas",61668921113,3.9100,"Blue Label","Canned Vegetables",Vegetables,Food,1255.1100,517.2930,321.0000
"Blue Label Canned String Beans",85252254605,2.6700,"Blue Label","Canned Vegetables",Vegetables,Food,766.2900,309.2928,287.0000
"Blue Label Canned Tomatos",77561696171,2.2900,"Blue Label","Canned Vegetables",Vegetables,Food,687.0000,274.7542,300.0000
"Blue Label Canned Tuna in Oil",50497145056,1.5500,"Blue Label",Tuna,"Canned Tuna",Food,440.2000,179.9240,284.0000
"Blue Label Canned Tuna in Water",93159278035,1.4100,"Blue Label",Tuna,"Canned Tuna",Food,466.7100,187.0929,331.0000
"Blue Label Canned Yams",22169209122,2.7800,"Blue Label","Canned Vegetables",Vegetables,Food,881.2600,358.6478,317.0000
"Blue Label Chicken Noodle Soup",62032982707,1.5500,"Blue Label",Soup,"Canned Soup",Food,480.5000,189.6735,310.0000
"Blue Label Chicken Ramen Soup",25866891741,1.7800,"Blue Label",Soup,"Canned Soup",Food,592.7400,243.8956,333.0000
"Blue Label Chicken Soup",47163524031,3.1900,"Blue Label",Soup,"Canned Soup",Food,1113.3100,441.7512,349.0000
"Blue Label Creamed Corn",79484335780,2.9900,"Blue Label","Canned Vegetables",Vegetables,Food,858.1300,352.5210,287.0000
"Blue Label Fancy Canned Anchovies",44581629633,1.3600,"Blue Label",Anchovies,"Canned Anchovies",Food,402.5600,157.6104,296.0000
"Blue Label Fancy Canned Clams",50349548459,1.6900,"Blue Label",Clams,"Canned Clams",Food,459.6800,185.2747,272.0000
"Blue Label Fancy Canned Oysters",36162948012,2.2100,"Blue Label",Oysters,"Canned Oysters",Food,709.4100,289.8415,321.0000
"Blue Label Fancy Canned Sardines",11168633103,1.8000,"Blue Label",Sardines,"Canned Sardines",Food,482.4000,189.8280,268.0000
"Blue Label Large Canned Shrimp",87027297616,2.8600,"Blue Label",Shrimp,"Canned Shrimp",Food,923.7800,387.9304,323.0000
"Blue Label Noodle Soup",32829326987,1.7500,"Blue Label",Soup,"Canned Soup",Food,588.0000,236.0925,336.0000
"Blue Label Regular Ramen Soup",12408414483,1.7300,"Blue Label",Soup,"Canned Soup",Food,576.0900,231.4913,333.0000
"Blue Label Rice Soup",32317668795,1.5900,"Blue Label",Soup,"Canned Soup",Food,435.6600,175.8063,274.0000
"Blue Label Turkey Noodle Soup",34751966595,0.8800,"Blue Label",Soup,"Canned Soup",Food,289.5200,118.6152,329.0000
"Blue Label Vegetable Soup",43318244814,2.3300,"Blue Label",Soup,"Canned Soup",Food,705.9900,283.3047,303.0000
"Blue Medal Egg Substitute",68869482874,2.1300,"Blue Medal",Eggs,Eggs,Food,634.7400,253.2783,298.0000
"Blue Medal Large Brown Eggs",27447131276,2.1900,"Blue Medal",Eggs,Eggs,Food,683.2800,279.3126,312.0000
"Blue Medal Large Eggs",76195979714,3.6300,"Blue Medal",Eggs,Eggs,Food,1067.2200,428.9571,294.0000
"Blue Medal Small Brown Eggs",50154744982,2.8000,"Blue Medal",Eggs,Eggs,Food,840.0000,334.1520,300.0000
"Blue Medal Small Eggs",39665827155,1.3200,"Blue Medal",Eggs,Eggs,Food,430.3200,171.7056,326.0000
"Booker 1% Milk",43404150605,2.5800,Booker,Milk,Dairy,Drink,1011.3600,400.8030,392.0000
"Booker 2% Milk",43768212199,0.5700,Booker,Milk,Dairy,Drink,165.8700,66.1542,291.0000
"Booker Blueberry Yogurt",85645155310,3.2200,Booker,Yogurt,Dairy,Food,1088.3600,432.9934,338.0000
"Booker Buttermilk",16487196087,2.4700,Booker,Milk,Dairy,Drink,837.3300,336.9821,339.0000
"Booker Cheese Spread",91151344180,0.9400,Booker,Cheese,Dairy,Food,288.5800,115.5166,307.0000
"Booker Chocolate Milk",11447400450,1.3200,Booker,Milk,Dairy,Drink,390.7200,156.6840,296.0000
"Booker Havarti Cheese",94996623396,2.7600,Booker,Cheese,Dairy,Food,993.6000,392.3340,360.0000
"Booker Head Cheese",70002308487,1.4500,Booker,Cheese,Dairy,Food,479.9500,193.7635,331.0000
"Booker Jack Cheese",74211649298,1.8500,Booker,Cheese,Dairy,Food,666.0000,265.2715,360.0000
"Booker Large Curd Cottage Cheese",84143643975,0.6700,Booker,"Cottage Cheese",Dairy,Food,222.4400,88.5204,332.0000
"Booker Low Fat Cottage Cheese",54668398499,3.3300,Booker,"Cottage Cheese",Dairy,Food,1012.3200,400.9320,304.0000
"Booker Low Fat Sour Cream",49581395983,1.4400,Booker,"Sour Cream",Dairy,Food,450.7200,182.5344,313.0000
"Booker Low Fat String Cheese",43085353970,1.3400,Booker,Cheese,Dairy,Food,471.6800,186.2734,352.0000
"Booker Mild Cheddar Cheese",14564556479,0.6800,Booker,Cheese,Dairy,Food,201.2800,80.2128,296.0000
"Booker Muenster Cheese",20741801857,2.5100,Booker,Cheese,Dairy,Food,758.0200,305.2662,302.0000
"Booker Sharp Cheddar Cheese",24177754521,1.8500,Booker,Cheese,Dairy,Food,540.2000,217.3380,292.0000
"Booker Sour Cream",50775912404,1.7200,Booker,"Sour Cream",Dairy,Food,476.4400,192.3476,277.0000
"Booker Strawberry Yogurt",74894507527,3.9800,Booker,Yogurt,Dairy,Food,1385.0400,549.1604,348.0000
"Booker String Cheese",37317435145,1.6600,Booker,Cheese,Dairy,Food,702.1800,288.0432,423.0000
"Booker Whole Milk",97602121233,3.4600,Booker,Milk,Dairy,Drink,1034.5400,419.6634,299.0000
"Bravo Beef Soup",21993824839,2.5500,Bravo,Soup,"Canned Soup",Food,874.6500,344.0460,343.0000
