product_family,product_department,the_year,country,region,province,sales,cost,unit
Drink,"Alcoholic Beverages",2014,USA,CenterWest,UT,14080.08,5605.7852,6889
Drink,"Alcoholic Beverages",2014,USA,CenterWest,WY,14081.08,5611.7852,6890
Drink,"Alcoholic Beverages",2014,USA,EastCost,AL,14068.08,5625.7852,6877
Drink,"Alcoholic Beverages",2014,USA,EastCost,CT,14093.08,5626.7852,6902
Drink,"Alcoholic Beverages",2014,USA,EastCost,DE,14081.08,5634.7852,6890
Drink,"Alcoholic Beverages",2014,USA,EastCost,FL,14071.08,5622.7852,6880
Drink,"Alcoholic Beverages",2014,USA,EastCost,GA,14086.08,5625.7852,6895
Drink,"Alcoholic Beverages",2014,USA,EastCost,MA,14046.08,5601.7852,6855
Drink,"Alcoholic Beverages",2014,USA,EastCost,MD,14094.08,5610.7852,6903
Drink,"Alcoholic Beverages",2014,USA,EastCost,ME,14077.08,5631.7852,6886
Drink,"Alcoholic Beverages",2014,USA,EastCost,MS,14103.08,5641.7852,6912
Drink,"Alcoholic Beverages",2014,USA,EastCost,NC,14084.08,5628.7852,6893
Drink,"Alcoholic Beverages",2014,USA,EastCost,NH,14070.08,5617.7852,6879
Drink,"Alcoholic Beverages",2014,USA,EastCost,NJ,14071.08,5633.7852,6880
Drink,"Alcoholic Beverages",2014,USA,EastCost,NY,14072.08,5623.7852,6881
Drink,"Alcoholic Beverages",2014,USA,EastCost,OH,14088.08,5623.7852,6897
Drink,"Alcoholic Beverages",2014,USA,EastCost,PA,14066.08,5605.7852,6875
Drink,"Alcoholic Beverages",2014,USA,EastCost,RI,14063.08,5622.7852,6872
Drink,"Alcoholic Beverages",2014,USA,EastCost,SC,14087.08,5630.7852,6896
Drink,"Alcoholic Beverages",2014,USA,EastCost,TN,14088.08,5633.7852,6897
Drink,"Alcoholic Beverages",2014,USA,EastCost,VA,14067.08,5617.7852,6876
Drink,"Alcoholic Beverages",2014,USA,EastCost,VT,14063.08,5625.7852,6872
Drink,"Alcoholic Beverages",2014,USA,EastCost,WV,14064.08,5629.7852,6873
Drink,"Alcoholic Beverages",2014,USA,WestCoast,CA,14107.08,5623.7852,6916
Drink,"Alcoholic Beverages",2014,USA,WestCoast,OR,14091.08,5648.7852,6900
Drink,"Alcoholic Beverages",2014,USA,WestCoast,WA,14065.08,5625.7852,6874
Drink,"Alcoholic Beverages",2015,USA,Center,AR,30472.22,12254.4149,14716
Drink,"Alcoholic Beverages",2015,USA,Center,CO,30456.22,12241.4149,14700
Drink,"Alcoholic Beverages",2015,USA,Center,IA,30458.22,12236.4149,14702
Drink,"Alcoholic Beverages",2015,USA,Center,IL,30466.22,12256.4149,14710
Drink,"Alcoholic Beverages",2015,USA,Center,IN,30479.22,12244.4149,14723
Drink,"Alcoholic Beverages",2015,USA,Center,KS,30471.22,12275.4149,14715
Drink,"Alcoholic Beverages",2015,USA,Center,KY,30485.22,12250.4149,14729
Drink,"Alcoholic Beverages",2015,USA,Center,LA,30488.22,12253.4149,14732
Drink,"Alcoholic Beverages",2015,USA,Center,MI,30462.22,12228.4149,14706
Drink,"Alcoholic Beverages",2015,USA,Center,MN,30456.22,12249.4149,14700
Drink,"Alcoholic Beverages",2015,USA,Center,MO,30462.22,12255.4149,14706
Drink,"Alcoholic Beverages",2015,USA,Center,ND,30469.22,12234.4149,14713
Drink,"Alcoholic Beverages",2015,USA,Center,NE,30481.22,12225.4149,14725
Drink,"Alcoholic Beverages",2015,USA,Center,OK,30459.22,12224.4149,14703
Drink,"Alcoholic Beverages",2015,USA,Center,SD,30486.22,12257.4149,14730
Drink,"Alcoholic Beverages",2015,USA,Center,TX,30469.22,12251.4149,14713
Drink,"Alcoholic Beverages",2015,USA,Center,WI,30454.22,12215.4149,14698
Drink,"Alcoholic Beverages",2015,USA,CenterWest,AZ,30480.22,12250.4149,14724
Drink,"Alcoholic Beverages",2015,USA,CenterWest,ID,30457.22,12256.4149,14701
Drink,"Alcoholic Beverages",2015,USA,CenterWest,MT,30475.22,12270.4149,14719
Drink,"Alcoholic Beverages",2015,USA,CenterWest,NM,30464.22,12224.4149,14708
Drink,"Alcoholic Beverages",2015,USA,CenterWest,NV,30500.22,12239.4149,14744
Drink,"Alcoholic Beverages",2015,USA,CenterWest,UT,30457.22,12256.4149,14701
Drink,"Alcoholic Beverages",2015,USA,CenterWest,WY,30453.22,12233.4149,14697
Drink,"Alcoholic Beverages",2015,USA,EastCost,AL,30467.22,12232.4149,14711
Drink,"Alcoholic Beverages",2015,USA,EastCost,CT,30476.22,12265.4149,14720
Drink,"Alcoholic Beverages",2015,USA,EastCost,DE,30474.22,12254.4149,14718
Drink,"Alcoholic Beverages",2015,USA,EastCost,FL,30470.22,12222.4149,14714
Drink,"Alcoholic Beverages",2015,USA,EastCost,GA,30475.22,12260.4149,14719
Drink,"Alcoholic Beverages",2015,USA,EastCost,MA,30452.22,12227.4149,14696
Drink,"Alcoholic Beverages",2015,USA,EastCost,MD,30492.22,12257.4149,14736
Drink,"Alcoholic Beverages",2015,USA,EastCost,ME,30447.22,12236.4149,14691
Drink,"Alcoholic Beverages",2015,USA,EastCost,MS,30501.22,12216.4149,14745
Drink,"Alcoholic Beverages",2015,USA,EastCost,NC,30461.22,12263.4149,14705
Drink,"Alcoholic Beverages",2015,USA,EastCost,NH,30482.22,12253.4149,14726
Drink,"Alcoholic Beverages",2015,USA,EastCost,NJ,30479.22,12239.4149,14723
Drink,"Alcoholic Beverages",2015,USA,EastCost,NY,30460.22,12237.4149,14704
Drink,"Alcoholic Beverages",2015,USA,EastCost,OH,30472.22,12260.4149,14716
Drink,"Alcoholic Beverages",2015,USA,EastCost,PA,30471.22,12241.4149,14715
Drink,"Alcoholic Beverages",2015,USA,EastCost,RI,30456.22,12256.4149,14700
Drink,"Alcoholic Beverages",2015,USA,EastCost,SC,30495.22,12250.4149,14739
Drink,"Alcoholic Beverages",2015,USA,EastCost,TN,30464.22,12274.4149,14708
Drink,"Alcoholic Beverages",2015,USA,EastCost,VA,30483.22,12220.4149,14727
Drink,"Alcoholic Beverages",2015,USA,EastCost,VT,30465.22,12236.4149,14709
Drink,"Alcoholic Beverages",2015,USA,EastCost,WV,30489.22,12239.4149,14733
Drink,"Alcoholic Beverages",2015,USA,WestCoast,CA,30475.22,12252.4149,14719
Drink,"Alcoholic Beverages",2015,USA,WestCoast,OR,30460.22,12252.4149,14704
Drink,"Alcoholic Beverages",2015,USA,WestCoast,WA,30436.22,12238.4149,14680
Drink,Beverages,2014,USA,Center,AR,27954.589999999997,11232.995799999997,13791
Drink,Beverages,2014,USA,Center,CO,27918.589999999997,11258.995799999997,13755
Drink,Beverages,2014,USA,Center,IA,27920.589999999997,11220.995799999997,13757
Drink,Beverages,2014,USA,Center,IL,27930.589999999997,11275.995799999997,13767
Drink,Beverages,2014,USA,Center,IN,27902.589999999997,11248.995799999997,13739
Drink,Beverages,2014,USA,Center,KS,27932.589999999997,11258.995799999997,13769
Drink,Beverages,2014,USA,Center,KY,27894.589999999997,11257.995799999997,13731
Drink,Beverages,2014,USA,Center,LA,27894.589999999997,11229.995799999997,13731
Drink,Beverages,2014,USA,Center,MI,27883.589999999997,11273.995799999997,13720
Drink,Beverages,2014,USA,Center,MN,27875.589999999997,11223.995799999997,13712
Drink,Beverages,2014,USA,Center,MO,27924.589999999997,11259.995799999997,13761
Drink,Beverages,2014,USA,Center,ND,27915.589999999997,11237.995799999997,13752
Drink,Beverages,2014,USA,Center,NE,27884.589999999997,11228.995799999997,13721
Drink,Beverages,2014,USA,Center,OK,27926.589999999997,11244.995799999997,13763
Drink,Beverages,2014,USA,Center,SD,27908.589999999997,11293.995799999997,13745
Drink,Beverages,2014,USA,Center,TX,27941.589999999997,11256.995799999997,13778
Drink,Beverages,2014,USA,Center,WI,27889.589999999997,11228.995799999997,13726
Drink,Beverages,2014,USA,CenterWest,AZ,27871.589999999997,11243.995799999997,13708
Drink,Beverages,2014,USA,CenterWest,ID,27955.589999999997,11284.995799999997,13792
Drink,Beverages,2014,USA,CenterWest,MT,27891.589999999997,11276.995799999997,13728
Drink,Beverages,2014,USA,CenterWest,NM,27911.589999999997,11242.995799999997,13748
Drink,Beverages,2014,USA,CenterWest,NV,27926.589999999997,11244.995799999997,13763
Drink,Beverages,2014,USA,CenterWest,UT,27939.589999999997,11307.995799999997,13776
Drink,Beverages,2014,USA,CenterWest,WY,27950.589999999997,11213.995799999997,13787
Drink,Beverages,2014,USA,EastCost,AL,27913.589999999997,11268.995799999997,13750
Drink,Beverages,2014,USA,EastCost,CT,27929.589999999997,11226.995799999997,13766
Drink,Beverages,2014,USA,EastCost,DE,27933.589999999997,11280.995799999997,13770
Drink,Beverages,2014,USA,EastCost,FL,27982.589999999997,11249.995799999997,13819
Drink,Beverages,2014,USA,EastCost,GA,27939.589999999997,11258.995799999997,13776
Drink,Beverages,2014,USA,EastCost,MA,27908.589999999997,11231.995799999997,13745
Drink,Beverages,2014,USA,EastCost,MD,27965.589999999997,11218.995799999997,13802
Drink,Beverages,2014,USA,EastCost,ME,27934.589999999997,11209.995799999997,13771
Drink,Beverages,2014,USA,EastCost,MS,27967.589999999997,11229.995799999997,13804
Drink,Beverages,2014,USA,EastCost,NC,27863.589999999997,11268.995799999997,13700
Drink,Beverages,2014,USA,EastCost,NH,27908.589999999997,11255.995799999997,13745
Drink,Beverages,2014,USA,EastCost,NJ,27940.589999999997,11169.995799999997,13777
Drink,Beverages,2014,USA,EastCost,NY,27902.589999999997,11266.995799999997,13739
Drink,Beverages,2014,USA,EastCost,OH,27946.589999999997,11216.995799999997,13783
Drink,Beverages,2014,USA,EastCost,PA,27922.589999999997,11230.995799999997,13759
Drink,Beverages,2014,USA,EastCost,RI,27928.589999999997,11249.995799999997,13765
Drink,Beverages,2014,USA,EastCost,SC,27941.589999999997,11298.995799999997,13778
Drink,Beverages,2014,USA,EastCost,TN,27938.589999999997,11243.995799999997,13775
Drink,Beverages,2014,USA,EastCost,VA,27910.589999999997,11237.995799999997,13747
Drink,Beverages,2014,USA,EastCost,VT,27865.589999999997,11261.995799999997,13702
Drink,Beverages,2014,USA,EastCost,WV,27928.589999999997,11249.995799999997,13765
Drink,Beverages,2014,USA,WestCoast,CA,27936.589999999997,11277.995799999997,13773
Drink,Beverages,2014,USA,WestCoast,OR,27907.589999999997,11279.995799999997,13744
Drink,Beverages,2014,USA,WestCoast,WA,27910.589999999997,11252.995799999997,13747
Drink,Beverages,2015,USA,Center,AR,58519.05,23495.2273,28819
Drink,Beverages,2015,USA,Center,CO,58589.05,23540.2273,28889
Drink,Beverages,2015,USA,Center,IA,58518.05,23478.2273,28818
Drink,Beverages,2015,USA,Center,IL,58532.05,23482.2273,28832
Drink,Beverages,2015,USA,Center,IN,58491.05,23503.2273,28791
Drink,Beverages,2015,USA,Center,KS,58514.05,23494.2273,28814
Drink,Beverages,2015,USA,Center,KY,58502.05,23493.2273,28802
Drink,Beverages,2015,USA,Center,LA,58492.05,23475.2273,28792
Drink,Beverages,2015,USA,Center,MI,58545.05,23464.2273,28845
Drink,Beverages,2015,USA,Center,MN,58619.05,23503.2273,28919
Drink,Beverages,2015,USA,Center,MO,58495.05,23446.2273,28795
Drink,Beverages,2015,USA,Center,ND,58514.05,23481.2273,28814
Drink,Beverages,2015,USA,Center,NE,58523.05,23479.2273,28823
Drink,Beverages,2015,USA,Center,OK,58535.05,23482.2273,28835
Drink,Beverages,2015,USA,Center,SD,58534.05,23484.2273,28834
Drink,Beverages,2015,USA,Center,TX,58572.05,23508.2273,28872
Drink,Beverages,2015,USA,Center,WI,58538.05,23501.2273,28838
Drink,Beverages,2015,USA,CenterWest,AZ,58525.05,23493.2273,28825
Drink,Beverages,2015,USA,CenterWest,ID,58561.05,23526.2273,28861
Drink,Beverages,2015,USA,CenterWest,MT,58512.05,23463.2273,28812
Drink,Beverages,2015,USA,CenterWest,NM,58527.05,23430.2273,28827
Drink,Beverages,2015,USA,CenterWest,NV,58567.05,23464.2273,28867
Drink,Beverages,2015,USA,CenterWest,UT,58502.05,23479.2273,28802
Drink,Beverages,2015,USA,CenterWest,WY,58562.05,23455.2273,28862
Drink,Beverages,2015,USA,EastCost,AL,58525.05,23481.2273,28825
Drink,Beverages,2015,USA,EastCost,CT,58544.05,23482.2273,28844
Drink,Beverages,2015,USA,EastCost,DE,58558.05,23510.2273,28858
Drink,Beverages,2015,USA,EastCost,FL,58502.05,23504.2273,28802
Drink,Beverages,2015,USA,EastCost,GA,58557.05,23450.2273,28857
Drink,Beverages,2015,USA,EastCost,MA,58552.05,23462.2273,28852
Drink,Beverages,2015,USA,EastCost,MD,58523.05,23493.2273,28823
Drink,Beverages,2015,USA,EastCost,ME,58494.05,23493.2273,28794
Drink,Beverages,2015,USA,EastCost,MS,58496.05,23472.2273,28796
Drink,Beverages,2015,USA,EastCost,NC,58488.05,23459.2273,28788
Drink,Beverages,2015,USA,EastCost,NH,58560.05,23468.2273,28860
Drink,Beverages,2015,USA,EastCost,NJ,58524.05,23490.2273,28824
Drink,Beverages,2015,USA,EastCost,NY,58459.05,23472.2273,28759
Drink,Beverages,2015,USA,EastCost,OH,58538.05,23487.2273,28838
Drink,Beverages,2015,USA,EastCost,PA,58502.05,23426.2273,28802
Drink,Beverages,2015,USA,EastCost,RI,58513.05,23464.2273,28813
Drink,Beverages,2015,USA,EastCost,SC,58538.05,23451.2273,28838
Drink,Beverages,2015,USA,EastCost,TN,58548.05,23462.2273,28848
Drink,Beverages,2015,USA,EastCost,VA,58562.05,23467.2273,28862
Drink,Beverages,2015,USA,EastCost,VT,58549.05,23510.2273,28849
Drink,Beverages,2015,USA,EastCost,WV,58551.05,23439.2273,28851
Drink,Beverages,2015,USA,WestCoast,CA,58519.05,23469.2273,28819
Drink,Beverages,2015,USA,WestCoast,OR,58538.05,23512.2273,28838
Drink,Beverages,2015,USA,WestCoast,WA,58511.05,23461.2273,28811
Drink,Dairy,2014,USA,Center,AR,7098.6,2888.9192000000003,4226
Drink,Dairy,2014,USA,Center,CO,7114.6,2865.9192000000003,4242
Drink,Dairy,2014,USA,Center,IA,7081.6,2888.9192000000003,4209
Drink,Dairy,2014,USA,Center,IL,7091.6,2886.9192000000003,4219
Drink,Dairy,2014,USA,Center,IN,7113.6,2879.9192000000003,4241
Drink,Dairy,2014,USA,Center,KS,7130.6,2883.9192000000003,4258
Drink,Dairy,2014,USA,Center,KY,7097.6,2888.9192000000003,4225
Drink,Dairy,2014,USA,Center,LA,7094.6,2887.9192000000003,4222
Drink,Dairy,2014,USA,Center,MI,7111.6,2870.9192000000003,4239
Drink,Dairy,2014,USA,Center,MN,7108.6,2877.9192000000003,4236
Drink,Dairy,2014,USA,Center,MO,7100.6,2889.9192000000003,4228
Drink,Dairy,2014,USA,Center,ND,7129.6,2891.9192000000003,4257
Drink,Dairy,2014,USA,Center,NE,7106.6,2874.9192000000003,4234
Drink,Dairy,2014,USA,Center,OK,7088.6,2870.9192000000003,4216
Drink,Dairy,2014,USA,Center,SD,7099.6,2878.9192000000003,4227
Drink,Dairy,2014,USA,Center,TX,7090.6,2875.9192000000003,4218
Drink,Dairy,2014,USA,Center,WI,7122.6,2883.9192000000003,4250
Drink,Dairy,2014,USA,CenterWest,AZ,7104.6,2869.9192000000003,4232
Drink,Dairy,2014,USA,CenterWest,ID,7097.6,2884.9192000000003,4225
Drink,Dairy,2014,USA,CenterWest,MT,7106.6,2882.9192000000003,4234
Drink,Dairy,2014,USA,CenterWest,NM,7111.6,2877.9192000000003,4239
Drink,Dairy,2014,USA,CenterWest,NV,7088.6,2875.9192000000003,4216
Drink,Dairy,2014,USA,CenterWest,UT,7088.6,2874.9192000000003,4216
Drink,Dairy,2014,USA,CenterWest,WY,7122.6,2895.9192000000003,4250
Drink,Dairy,2014,USA,EastCost,AL,7121.6,2878.9192000000003,4249
Drink,Dairy,2014,USA,EastCost,CT,7112.6,2878.9192000000003,4240
Drink,Dairy,2014,USA,EastCost,DE,7135.6,2880.9192000000003,4263
Drink,Dairy,2014,USA,EastCost,FL,7121.6,2874.9192000000003,4249
Drink,Dairy,2014,USA,EastCost,GA,7118.6,2867.9192000000003,4246
Drink,Dairy,2014,USA,EastCost,MA,7116.6,2860.9192000000003,4244
Drink,Dairy,2014,USA,EastCost,MD,7114.6,2897.9192000000003,4242
Drink,Dairy,2014,USA,EastCost,ME,7065.6,2886.9192000000003,4193
Drink,Dairy,2014,USA,EastCost,MS,7085.6,2879.9192000000003,4213
Drink,Dairy,2014,USA,EastCost,NC,7128.6,2904.9192000000003,4256
Drink,Dairy,2014,USA,EastCost,NH,7103.6,2880.9192000000003,4231
Drink,Dairy,2014,USA,EastCost,NJ,7127.6,2854.9192000000003,4255
Drink,Dairy,2014,USA,EastCost,NY,7094.6,2883.9192000000003,4222
Drink,Dairy,2014,USA,EastCost,OH,7101.6,2856.9192000000003,4229
Drink,Dairy,2014,USA,EastCost,PA,7109.6,2894.9192000000003,4237
Drink,Dairy,2014,USA,EastCost,RI,7084.6,2857.9192000000003,4212
Drink,Dairy,2014,USA,EastCost,SC,7123.6,2889.9192000000003,4251
Drink,Dairy,2014,USA,EastCost,TN,7093.6,2878.9192000000003,4221
Drink,Dairy,2014,USA,EastCost,VA,7101.6,2889.9192000000003,4229
Drink,Dairy,2014,USA,EastCost,VT,7117.6,2866.9192000000003,4245
Drink,Dairy,2014,USA,EastCost,WV,7105.6,2887.9192000000003,4233
Drink,Dairy,2014,USA,WestCoast,CA,7104.6,2872.9192000000003,4232
Drink,Dairy,2014,USA,WestCoast,OR,7118.6,2894.9192000000003,4246
Drink,Dairy,2014,USA,WestCoast,WA,7112.6,2870.9192000000003,4240
Drink,Dairy,2015,USA,Center,AR,15705.54,6341.476200000001,9007
Drink,Dairy,2015,USA,Center,CO,15713.54,6354.476200000001,9015
Drink,Dairy,2015,USA,Center,IA,15700.54,6339.476200000001,9002
Drink,Dairy,2015,USA,Center,IL,15692.54,6330.476200000001,8994
Drink,Dairy,2015,USA,Center,IN,15696.54,6344.476200000001,8998
Drink,Dairy,2015,USA,Center,KS,15719.54,6343.476200000001,9021
Drink,Dairy,2015,USA,Center,KY,15679.54,6336.476200000001,8981
Drink,Dairy,2015,USA,Center,LA,15697.54,6335.476200000001,8999
Drink,Dairy,2015,USA,Center,MI,15669.54,6320.476200000001,8971
Drink,Dairy,2015,USA,Center,MN,15675.54,6337.476200000001,8977
Drink,Dairy,2015,USA,Center,MO,15684.54,6338.476200000001,8986
Drink,Dairy,2015,USA,Center,ND,15687.54,6341.476200000001,8989
Drink,Dairy,2015,USA,Center,NE,15710.54,6342.476200000001,9012
Drink,Dairy,2015,USA,Center,OK,15684.54,6335.476200000001,8986
Drink,Dairy,2015,USA,Center,SD,15690.54,6341.476200000001,8992
Drink,Dairy,2015,USA,Center,TX,15700.54,6339.476200000001,9002
Drink,Dairy,2015,USA,Center,WI,15706.54,6321.476200000001,9008
Drink,Dairy,2015,USA,CenterWest,AZ,15705.54,6317.476200000001,9007
Drink,Dairy,2015,USA,CenterWest,ID,15703.54,6339.476200000001,9005
Drink,Dairy,2015,USA,CenterWest,MT,15680.54,6344.476200000001,8982
Drink,Dairy,2015,USA,CenterWest,NM,15711.54,6340.476200000001,9013
Drink,Dairy,2015,USA,CenterWest,NV,15712.54,6329.476200000001,9014
Drink,Dairy,2015,USA,CenterWest,UT,15706.54,6331.476200000001,9008
Drink,Dairy,2015,USA,CenterWest,WY,15692.54,6321.476200000001,8994
Drink,Dairy,2015,USA,EastCost,AL,15706.54,6335.476200000001,9008
Drink,Dairy,2015,USA,EastCost,CT,15702.54,6334.476200000001,9004
Drink,Dairy,2015,USA,EastCost,DE,15690.54,6328.476200000001,8992
Drink,Dairy,2015,USA,EastCost,FL,15682.54,6331.476200000001,8984
Drink,Dairy,2015,USA,EastCost,GA,15724.54,6321.476200000001,9026
Drink,Dairy,2015,USA,EastCost,MA,15694.54,6347.476200000001,8996
Drink,Dairy,2015,USA,EastCost,MD,15678.54,6349.476200000001,8980
Drink,Dairy,2015,USA,EastCost,ME,15678.54,6323.476200000001,8980
Drink,Dairy,2015,USA,EastCost,MS,15696.54,6324.476200000001,8998
Drink,Dairy,2015,USA,EastCost,NC,15687.54,6326.476200000001,8989
Drink,Dairy,2015,USA,EastCost,NH,15706.54,6321.476200000001,9008
Drink,Dairy,2015,USA,EastCost,NJ,15697.54,6339.476200000001,8999
Drink,Dairy,2015,USA,EastCost,NY,15684.54,6309.476200000001,8986
Drink,Dairy,2015,USA,EastCost,OH,15706.54,6324.476200000001,9008
Drink,Dairy,2015,USA,EastCost,PA,15687.54,6336.476200000001,8989
Drink,Dairy,2015,USA,EastCost,RI,15704.54,6348.476200000001,9006
Drink,Dairy,2015,USA,EastCost,SC,15720.54,6339.476200000001,9022
Drink,Dairy,2015,USA,EastCost,TN,15698.54,6352.476200000001,9000
Drink,Dairy,2015,USA,EastCost,VA,15711.54,6329.476200000001,9013
Drink,Dairy,2015,USA,EastCost,VT,15679.54,6332.476200000001,8981
Drink,Dairy,2015,USA,EastCost,WV,15699.54,6335.476200000001,9001
Drink,Dairy,2015,USA,WestCoast,CA,15701.54,6338.476200000001,9003
Drink,Dairy,2015,USA,WestCoast,OR,15678.54,6312.476200000001,8980
Drink,Dairy,2015,USA,WestCoast,WA,15696.54,6343.476200000001,8998
Food,"Baked Goods",2014,USA,Center,AR,16476.43,6626.091899999999,7891
Food,"Baked Goods",2014,USA,Center,CO,16474.43,6599.091899999999,7889
Food,"Baked Goods",2014,USA,Center,IA,16500.43,6620.091899999999,7915
Food,"Baked Goods",2014,USA,Center,IL,16496.43,6601.091899999999,7911
Food,"Baked Goods",2014,USA,Center,IN,16492.43,6614.091899999999,7907
Food,"Baked Goods",2014,USA,Center,KS,16501.43,6587.091899999999,7916
Food,"Baked Goods",2014,USA,Center,KY,16481.43,6601.091899999999,7896
Food,"Baked Goods",2014,USA,Center,LA,16510.43,6616.091899999999,7925
Food,"Baked Goods",2014,USA,Center,MI,16503.43,6633.091899999999,7918
Food,"Baked Goods",2014,USA,Center,MN,16512.43,6622.091899999999,7927
Food,"Baked Goods",2014,USA,Center,MO,16498.43,6581.091899999999,7913
Food,"Baked Goods",2014,USA,Center,ND,16517.43,6610.091899999999,7932
Food,"Baked Goods",2014,USA,Center,NE,16511.43,6601.091899999999,7926
Food,"Baked Goods",2014,USA,Center,OK,16492.43,6593.091899999999,7907
Food,"Baked Goods",2014,USA,Center,SD,16496.43,6601.091899999999,7911
Food,"Baked Goods",2014,USA,Center,TX,16493.43,6616.091899999999,7908
Food,"Baked Goods",2014,USA,Center,WI,16482.43,6619.091899999999,7897
Food,"Baked Goods",2014,USA,CenterWest,AZ,16508.43,6607.091899999999,7923
Food,"Baked Goods",2014,USA,CenterWest,ID,16501.43,6622.091899999999,7916
Food,"Baked Goods",2014,USA,CenterWest,MT,16501.43,6630.091899999999,7916
Food,"Baked Goods",2014,USA,CenterWest,NM,16511.43,6610.091899999999,7926
Food,"Baked Goods",2014,USA,CenterWest,NV,16514.43,6613.091899999999,7929
Food,"Baked Goods",2014,USA,CenterWest,UT,16485.43,6627.091899999999,7900
Food,"Baked Goods",2014,USA,CenterWest,WY,16509.43,6602.091899999999,7924
Food,"Baked Goods",2014,USA,EastCost,AL,16494.43,6607.091899999999,7909
Food,"Baked Goods",2014,USA,EastCost,CT,16528.43,6613.091899999999,7943
Food,"Baked Goods",2014,USA,EastCost,DE,16489.43,6641.091899999999,7904
Food,"Baked Goods",2014,USA,EastCost,FL,16478.43,6592.091899999999,7893
Food,"Baked Goods",2014,USA,EastCost,GA,16505.43,6609.091899999999,7920
Food,"Baked Goods",2014,USA,EastCost,MA,16502.43,6623.091899999999,7917
Food,"Baked Goods",2014,USA,EastCost,MD,16499.43,6621.091899999999,7914
Food,"Baked Goods",2014,USA,EastCost,ME,16491.43,6606.091899999999,7906
Food,"Baked Goods",2014,USA,EastCost,MS,16497.43,6623.091899999999,7912
Food,"Baked Goods",2014,USA,EastCost,NC,16512.43,6612.091899999999,7927
Food,"Baked Goods",2014,USA,EastCost,NH,16524.43,6602.091899999999,7939
Food,"Baked Goods",2014,USA,EastCost,NJ,16513.43,6609.091899999999,7928
Food,"Baked Goods",2014,USA,EastCost,NY,16483.43,6594.091899999999,7898
Food,"Baked Goods",2014,USA,EastCost,OH,16498.43,6596.091899999999,7913
Food,"Baked Goods",2014,USA,EastCost,PA,16505.43,6626.091899999999,7920
Food,"Baked Goods",2014,USA,EastCost,RI,16490.43,6599.091899999999,7905
Food,"Baked Goods",2014,USA,EastCost,SC,16513.43,6623.091899999999,7928
Food,"Baked Goods",2014,USA,EastCost,TN,16513.43,6629.091899999999,7928
Food,"Baked Goods",2014,USA,EastCost,VA,16484.43,6634.091899999999,7899
Food,"Baked Goods",2014,USA,EastCost,VT,16517.43,6617.091899999999,7932
Food,"Baked Goods",2014,USA,EastCost,WV,16505.43,6605.091899999999,7920
Food,"Baked Goods",2014,USA,WestCoast,CA,16505.43,6595.091899999999,7920
Food,"Baked Goods",2014,USA,WestCoast,OR,16508.43,6625.091899999999,7923
Food,"Baked Goods",2014,USA,WestCoast,WA,16494.43,6586.091899999999,7909
Food,"Baked Goods",2015,USA,Center,AR,35660.840000000004,14337.7414,16774
Food,"Baked Goods",2015,USA,Center,CO,35631.840000000004,14307.7414,16745
Food,"Baked Goods",2015,USA,Center,IA,35647.840000000004,14318.7414,16761
Food,"Baked Goods",2015,USA,Center,IL,35619.840000000004,14304.7414,16733
Food,"Baked Goods",2015,USA,Center,IN,35621.840000000004,14315.7414,16735
Food,"Baked Goods",2015,USA,Center,KS,35650.840000000004,14286.7414,16764
Food,"Baked Goods",2015,USA,Center,KY,35636.840000000004,14292.7414,16750
Food,"Baked Goods",2015,USA,Center,LA,35656.840000000004,14303.7414,16770
